 	il	y	a	un	endroit	diffìcile	à	pénétrer	devant	mon	champ	où	un	grand	arbre	est	tombé	</S>
ó	0.277954	0.248293	0.078767	0.0348521	0.0900661	0.0249993	0.0657141	0.0233635	0.0155301	0.0136139	0.025491	0.0175286	0.00985392	0.0233168	0.0271247	0.0212044	0.00153395	0.000793466
b	0.0447421	0.0527702	0.0454526	0.063887	0.0361988	0.587699	0.0218963	0.0220001	0.0372161	0.00795727	0.00990734	0.00761454	0.0154203	0.0238566	0.00531446	0.00286308	0.012008	0.00319594
o	0.0252542	0.0337894	0.0236206	0.0339502	0.0300399	0.462782	0.0171597	0.0345417	0.0759924	0.0130992	0.0165845	0.0555041	0.0407746	0.0334456	0.0324971	0.00794248	0.042563	0.0204592
s	0.00370238	0.00425385	0.0147317	0.0191943	0.0158628	0.717444	0.0165451	0.0158278	0.0395573	0.00392434	0.00269532	0.00932741	0.00981067	0.0177012	0.00821019	0.00424486	0.0314068	0.0655598
ó	0.0489324	0.034495	0.0854137	0.109333	0.0351439	0.207693	0.0811884	0.0148052	0.046235	0.0115221	0.00248999	0.0334877	0.0327598	0.0275783	0.0281143	0.0068268	0.0102649	0.183717
b	0.171972	0.145232	0.23185	0.0449619	0.0605584	0.0184597	0.155298	0.0459655	0.0246421	0.0110784	0.00658341	0.0164656	0.00842277	0.00469248	0.00607796	0.0140927	0.00226413	0.0313836
á	0.147584	0.024679	0.044169	0.137789	0.116482	0.0074942	0.0580961	0.124468	0.0348055	0.0739122	0.0321152	0.0684373	0.0314848	0.0105144	0.025859	0.00839582	0.00674618	0.0469685
n	0.0442973	0.0333355	0.0545649	0.0374408	0.041733	0.00764655	0.0635993	0.260148	0.0395814	0.0261355	0.0863159	0.0758944	0.0417013	0.0105858	0.0336291	0.0247277	0.0142132	0.10445
g	0.00228959	0.000690286	0.00144306	0.00297196	0.00407225	0.000101629	0.0378376	0.223545	0.0123881	0.25858	0.416641	0.0259038	0.00530854	0.00136304	0.000937587	0.000716517	0.000251517	0.00495887
o	0.00072391	0.00240593	0.00399851	0.00408504	0.00293719	0.000217533	0.0176668	0.114684	0.024374	0.0393004	0.773038	0.00466457	0.00221046	0.00310709	0.000719363	0.000421728	0.000244062	0.00520051
n	0.000190226	0.000893014	0.00145067	0.0020488	0.00235744	0.000343246	0.0288808	0.191823	0.0863805	0.102894	0.504146	0.035035	0.0123104	0.0151477	0.0048433	0.00265803	0.00229417	0.006303
d	0.0117057	0.0128138	0.0281131	0.0175299	0.0310087	0.000585667	0.237832	0.117093	0.108163	0.0640549	0.0469757	0.133764	0.0403502	0.0482455	0.0223454	0.0184287	0.00574426	0.0552457
a	0.00473786	0.0049157	0.00282764	0.00616256	0.0055375	0.00218065	0.0608083	0.149332	0.133221	0.170574	0.243844	0.0980911	0.0300239	0.0246285	0.00573257	0.0039099	0.00364134	0.0498308
y	0.0134142	0.0180904	0.0760142	0.0293202	0.0328318	0.00125627	0.0757732	0.058008	0.0752688	0.207058	0.0832989	0.19569	0.0685774	0.0213412	0.0098356	0.0265933	0.00234258	0.00528628
á	0.0542934	0.0355565	0.0516109	0.0633538	0.0961557	0.00281568	0.12642	0.080624	0.100384	0.11485	0.0390496	0.0968167	0.0559809	0.0275385	0.0180856	0.0262573	0.00517046	0.00503815
n	0.0131194	0.00618962	0.00461964	0.00827021	0.0146353	0.00401112	0.0549464	0.113228	0.0308859	0.286963	0.093076	0.188453	0.0637841	0.0386551	0.0256575	0.0473469	0.00503778	0.0011209
g	0.000175634	0.000137848	0.000138971	0.000437846	0.000577135	2.48233e-05	0.00686085	0.0399299	0.0164739	0.245291	0.625762	0.03713	0.00879932	0.0107899	0.00395892	0.00144822	0.000510622	0.00155226
á	0.000204026	0.000334854	0.000332827	0.000469854	0.000445218	1.90903e-05	0.00913059	0.0899255	0.0122297	0.114922	0.707416	0.0417599	0.00576523	0.00783744	0.00186051	0.00175078	0.000541508	0.00505525
é	0.00134601	0.00132275	0.00319245	0.00277066	0.00324808	0.000152685	0.0195073	0.0242792	0.0233918	0.173461	0.049807	0.256448	0.112195	0.0995914	0.115391	0.0954353	0.0134844	0.00497625
d	0.000483445	0.000946349	0.00297116	0.0041809	0.00527575	0.00201655	0.00196118	0.00158045	0.0377869	0.00776007	0.00547149	0.0915393	0.211448	0.213635	0.11494	0.164818	0.115198	0.0179873
í	0.000423823	0.000171487	0.0017145	0.00916848	0.0112174	0.00133184	0.00332419	0.00183301	0.0445951	0.0443327	0.00221315	0.147617	0.34713	0.13135	0.0247287	0.0313391	0.0328182	0.164692
l	0.00217453	0.000935494	0.00585368	0.0128561	0.0209966	0.00298392	0.0203893	0.00830067	0.0254974	0.0898872	0.00516377	0.0714112	0.129282	0.173406	0.120862	0.1627	0.0743714	0.0729294
i	0.00103751	0.000948204	0.00205531	0.00240904	0.00130871	0.000319378	0.0024925	0.00283059	0.0137812	0.0238782	0.00514981	0.0626126	0.0984279	0.122732	0.118664	0.0812328	0.118188	0.341933
k	0.000731923	0.000372581	0.000797132	0.00140547	0.00148902	0.00109742	0.00337554	0.00414626	0.0127959	0.028104	0.00425474	0.028179	0.0467685	0.132817	0.166726	0.046476	0.335229	0.185235
w	0.00021349	0.000641146	0.000616045	0.00350869	0.00324132	0.0169286	0.000964281	0.00113292	0.0131983	0.00337465	0.000432413	0.0111903	0.0286645	0.109115	0.108195	0.0224321	0.63315	0.0430007
á	0.00303363	0.00275228	0.00112321	0.00408191	0.00503524	0.0232142	0.00344919	0.010303	0.0142134	0.0245285	0.00658407	0.030407	0.0304661	0.0696297	0.157824	0.0323956	0.408177	0.172782
a	0.0003304	0.000657592	0.000633373	0.000771544	0.000711715	0.00038464	0.000838532	0.00112005	0.00270705	0.00437299	0.00259776	0.0262157	0.0319931	0.0154381	0.0439945	0.0631961	0.150652	0.653385
</S>	0.00105423	0.00204476	0.00481536	0.00345475	0.00224993	0.000514047	0.00524637	0.00255493	0.00534112	0.0240961	0.00365965	0.0317558	0.0382119	0.0290285	0.0886021	0.13807	0.149919	0.469382
