 	va	faire	tes	sottises	ailleurs	</S>
d	0.683991	0.252805	0.0436939	0.010351	0.00414779	0.00501116
z	0.849027	0.0349317	0.00727454	0.00395103	0.086364	0.0184513
w	0.964409	0.0193425	0.00145487	0.00508241	0.00914695	0.000564252
a	0.916818	0.0241001	0.0102265	0.00489576	0.0289291	0.0150307
á	0.0546717	0.0804829	0.0192185	0.0130712	0.0536796	0.778876
ω	0.213662	0.454809	0.238375	0.0362425	0.0112822	0.0456295
k	0.0536277	0.651422	0.0993499	0.166262	0.0189027	0.0104358
y	0.0266475	0.298137	0.0187709	0.619567	0.0220846	0.0147925
a	0.114293	0.238501	0.0696241	0.429238	0.0920031	0.0563404
o	0.170798	0.280845	0.23277	0.186079	0.0178801	0.111628
d	0.0124555	0.108574	0.320147	0.483036	0.0128821	0.0629053
í	0.00674791	0.0241033	0.101697	0.696709	0.0802427	0.0905004
b	0.0031452	0.0290589	0.284878	0.416549	0.042454	0.223916
h	0.00578879	0.051053	0.166444	0.637887	0.0182857	0.120541
i	0.00765519	0.0387423	0.308816	0.311232	0.0238178	0.309737
l	0.00324975	0.0144035	0.190542	0.577138	0.0380391	0.176628
i	0.00389689	0.0301402	0.308292	0.342041	0.0308788	0.284751
m	0.00264665	0.0229605	0.214704	0.414146	0.0952216	0.250321
á	0.00714204	0.00724033	0.206312	0.192793	0.139273	0.447239
n	0.00920832	0.0261355	0.241843	0.165364	0.325567	0.231883
ω	0.00281497	0.0105919	0.369962	0.0240477	0.305015	0.287568
e	0.000306358	0.00680083	0.125031	0.0795962	0.109688	0.678578
b	0.0148404	0.0217963	0.0368024	0.122037	0.509372	0.295152
é	0.0153373	0.050417	0.409517	0.297142	0.0546624	0.172924
e	0.00686758	0.0165458	0.10758	0.0899442	0.175183	0.603879
e	0.00330099	0.0115126	0.0248301	0.0606822	0.171247	0.728427
s	0.023378	0.050917	0.0739742	0.11696	0.316216	0.418555
ú	0.0204217	0.0159456	0.0625692	0.0938862	0.577015	0.230162
s	0.00256694	0.00585379	0.0339805	0.0244078	0.525149	0.408042
u	0.00644677	0.0145959	0.0767828	0.0790896	0.620903	0.202182
</S>	0.000243678	0.00332286	0.0416157	0.0148909	0.102093	0.837834
