 	l'	arbre	est	déraciné	</S>
i	0.37059	0.602571	0.0245259	0.000804374	0.00150909
b	0.205919	0.436915	0.122831	0.220875	0.0134601
v	0.103549	0.794829	0.0218888	0.0643148	0.0154183
ú	0.104509	0.835283	0.0335842	0.0188671	0.00775601
a	0.258868	0.589516	0.0452803	0.0859923	0.0203433
í	0.313021	0.0735349	0.321111	0.0597788	0.232555
d	0.106628	0.0180063	0.730918	0.0335998	0.110848
í	0.0129078	0.00355013	0.274944	0.0377885	0.67081
i	0.0457223	0.0308643	0.422082	0.132427	0.368905
f	0.00708966	0.0103175	0.0526053	0.738824	0.191164
u	0.000547515	0.000863465	0.00665361	0.963227	0.0287079
n	0.00249387	0.00185212	0.00228839	0.939104	0.0542619
d	0.079699	0.0678295	0.0398157	0.684255	0.128401
á	0.444862	0.214173	0.216494	0.0286157	0.0958545
f	0.0505563	0.0197189	0.141144	0.37132	0.417261
u	0.0240827	0.0228958	0.325038	0.192141	0.435843
n	0.0149227	0.0046053	0.0296596	0.609939	0.340873
d	0.00932482	0.0102806	0.0677231	0.523151	0.38952
a	0.0402379	0.0407427	0.204655	0.0798687	0.634496
</S>	0.0425346	0.017361	0.151909	0.094542	0.693653
