 	il	saisit	son	adversaire	à	bras-le-corps	</S>
w	0.787288	0.137048	0.0280767	0.0384267	0.00676545	0.00194	0.000455293
a	0.823077	0.0609526	0.0741381	0.0149144	0.0230303	0.00382431	6.29502e-05
a	0.604292	0.0927325	0.218487	0.00127074	0.0513049	0.0116011	0.0203111
b	0.212838	0.460038	0.110758	0.0202712	0.0456369	0.0191683	0.13129
v	0.0175871	0.909911	0.0321862	0.0315303	0.00433385	0.00132068	0.00313066
u	0.0214382	0.939963	0.0113592	0.0254454	0.00111452	0.000344398	0.000335373
l	0.106752	0.659031	0.12158	0.0300943	0.00914755	0.0150901	0.0583049
ú	0.175479	0.100082	0.611693	0.00547877	0.0391841	0.000846028	0.0672367
o	0.0533603	0.0785469	0.73833	0.026299	0.0310704	0.0148774	0.0575157
b	0.019333	0.122223	0.190817	0.301959	0.014727	0.29901	0.0519305
i	0.00411928	0.166733	0.0263761	0.754878	0.00529686	0.0385937	0.00400316
a	0.00619664	0.120095	0.0997154	0.671913	0.0178639	0.0414825	0.0427336
o	0.0168765	0.0152951	0.297747	0.0974294	0.497131	0.0130633	0.0624579
m	0.0109402	0.00539581	0.0200678	0.0232338	0.131911	0.707074	0.101377
a	0.00742271	0.000343586	0.0123597	0.00065548	0.0711026	0.606593	0.301523
n	0.00262162	0.0034607	0.0239898	0.0044492	0.099863	0.455392	0.410223
i	0.00685308	0.00228682	0.0195047	0.000747927	0.103536	0.789119	0.0779521
</S>	0.000662896	0.000123604	0.00834332	0.000192339	0.0960868	0.0347943	0.859797
