 	c'	est	aujourd'	hui	qu'	il	arrive	</S>
w	0.418051	0.244299	0.245606	0.0606693	0.0167307	0.0115837	0.00124011	0.00182001
a	0.321098	0.392782	0.134809	0.00588554	0.0287729	0.106728	0.00943008	0.000493879
l	0.13907	0.332026	0.387947	0.025512	0.0310527	0.0493166	0.00856565	0.0265091
á	0.0849382	0.162162	0.105865	0.0230708	0.0715989	0.221696	0.0688645	0.261805
a	0.123886	0.200155	0.290353	0.0387813	0.0410846	0.127231	0.0444444	0.134065
y	0.0619593	0.240246	0.235551	0.270532	0.0299854	0.00975461	0.0653733	0.0865991
a	0.0593976	0.281287	0.10758	0.153853	0.0250661	0.016421	0.0717654	0.284631
á	0.2551	0.311878	0.178684	0.0161164	0.0151639	0.01035	0.00733565	0.205372
p	0.0504846	0.154388	0.265938	0.322862	0.117414	0.0482028	0.0133136	0.0273967
á	0.00374252	0.018992	0.101337	0.79892	0.0569715	0.00358292	0.00540298	0.0110509
b	0.00540429	0.0558513	0.212168	0.6386	0.0476739	0.00704736	0.00681726	0.0264369
h	0.00410701	0.0150534	0.125639	0.48707	0.284663	0.0154756	0.0295832	0.0384088
a	0.0176385	0.0631518	0.369844	0.47	0.0536462	0.00436734	0.00446452	0.0168876
y	0.0157657	0.0355573	0.13002	0.122159	0.449405	0.12348	0.0547395	0.0688726
é	0.168577	0.132419	0.127771	0.0422356	0.243706	0.162296	0.0809127	0.0420822
</S>	0.0137208	0.0212276	0.0436776	0.0176083	0.294125	0.432618	0.131917	0.0451059
