 	il	n'	a	pas	fini	de	verser	l'	argent	de	la	dot	</S>
w	0.583145	0.0903108	0.085216	0.051546	0.0387771	0.0447472	0.011615	0.0574472	0.0113481	0.00907356	0.0158806	0.00078212	0.000110855
a	0.76993	0.0413782	0.0314219	0.02329	0.0150948	0.0223629	0.00309171	0.0211923	0.0517238	0.0062728	0.0138819	0.000283979	7.56745e-05
a	0.166028	0.294057	0.2375	0.0877435	0.0391478	0.0442289	0.00644017	0.0619329	0.0265003	0.0205738	0.00980984	0.00226415	0.00377301
s	0.0690111	0.351461	0.140107	0.0622216	0.08877	0.117677	0.0411643	0.0229094	0.013175	0.0225002	0.0157814	0.00426413	0.050958
á	0.0176248	0.403053	0.142336	0.0687613	0.0676493	0.0385948	0.01679	0.0152658	0.0162863	0.0249763	0.0211217	0.00148703	0.166054
a	0.0322198	0.0612161	0.109704	0.0622738	0.0420634	0.021124	0.0057654	0.0198137	0.00641155	0.0276791	0.0377076	0.00491611	0.569106
o	0.101018	0.068753	0.282569	0.236357	0.105505	0.0935038	0.0160452	0.0309702	0.0131445	0.0171178	0.0101091	0.00501166	0.0198965
s	0.00283302	0.093358	0.0776541	0.142016	0.0450373	0.0957869	0.494902	0.0158355	0.0122241	0.00931629	0.00226932	0.00362356	0.00514393
í	0.00216559	0.119559	0.0454583	0.0700726	0.0503339	0.0393786	0.473885	0.0359459	0.0416913	0.0251834	0.00697093	0.00199242	0.0873628
í	0.00231501	0.0280724	0.0567665	0.0757352	0.0526857	0.0285154	0.0521069	0.0191693	0.0169854	0.0228255	0.0162895	0.00252925	0.626004
s	0.00772305	0.0189198	0.128394	0.160305	0.304567	0.225401	0.0588829	0.038827	0.00725248	0.0122704	0.014967	0.00288368	0.0196069
a	0.00478562	0.019062	0.0449259	0.0860784	0.256191	0.134885	0.0634608	0.0685894	0.0169878	0.0565044	0.0403992	0.00991665	0.198214
i	0.00411484	0.00506278	0.0566466	0.11189	0.292291	0.151156	0.0410135	0.0931244	0.0213502	0.0479945	0.0420659	0.0106357	0.122655
f	0.00117859	0.00555585	0.0146006	0.0499739	0.12168	0.136709	0.513902	0.0466954	0.0389562	0.0285895	0.0069472	0.0138339	0.0213784
u	0.000635531	0.00400535	0.00486393	0.0346472	0.0568955	0.0930177	0.660734	0.0284389	0.0147378	0.0386807	0.00451464	0.0305636	0.0282647
l	0.000133552	0.00244601	0.00557655	0.0500769	0.0331328	0.0774248	0.673494	0.0317007	0.00921221	0.0152611	0.00446768	0.00471138	0.0923619
a	0.000918316	0.0013799	0.0109204	0.0841656	0.175969	0.215085	0.134895	0.114015	0.0228153	0.0818184	0.0508553	0.0146325	0.0925306
l	0.000852587	0.00265688	0.0179298	0.0408204	0.215882	0.201855	0.105673	0.272331	0.0442944	0.0387479	0.0213735	0.00188354	0.035701
á	0.00581346	0.00468637	0.0121292	0.0180462	0.15481	0.0828046	0.0329425	0.103384	0.030108	0.111421	0.0805191	0.0137254	0.349611
m	0.00451697	0.00242126	0.0128849	0.0159978	0.115106	0.121346	0.0138045	0.439376	0.112861	0.0870463	0.0456379	0.01565	0.0133519
b	0.00373915	0.00221588	0.00333647	0.0026646	0.00483396	0.00620566	0.00417775	0.0354385	0.885945	0.0336672	0.00663737	0.00259132	0.00854701
ώ	2.48562e-05	7.28333e-05	0.000236759	0.000613613	0.00138965	0.00280477	0.0136899	0.0301291	0.887894	0.0444149	0.00611449	0.00540636	0.00720921
n	0.000150232	0.000484948	0.0014799	0.00572464	0.00633834	0.0178084	0.15995	0.0505897	0.63153	0.0741714	0.011185	0.0123388	0.028249
g	0.00293555	0.00263898	0.00799548	0.0218211	0.0587618	0.0828534	0.085423	0.177797	0.214028	0.163194	0.0871809	0.0232047	0.0721657
ω	0.000446528	0.000234891	0.00128293	0.00367137	0.00366127	0.00515138	0.0204003	0.0902849	0.810151	0.0377412	0.00717083	0.00137395	0.0184294
y	0.00190242	0.00252944	0.010333	0.0182652	0.0593228	0.0585476	0.0270477	0.112385	0.0260245	0.436442	0.151291	0.0287559	0.0671527
á	0.0242007	0.0295816	0.0785049	0.0599615	0.067092	0.0706875	0.00937027	0.353823	0.0675098	0.113045	0.0769269	0.0308863	0.0184097
i	0.00441452	0.00453208	0.0153168	0.0155372	0.0497208	0.0508793	0.00612247	0.353017	0.0278793	0.111127	0.253794	0.0995198	0.00813952
t	0.00185	0.00442188	0.00562289	0.00679675	0.0290102	0.0338997	0.0156949	0.0740308	0.0751497	0.178709	0.132163	0.338781	0.10387
ώ	0.000103353	0.00385087	0.00356083	0.00821221	0.0114888	0.0217511	0.0254921	0.0465749	0.00997986	0.0801118	0.0392141	0.69554	0.0541197
ω	6.99929e-05	0.000352251	0.000883892	0.00260476	0.00587097	0.0121241	0.0214001	0.0986987	0.0471997	0.187091	0.127551	0.379626	0.116527
k	0.000473387	0.000629559	0.00175305	0.00378364	0.00919168	0.01291	0.00279734	0.0641237	0.0161023	0.176973	0.303896	0.253461	0.153905
a	0.000609039	0.00188274	0.00271285	0.00902079	0.0156183	0.0218527	0.0135322	0.0862821	0.00537792	0.150431	0.0992158	0.456783	0.136682
á	0.000157729	0.000264424	0.000432148	0.00159146	0.00643576	0.00895526	0.00684774	0.0391374	0.0125178	0.167094	0.0607853	0.312097	0.383684
</S>	0.000640403	0.000891826	0.00403075	0.00425785	0.0147351	0.00908247	0.00198864	0.0233228	0.00646309	0.0910767	0.252108	0.0929628	0.49844
