 	la	mère	est	en	colère	contre	sa	fille	qui	s'	est	livrée	à	la	débauche	</S>
n	0.743145	0.128123	0.0269305	0.0113315	0.027835	0.0310128	0.0179555	0.0022611	0.00242623	0.00414498	0.00134165	0.00053635	0.00167674	0.000929733	0.000319596	2.96565e-05
g	0.448904	0.547014	0.00111865	0.000294973	0.000536208	0.000185524	0.000658974	5.15511e-05	4.45168e-05	0.000375134	0.000485372	9.07299e-05	0.000133781	6.77946e-05	1.47068e-05	2.38672e-05
ó	0.0390274	0.949759	0.00505396	0.000679898	0.000545075	0.000497777	0.000491524	0.00199221	0.00025332	0.000595578	0.000626703	7.28187e-05	0.000256465	0.000121443	6.44657e-06	2.07007e-05
o	0.0306074	0.965667	0.00141667	0.000309874	0.000258223	0.000322811	0.000299243	0.000203045	0.000149631	0.000225613	0.000298109	4.4585e-05	8.99161e-05	4.07331e-05	7.14541e-06	6.027e-05
á	0.284072	0.0424511	0.380709	0.0486772	0.0147985	0.00855955	0.0182021	0.00891442	0.0263614	0.0324136	0.0226898	0.009856	0.051366	0.0329044	0.00113282	0.0168922
m	0.0270281	0.0737169	0.428358	0.383307	0.0368794	0.00771387	0.00229783	0.000842378	0.00109062	0.00203297	0.00219923	0.0031158	0.00605919	0.00822361	0.00695321	0.0101824
i	0.0120594	0.000635839	0.48595	0.458632	0.0200507	0.00695056	0.000742738	0.000569071	0.000797896	0.00105817	0.00071148	0.00177202	0.00320937	0.00246766	0.000179812	0.00421325
b	0.0658197	0.00647939	0.356796	0.465105	0.0488957	0.0148291	0.00319745	0.00332208	0.00132023	0.00195283	0.00197372	0.00313347	0.0039007	0.00394661	0.00439822	0.0149291
á	0.00152348	7.96814e-05	0.166504	0.711339	0.0388161	0.0291344	0.00409445	0.00254151	0.00342247	0.00445971	0.00240786	0.00565503	0.00863976	0.00508641	0.00139861	0.0148978
r	0.00849382	4.92137e-05	0.230986	0.480993	0.0597834	0.02122	0.0229249	0.0185505	0.0140725	0.0315045	0.0103538	0.0179347	0.0299908	0.0202565	0.00054845	0.0323379
á	0.0810855	0.000423673	0.162249	0.180931	0.310013	0.0974843	0.0443051	0.0252661	0.023374	0.0239618	0.00971067	0.00340097	0.0115497	0.00531074	0.000141368	0.0207935
k	0.0139112	0.00056124	0.1468	0.227222	0.217075	0.105519	0.0941522	0.0828401	0.0221242	0.0261168	0.0140777	0.0113952	0.0153605	0.0104842	0.00095543	0.0114052
y	0.000923267	7.11035e-05	0.0073129	0.0266101	0.808153	0.0953906	0.00530755	0.00220584	0.00423132	0.00278348	0.0013945	0.0259908	0.00158299	0.000668101	0.0136466	0.00372751
έ	0.000136165	7.73683e-06	0.00232269	0.0364983	0.861363	0.0419497	0.00177332	0.00109823	0.00365975	0.00301442	0.00185344	0.0252081	0.00418683	0.0020275	0.00547907	0.00942185
r	0.000702274	2.86203e-05	0.0135378	0.121884	0.545717	0.0872485	0.0101473	0.00173944	0.0106293	0.0137054	0.0068252	0.0160633	0.0171245	0.0129936	0.0128202	0.128833
ε	0.00090986	1.13145e-05	0.0146945	0.0902376	0.750234	0.0451425	0.00872047	0.00147665	0.00958025	0.00824739	0.00566698	0.0116135	0.0127589	0.00709356	0.00204626	0.0315663
l	0.00421224	2.80741e-06	0.0448579	0.121214	0.287874	0.172502	0.227854	0.0305504	0.0352292	0.0148344	0.0129117	0.00820949	0.0142751	0.0085138	0.000928805	0.0160304
