 	la	manière	dont	il	pleure	dans	la	maison	il	se	pourrait	que	son	père	soit	mort	</S>
e	0.0850588	0.277974	0.46084	0.159832	0.00259261	0.00285149	0.000599468	0.0035866	0.00128411	0.00146468	0.000349744	0.000798174	0.000476943	0.000247552	0.000738145	0.000108948	0.00119744
l	0.00992309	0.0193771	0.0149014	0.0199647	0.856816	0.0248022	0.0167882	0.00118939	0.000883832	0.0121587	0.00964629	0.000732492	0.000695965	3.95463e-05	0.000257403	0.00976564	0.00205844
e	0.000971251	0.00291226	0.0061712	0.00135535	0.944379	0.011887	0.00301177	0.000640874	0.00150908	0.00364149	0.00967923	0.00278321	0.00121464	0.000750066	3.72482e-05	0.000936968	0.00811986
e	0.000144659	0.000331774	0.000748217	0.00148218	0.97029	0.0164329	0.0037987	0.000282636	0.000282279	0.00169988	0.00060592	0.000116567	6.04473e-05	2.62122e-05	2.30381e-05	0.000585852	0.00308852
l	0.0157597	0.00899308	0.0142745	0.0588329	0.511969	0.120954	0.0622652	0.0133762	0.0114606	0.0245424	0.039818	0.00841486	0.00652205	0.00313849	0.00380459	0.00881725	0.0870572
í	0.00325894	0.00172069	0.00152115	0.0233037	0.450086	0.0856041	0.0280061	0.0189605	0.0101318	0.0218822	0.0112176	0.00566644	0.00818965	0.00436253	0.00650027	0.0249788	0.294609
y	0.181875	0.317176	0.0676454	0.0835206	0.0507284	0.106657	0.0497471	0.014014	0.0162299	0.0152571	0.00325298	0.0164864	0.0205746	0.000891654	0.00699621	0.00460323	0.0443441
é	0.194325	0.0735329	0.163838	0.0636859	0.324053	0.0493504	0.0125088	0.00639603	0.0115476	0.00456148	0.0202468	0.0130393	0.0131858	0.00310356	0.000922006	0.00597818	0.0397257
é	0.194216	0.147941	0.0975728	0.0418459	0.152799	0.105507	0.0331007	0.0156094	0.0179405	0.00968834	0.0176604	0.0230827	0.0227711	0.00184576	0.000536822	0.00603308	0.111851
l	0.00424964	0.0156498	0.0197045	0.0669056	0.587581	0.113311	0.0420919	0.0207537	0.0172345	0.026592	0.0266858	0.005787	0.00725556	0.0038643	0.00295293	0.0177719	0.0216092
e	0.00194431	0.00543476	0.0104486	0.0465482	0.686276	0.133542	0.0418393	0.00901965	0.00812547	0.00855295	0.00343797	0.00251923	0.00241912	0.000665051	0.000361477	0.00758733	0.0312783
á	0.0085918	0.0166508	0.0229729	0.0389684	0.628815	0.077308	0.0339258	0.0159784	0.00542007	0.00648476	0.0084784	0.00447783	0.00190955	0.000815381	0.000471956	0.00762631	0.121104
w	0.00371974	0.00873364	0.0132754	0.191793	0.0669613	0.269859	0.183653	0.120998	0.0357824	0.016081	0.00939145	0.0189422	0.0221708	0.00670961	0.00310554	0.0057292	0.0230958
a	0.0103913	0.020128	0.00775594	0.178874	0.0282622	0.0692615	0.113073	0.107231	0.12047	0.0607452	0.0319552	0.0486962	0.0908579	0.0398898	0.0137319	0.0167249	0.0419512
s	0.00390153	0.00712875	0.00916567	0.21617	0.0898654	0.204092	0.129404	0.0996605	0.0504777	0.0174191	0.00979907	0.0310813	0.0312222	0.0146009	0.0123625	0.0109285	0.0627203
á	0.0660096	0.0253529	0.0392316	0.0338674	0.0344291	0.266598	0.251568	0.228071	0.0257394	0.00462484	0.00581842	0.00930381	0.00545996	0.000718082	8.67982e-05	0.00102124	0.00209992
n	0.011263	0.00250254	0.00232296	0.0305024	0.00373471	0.116783	0.352106	0.382654	0.0472355	0.0139286	0.0106249	0.0118064	0.00876575	0.00356011	0.000210567	0.000906787	0.00109294
d	0.00456021	0.00750092	0.0708568	0.0184745	0.000496402	0.0567254	0.059326	0.749596	0.00905828	0.00256949	0.00127665	0.0118414	0.00480905	0.000179148	0.000680989	0.000465452	0.00158301
é	0.00167116	0.000977227	0.00423581	0.00185154	0.00115166	0.0580409	0.0599972	0.83564	0.00909918	0.0025346	0.00608319	0.00952277	0.00342431	0.000350599	7.74e-05	0.00101126	0.00433088
e	0.00161006	0.00258502	0.00696718	0.00771326	0.00779149	0.123588	0.123508	0.201676	0.15972	0.0510982	0.062177	0.15088	0.0639221	0.00728606	0.00153963	0.00855283	0.0193853
y	0.00392975	0.00681846	0.00334582	0.00939981	0.00577012	0.207644	0.162028	0.0479786	0.326064	0.0801048	0.0219657	0.0676954	0.0316636	0.00534025	0.0156986	0.00185973	0.00269345
é	0.0617958	0.0311439	0.0342359	0.0111413	0.00616216	0.191907	0.21951	0.0839513	0.159785	0.0262684	0.0867237	0.055305	0.0201493	0.00301174	0.000207974	0.00329441	0.00540665
p	0.0187259	0.027058	0.00530909	0.00864932	0.000985791	0.0787797	0.0761165	0.0345955	0.353035	0.0725025	0.0932871	0.133886	0.0672749	0.0213382	0.00111894	0.00295691	0.0043814
e	0.000118621	0.000737375	0.000490301	0.000357385	0.000629434	0.00651468	0.0112272	0.00528021	0.0347833	0.035813	0.789313	0.0103177	0.00359017	0.0960023	0.000486789	0.0028468	0.00149228
n	0.000380347	0.000728492	0.000602641	0.000482002	0.00153161	0.00932916	0.00929378	0.00588598	0.0820681	0.0610777	0.596635	0.0445764	0.0237709	0.134527	0.00138833	0.00884805	0.018875
á	0.00260372	0.00230135	0.00153517	0.0015115	0.00154123	0.0379072	0.0797868	0.139463	0.165132	0.132039	0.269961	0.074266	0.0316706	0.0250914	0.00226928	0.00520045	0.0277208
t	0.00140922	0.000966972	0.000742726	0.0060659	0.000401244	0.0316973	0.0346059	0.0340736	0.223478	0.117767	0.0642594	0.226437	0.18629	0.0382486	0.0193348	0.00501685	0.00920544
á	0.00024466	0.000553143	0.000215302	0.000299324	8.99598e-05	0.00217115	0.00531651	0.00348765	0.0513301	0.0449971	0.643812	0.0250847	0.0131701	0.205863	0.000945044	0.00159064	0.000829648
á	0.000146592	0.000211284	0.000119302	0.000523449	0.000117549	0.00390365	0.00508578	0.00226464	0.0475915	0.0574928	0.215692	0.0624997	0.0499796	0.52948	0.011668	0.0068693	0.00635517
á	0.00143472	0.0013863	0.000686043	0.0122171	0.000749708	0.0187203	0.0126857	0.0086034	0.087222	0.0931821	0.0163446	0.162199	0.300441	0.0959318	0.116357	0.025459	0.0463807
m	0.00115171	0.00271594	0.000805743	0.00363791	0.0248611	0.0564539	0.0155523	0.00242436	0.0232905	0.106255	0.0176753	0.0194904	0.0462236	0.0953704	0.208854	0.310908	0.0643296
i	0.0040279	0.0427329	0.00174893	0.00802332	0.00266063	0.0371731	0.0126026	0.00164729	0.012934	0.0545889	0.0135798	0.0233571	0.0518908	0.0165675	0.152276	0.294354	0.269836
w	0.000573382	0.00165271	0.000325105	0.000445139	0.0363885	0.011317	0.00405586	0.000896073	0.00512233	0.0584127	0.0704722	0.00868436	0.0141144	0.0102717	0.0988188	0.356055	0.322395
á	4.78804e-05	0.000508535	7.3609e-05	0.000202831	0.00128186	0.00345105	0.00443137	0.000434074	0.0126643	0.0661672	0.227494	0.0138944	0.0234636	0.0732086	0.0294439	0.455675	0.0875574
a	0.00026802	0.000191721	0.000209861	0.00044375	0.000276933	0.00278854	0.00315736	0.00116738	0.0242995	0.0408059	0.0978632	0.048678	0.109266	0.209663	0.0429634	0.261827	0.156131
</S>	0.0010671	0.00055397	0.000632197	0.00220874	0.000407373	0.00875341	0.00667165	0.00237391	0.0184776	0.0388073	0.0164465	0.0603916	0.123661	0.0331767	0.175056	0.262813	0.248502
