 	ces	noix	de	palme	sont	bien	mûres	</S>
m	0.624586	0.328229	0.0416522	0.00322709	0.000849694	0.00132674	5.67389e-06	0.000124094
b	0.0985625	0.807312	0.0415573	0.0167363	0.0157573	0.00448846	0.000277036	0.0153089
í	0.013136	0.980149	0.00333461	0.0028149	0.000194491	8.38068e-05	0.000220222	6.68657e-05
a	0.0539408	0.932395	0.0066961	0.00629099	0.00012344	0.000249999	6.49188e-05	0.000238273
y	0.0821063	0.059017	0.62434	0.198544	0.0197901	0.00384214	0.00027303	0.012087
é	0.148478	0.0523653	0.379001	0.302351	0.0831897	0.00988841	0.00366018	0.0210662
é	0.1173	0.062568	0.447891	0.270372	0.0603605	0.0185012	0.00868043	0.0143267
m	0.00500928	0.00145972	0.115837	0.516374	0.218656	0.0723589	0.0505591	0.0197456
i	0.0195113	0.0308584	0.067619	0.312061	0.219948	0.304202	0.009696	0.0361041
s	0.00158913	0.00208523	0.0146455	0.26621	0.154064	0.190867	0.25407	0.116469
á	0.000202242	0.000335413	0.00257437	0.142626	0.0890576	0.0354739	0.679206	0.0505248
á	0.00127141	0.00131135	0.0227915	0.143394	0.237228	0.106644	0.146503	0.340856
o	0.0121702	0.00673683	0.0420972	0.0881589	0.245588	0.447503	0.107772	0.0499739
y	0.000813794	0.000733859	0.000640348	0.0033644	0.0124562	0.045477	0.922623	0.0138911
o	0.000115851	1.12349e-05	0.00033129	0.00328221	0.0118828	0.0136509	0.951903	0.018823
a	0.00028367	3.14251e-05	0.000894643	0.00224617	0.00678474	0.0159981	0.839325	0.134437
</S>	0.000988243	0.000168035	0.00407629	0.00618007	0.0435902	0.122244	0.123664	0.699089
