 	papa	a	apporté	les	planches	il	faut	les	vendre	</S>
d	0.890854	0.0790508	0.00508658	0.00839801	0.00483201	0.00387357	0.00591319	0.00172681	0.000122837	0.000141965
a	0.976593	0.0126257	0.00107358	0.0027073	0.000286468	0.0043725	0.000733644	0.00115565	9.55889e-06	0.000442592
a	0.873424	0.107026	0.00582154	0.00510617	0.00220362	0.00342335	0.000298945	0.000485265	0.000152115	0.00205848
d	0.463397	0.426128	0.0260133	0.00533443	0.00597024	0.0031133	0.00179907	0.00272539	0.00156406	0.0639548
á	0.672801	0.189547	0.0267818	0.0123569	0.0072368	0.0131871	0.00202964	0.00435952	0.000389293	0.0713104
á	0.0769669	0.284567	0.113072	0.0157988	0.039958	0.0147154	0.00783793	0.0180435	0.00345306	0.425587
y	0.00851795	0.106981	0.66504	0.0993617	0.0363318	0.0132348	0.0172917	0.0175289	0.00307109	0.0326414
ε	0.0430563	0.104275	0.640431	0.0663223	0.114778	0.00566654	0.00303744	0.00390292	0.000256067	0.0182747
i	0.0160753	0.0244685	0.420713	0.241113	0.0694074	0.0310454	0.0138272	0.0256353	0.000686471	0.157028
l	0.0019533	0.0146677	0.376859	0.387264	0.124925	0.0375468	0.0163409	0.0126956	0.00113395	0.0266144
a	0.00444176	0.00974037	0.223589	0.318464	0.184178	0.0496061	0.032786	0.0336777	0.00289093	0.140627
a	0.00923838	0.0121024	0.146761	0.310491	0.28221	0.100856	0.0305328	0.0213463	0.00475497	0.0817066
b	0.00164802	0.00947702	0.245956	0.345755	0.219402	0.063822	0.0338505	0.0280441	0.0199795	0.0320661
á	0.00325075	0.0217886	0.110322	0.199694	0.215103	0.262654	0.135401	0.0210521	0.0161849	0.0145497
y	0.000818089	0.00488276	0.0662471	0.11671	0.508512	0.160969	0.0723592	0.00989193	0.010252	0.0493572
á	0.000682269	0.00217013	0.0409954	0.261493	0.465566	0.134684	0.0447352	0.0178402	0.00146296	0.0303713
k	0.00226817	0.00395744	0.0334199	0.0743239	0.140215	0.195824	0.261669	0.153086	0.077002	0.0582344
á	0.00261625	0.00724516	0.00779362	0.0300889	0.689821	0.123753	0.109807	0.0108214	0.0102604	0.00779271
a	0.00123295	0.00265677	0.0328702	0.0618321	0.229774	0.209783	0.183989	0.0660291	0.128449	0.0833845
l	0.000268991	0.000766468	0.00904256	0.0171363	0.0144217	0.146183	0.239997	0.379121	0.0662305	0.126832
é	0.00143288	0.00278223	0.0841809	0.0573106	0.0365202	0.142953	0.198237	0.229956	0.0299048	0.216722
e	0.000675091	0.000565027	0.0198764	0.0200224	0.0058136	0.0908513	0.243008	0.398821	0.0581217	0.162246
k	0.0042175	0.00310769	0.0203515	0.0275399	0.00948062	0.0320351	0.0576677	0.223036	0.500424	0.122139
i	0.000104102	0.000247487	0.00113753	0.00467333	0.00177863	0.00875584	0.0267741	0.0280029	0.910528	0.017998
r	0.000126056	7.55713e-05	0.000488201	0.00270654	0.000932768	0.0064788	0.0133602	0.0274032	0.909645	0.0387835
á	0.000794467	0.0006663	0.0040785	0.0326422	0.00638332	0.0786794	0.0884655	0.174236	0.369894	0.24416
m	0.00217501	0.000671445	0.00284586	0.0187209	0.0168624	0.0314617	0.0223263	0.147848	0.209969	0.547119
á	0.00824119	0.00239563	0.00486919	0.0480742	0.0240092	0.0933395	0.0133068	0.13204	0.018258	0.655467
a	0.00764042	0.0017143	0.0150463	0.0613751	0.0150599	0.132766	0.0822657	0.346289	0.0659431	0.2719
</S>	0.00491346	0.00171662	0.0367148	0.0292461	0.0100342	0.027975	0.0399289	0.194999	0.343448	0.311025
