 	le	sac	qu'	il	a	en	main	est	bleu	foncé	</S>
p	0.272945	0.369532	0.298228	0.0308717	0.00510312	0.00274618	0.00673212	0.00625912	0.00381682	0.000926398	0.00283892
ε	0.0196694	0.941166	0.0100779	0.00495508	0.000805383	0.00109475	0.00102139	0.00298571	0.00299688	0.014567	0.000660778
n	0.0243653	0.389682	0.401888	0.118609	0.00758435	0.0047219	0.00167964	0.0160186	0.00221681	0.00471854	0.0285166
g	0.151794	0.750884	0.0635307	0.0149643	0.00416591	0.00487896	0.00204979	0.00249098	0.000983883	0.000219176	0.00403839
ε	0.177114	0.789474	0.0268259	0.00372379	0.000435461	0.000527962	0.000282457	0.000247224	9.61473e-05	1.2199e-05	0.00126055
y	0.0816786	0.0341845	0.735441	0.0838275	0.0215399	0.016333	0.00503992	0.004957	0.00580484	0.000616263	0.0105777
é	0.190588	0.0650506	0.49801	0.145004	0.043618	0.0131684	0.00367548	0.00451145	0.00263504	0.000444711	0.0332945
é	0.038932	0.0169814	0.491575	0.305381	0.0667866	0.029959	0.00823933	0.00487822	0.00487514	0.000791093	0.0316016
d	0.0159672	0.00282054	0.00953117	0.0828041	0.480568	0.228666	0.0590497	0.0334609	0.0176628	0.0121418	0.0573281
í	0.00650457	0.000202209	0.00209911	0.0249063	0.199293	0.235147	0.0273115	0.0546107	0.0320235	0.0144782	0.403425
l	0.0233738	0.00139177	0.0368508	0.0544377	0.145503	0.193147	0.0491151	0.0645915	0.0421793	0.0857178	0.303691
a	0.00750592	0.0025918	0.0265881	0.107989	0.210136	0.245589	0.0989066	0.0915721	0.0181098	0.00697161	0.18404
w	0.0523851	0.0274379	0.0757502	0.145073	0.129585	0.198316	0.135211	0.113614	0.0308881	0.0188512	0.0728886
a	0.0174663	0.0310749	0.0409726	0.401598	0.150698	0.108369	0.0568058	0.108552	0.0441365	0.00748464	0.0328425
m	0.00191108	0.00235693	0.0106723	0.0375342	0.127495	0.283028	0.298624	0.106055	0.0357369	0.0224098	0.0741774
é	0.00907543	0.000924988	0.0126496	0.0197839	0.0434869	0.218156	0.215146	0.15241	0.187939	0.0167249	0.123703
b	0.0190461	0.00336622	0.0144859	0.0419895	0.0538967	0.160882	0.263583	0.24082	0.0522298	0.134689	0.0150113
ω	0.00177895	0.00026844	0.000919527	0.00677558	0.0304875	0.118631	0.474831	0.234127	0.0386405	0.0795896	0.0139509
ω	0.000449025	0.00109101	0.00274864	0.00727507	0.0155135	0.0677954	0.531242	0.223999	0.0472361	0.0783133	0.0243361
é	0.0113295	0.00116003	0.01903	0.0145703	0.0548808	0.117795	0.196422	0.236982	0.183219	0.0725931	0.0920188
d	0.0188856	0.00169695	0.00373019	0.0072764	0.0415954	0.0831668	0.056718	0.18225	0.393208	0.180803	0.0306704
í	0.00351416	3.64563e-05	0.000300288	0.000840953	0.0126758	0.0404748	0.00984397	0.0641974	0.201314	0.11726	0.549542
p	0.00467009	0.000173238	0.00251943	0.00493208	0.0254605	0.0477389	0.0159921	0.0734543	0.190087	0.447553	0.187419
i	0.000900015	0.000886854	0.000591154	0.00361365	0.00856015	0.0386195	0.031482	0.214568	0.333172	0.311918	0.0556885
b	0.000569204	0.000364982	0.00110001	0.00200029	0.00650187	0.0268225	0.0222802	0.0948791	0.248206	0.279665	0.317611
h	0.00094467	0.000189919	0.000342012	0.000777416	0.00394731	0.0198532	0.038579	0.13068	0.280541	0.417319	0.106826
i	0.00182788	0.000450284	0.0014707	0.00124245	0.00402762	0.0206781	0.0444951	0.116552	0.227883	0.333793	0.247581
í	0.000858133	0.000525414	0.0016032	0.00073077	0.00246234	0.014521	0.0384114	0.125659	0.256869	0.198546	0.359814
b	0.00610707	0.000472209	0.00342385	0.00338915	0.0238245	0.0505079	0.0366788	0.0963353	0.287921	0.169488	0.321852
h	0.00395861	0.000317356	0.00178234	0.00503471	0.0167935	0.0372502	0.0605134	0.105811	0.340547	0.352962	0.0750297
i	0.00960011	0.000911563	0.00176084	0.00170176	0.00556122	0.028249	0.0589168	0.146303	0.266577	0.327796	0.152623
í	0.00195187	0.000184047	0.000916712	0.000411982	0.0018113	0.0146809	0.0234262	0.0931653	0.301406	0.162229	0.399817
</S>	0.0112474	0.000784329	0.0030838	0.00332805	0.0181577	0.0469257	0.0474255	0.119138	0.233565	0.131031	0.385314
