 	l'	aînée	des	filles	les	entraîne	dans	la	forêt	</S>
m	0.624275	0.275901	0.0440425	0.00896213	0.0372056	0.00357136	0.00175924	0.003385	0.000844351	5.44946e-05
w	0.53466	0.241166	0.130825	0.012473	0.0178076	0.0174519	0.0118596	0.019544	0.000587674	0.0136255
á	0.312586	0.579203	0.0422918	0.022105	0.0227574	0.0169869	0.000635296	0.00173193	0.000930218	0.000772233
n	0.751455	0.0842211	0.0488581	0.00841316	0.0555923	0.0126637	0.00745635	0.00886549	0.000379418	0.0220951
a	0.311699	0.134778	0.0876843	0.0648449	0.0586313	0.0940764	0.0109778	0.00879283	0.0008564	0.227659
o	0.538838	0.177603	0.150302	0.0634437	0.0256911	0.00855603	0.0148246	0.00823871	0.00130601	0.0111967
y	0.116917	0.328444	0.181361	0.327656	0.00903556	0.0202153	0.0088741	0.00171742	0.00181789	0.00396139
ú	0.278846	0.444506	0.113438	0.1435	0.00375951	0.0110558	0.00146236	0.000313402	0.000140777	0.00297736
r	0.354755	0.141625	0.176583	0.150726	0.0303692	0.00677031	0.0213535	0.0188411	0.00109393	0.0978828
u	0.530741	0.278152	0.0941815	0.061657	0.0216328	0.00281504	0.00152994	0.0038121	0.00110496	0.00437368
y	0.0478741	0.0254197	0.645803	0.169707	0.0546075	0.0114142	0.0204477	0.0133893	0.00118267	0.0101547
a	0.201903	0.075667	0.336146	0.234549	0.0815443	0.0288317	0.00858347	0.0051154	0.00116793	0.0264922
b	0.0454781	0.0117373	0.374402	0.176138	0.319319	0.0489065	0.00358654	0.00440205	0.00276808	0.0132631
o	0.114788	0.376724	0.104942	0.155093	0.10071	0.127116	0.00427965	0.00387675	0.0060726	0.00639696
s	0.0366267	0.0951608	0.186131	0.455683	0.121116	0.0974715	0.00325556	0.00102967	0.000748967	0.00277596
ó	0.39539	0.117248	0.0712454	0.187465	0.104934	0.0170615	0.0217578	0.00816729	0.00380546	0.0729245
l	0.0241893	0.00488491	0.199343	0.119697	0.355806	0.1477	0.103529	0.026996	0.00305882	0.0147961
á	0.0116246	0.00398355	0.0744463	0.064231	0.111387	0.0824417	0.19188	0.072739	0.00504564	0.382221
a	0.0114947	0.00531083	0.136904	0.046861	0.31023	0.192999	0.166928	0.0685408	0.0247004	0.0360307
b	0.0048055	0.0163735	0.0203762	0.108519	0.0410141	0.622281	0.146102	0.0119043	0.0197368	0.00888805
é	0.000744687	0.0420638	0.0255836	0.156619	0.101458	0.504646	0.110447	0.0331874	0.00403595	0.0212141
r	0.00165735	0.00633481	0.0236852	0.299463	0.103974	0.165549	0.261439	0.0421506	0.0179659	0.0777819
á	0.0122958	0.00340077	0.0191369	0.0972187	0.189542	0.0731573	0.276789	0.12276	0.0369517	0.168748
b	0.00122175	0.00085452	0.0108121	0.0177148	0.171381	0.146472	0.20967	0.239809	0.163709	0.0383569
á	0.0018699	0.0033606	0.00501111	0.0121508	0.162874	0.294285	0.0947813	0.129827	0.268787	0.0270542
a	0.00259863	0.00257074	0.0121732	0.00492509	0.131438	0.154156	0.120365	0.314164	0.207526	0.0500825
s	0.000402788	0.000541139	0.00247426	0.00738865	0.0101241	0.0185987	0.427197	0.238131	0.204422	0.0907199
á	0.0021358	0.00636842	0.00663497	0.0344755	0.0105122	0.0892607	0.316942	0.199478	0.11004	0.224153
k	0.00130574	0.000988511	0.0035892	0.00595161	0.0152777	0.014461	0.0727809	0.162856	0.420257	0.302533
ώ	7.8002e-05	0.000255807	0.000189782	0.000719467	0.00112383	0.000556557	0.00898873	0.0102307	0.960262	0.0175946
</S>	2.5112e-05	0.000134475	8.67176e-05	0.00125986	0.00164363	0.000488762	0.0132852	0.0179166	0.916894	0.0482661
