 	asoua	est	en	train	de	préparer	un	voyage	</S>
a	0.89839	0.0860473	0.0094922	0.00218228	0.00340612	6.21287e-05	0.000392537	1.7794e-05	9.06153e-06
s	0.985177	0.0128799	0.00107054	0.000265663	0.000119219	9.66662e-05	0.000187372	0.000130729	7.26916e-05
ú	0.942541	0.0559453	0.000668939	2.9735e-05	5.92497e-05	0.000429778	5.92057e-05	0.000183168	8.3302e-05
a	0.788245	0.185108	0.00750147	0.000314947	0.000423971	0.00257942	0.00096562	0.000885755	0.0139758
b	0.0259294	0.260787	0.489574	0.0242547	0.0782605	0.0154672	0.0109593	0.00109693	0.093671
ó	0.00561497	0.133302	0.51439	0.150857	0.144621	0.00341717	0.0144283	0.00716385	0.0262046
l	0.00751243	0.105167	0.295928	0.309465	0.228168	0.0169582	0.0250019	0.00147437	0.0103244
á	0.0141709	0.104437	0.203567	0.094915	0.17594	0.0763151	0.0848484	0.0170932	0.228713
a	0.0124372	0.155455	0.231453	0.206841	0.221773	0.0699097	0.0376416	0.0125639	0.0519253
s	0.00939027	0.0426842	0.021551	0.0229712	0.0547178	0.818921	0.0118213	0.00973334	0.00820939
ώ	0.0288336	0.0582914	0.00754476	0.00283475	0.016883	0.849924	0.00795691	0.010213	0.0175189
s	0.0011722	0.0395551	0.0337196	0.00598434	0.0355794	0.773977	0.0328786	0.0148737	0.0622596
ώ	0.00672061	0.138917	0.104185	0.0141773	0.139087	0.455274	0.0665573	0.0137618	0.0613201
ώ	0.000379015	0.0168044	0.112769	0.0577584	0.46607	0.116636	0.161179	0.0112865	0.0571169
o	0.00568919	0.0199899	0.0273373	0.031977	0.108416	0.0729543	0.600377	0.114619	0.0186406
s	0.0147402	0.0036106	0.00113043	0.000859213	0.00238153	0.360157	0.170838	0.43225	0.0140327
í	0.00983699	0.0151226	0.000989543	0.000168311	0.00227708	0.235483	0.158284	0.528961	0.0488788
n	0.00124279	0.0134457	0.00609131	0.00248017	0.0166424	0.127888	0.185285	0.330137	0.316787
á	0.00307217	0.0545507	0.047058	0.0072937	0.0257096	0.0280961	0.267682	0.361881	0.204657
</S>	0.000209429	0.00392274	0.0153688	0.00731152	0.032894	0.0245787	0.261487	0.164495	0.489733
