 	les	femmes	n'	entrent	jamais	dans	le	lieu	initiatique	du	kyebé-kyebé	</S>
a	0.641645	0.19016	0.0136955	0.0062871	0.0113993	0.0244322	0.0193539	0.031396	0.0352449	0.0110734	0.0142661	0.00104686
y	0.069317	0.827071	0.0271544	0.0210102	0.0303935	0.00639738	0.0015464	0.00247921	0.00322602	0.00289673	0.00742505	0.00108302
ú	0.568571	0.375474	0.0194392	0.00725837	0.00463527	0.00469684	0.00147776	0.00396727	0.00102032	0.00345083	0.00247418	0.00753543
r	0.569658	0.177033	0.0251922	0.0106209	0.0280039	0.0226953	0.00920682	0.0199928	0.00138407	0.0274499	0.00301927	0.105743
u	0.7706	0.144334	0.012107	0.00121996	0.00785384	0.00900415	0.00927747	0.0184381	0.00160529	0.0070584	0.00218671	0.016315
á	0.262179	0.0610827	0.470855	0.0647126	0.0129769	0.0122209	0.0135282	0.0110153	0.00861747	0.0272386	0.00695835	0.0486146
d	0.0310731	0.0372846	0.335913	0.505574	0.0171888	0.00778409	0.00604761	0.00414224	0.00382261	0.0160409	0.0038644	0.0312645
i	0.0215495	0.00774053	0.200245	0.468986	0.0723687	0.0300339	0.0134028	0.00947321	0.00287387	0.0289189	0.00027656	0.144131
í	0.0897938	0.00466673	0.20111	0.223494	0.186978	0.0943123	0.0490292	0.0314806	0.0260757	0.0390575	0.00880918	0.0451923
s	0.0664174	0.0126188	0.092131	0.437132	0.145448	0.0995643	0.0499412	0.0512544	0.0182082	0.0109875	0.00452016	0.0117769
á	0.0434899	0.016853	0.103504	0.242776	0.132434	0.143837	0.0958776	0.0912661	0.0148126	0.0300215	0.00162709	0.083501
k	0.0381554	0.00147324	0.0613082	0.0710247	0.0988406	0.144585	0.128672	0.119157	0.0599554	0.0654044	0.0239424	0.187481
i	0.016561	0.00172067	0.0258392	0.101851	0.0799507	0.0767033	0.0799029	0.055534	0.462891	0.0312502	0.0480732	0.0197226
n	0.00222369	0.000849709	0.0608142	0.0693964	0.0709894	0.0819989	0.149346	0.0560728	0.289242	0.0564786	0.0366059	0.125982
d	0.0394623	0.000748892	0.0544889	0.0550065	0.155868	0.109766	0.165829	0.141566	0.103323	0.0596734	0.0132115	0.101056
a	0.0209339	0.00210932	0.0476442	0.024886	0.192311	0.115408	0.182012	0.122365	0.0451415	0.0347191	0.00477153	0.207699
l	0.00342408	3.85827e-05	0.0196411	0.0464331	0.278804	0.190358	0.152187	0.182833	0.0644858	0.0374667	0.00270024	0.0216287
á	0.0238524	0.000424491	0.0293911	0.0853291	0.131527	0.105056	0.0838618	0.159475	0.0995859	0.126556	0.00324542	0.151696
k	0.00482276	0.00159107	0.00502477	0.0103623	0.0437536	0.177277	0.158552	0.298534	0.165518	0.0969189	0.0150804	0.0225659
y	0.000459702	0.000325519	0.00500522	0.0192884	0.0153229	0.0350498	0.0312583	0.0237434	0.696458	0.0937186	0.0719917	0.00737824
e	0.000172499	1.85589e-05	0.000338091	0.0022271	0.00532405	0.0128297	0.0201151	0.01548	0.622459	0.0832142	0.226477	0.0113447
b	0.000418302	1.11375e-05	0.001468	0.00556891	0.0124533	0.0259427	0.0414357	0.0228212	0.174755	0.162354	0.479691	0.0730809
h	0.0018501	7.80983e-06	0.000887593	0.00124524	0.0248697	0.0365431	0.0879457	0.0987969	0.307142	0.123004	0.178449	0.139259
é	0.008421	6.93228e-05	0.00334806	0.00433062	0.0184216	0.0355118	0.100801	0.063201	0.238554	0.170944	0.176904	0.179494
k	0.00254451	4.54257e-05	0.00624514	0.0062683	0.0263036	0.0448383	0.0609084	0.0805367	0.106231	0.348274	0.144883	0.172921
y	0.00163196	0.000146122	0.00891512	0.0196016	0.00871853	0.0214848	0.0253692	0.0252999	0.279677	0.159736	0.363239	0.0861807
e	0.000382234	2.56327e-05	0.0012674	0.00224012	0.00432586	0.00853398	0.0167611	0.0121712	0.20502	0.244346	0.382123	0.122804
b	0.000442501	9.73001e-06	0.00136281	0.00197699	0.00417726	0.0064812	0.0127723	0.00773612	0.068148	0.155119	0.545113	0.196662
h	0.00112036	1.20741e-05	0.00181122	0.00154767	0.00783501	0.0284142	0.0574855	0.08182	0.175786	0.155715	0.269714	0.218739
é	0.00735289	2.22927e-05	0.00182199	0.00127811	0.0118264	0.0308067	0.0758898	0.046878	0.0973934	0.214345	0.326479	0.185907
o	0.00264305	5.80235e-05	0.00431239	0.00519435	0.0135995	0.0199299	0.0300657	0.0427159	0.0530027	0.229392	0.261871	0.337215
k	0.0112032	0.00374785	0.025146	0.0447798	0.0635308	0.0815779	0.0556229	0.0360558	0.0553371	0.157536	0.304059	0.161404
ó	3.83814e-05	6.50897e-05	0.0026728	0.00978975	0.0402163	0.0132062	0.0138146	0.0130525	0.252728	0.223635	0.325252	0.105529
a	0.000587548	3.51923e-05	0.000559402	0.00112596	0.00415334	0.00293892	0.00635761	0.00717241	0.148218	0.175166	0.391782	0.261904
k	0.00692224	9.97622e-05	0.00659826	0.00201262	0.0195185	0.047323	0.0592057	0.0896723	0.0171796	0.113948	0.075217	0.562303
a	0.000240285	6.97595e-05	0.00390451	0.0156085	0.014697	0.0217578	0.018632	0.0240686	0.102319	0.193467	0.288038	0.317197
á	0.000527433	0.00019493	0.000392744	0.000414892	0.000831457	0.00286045	0.00601989	0.00593405	0.0254746	0.0663638	0.263902	0.627083
</S>	0.0186768	0.000605573	0.0164728	0.0223779	0.0118311	0.0326578	0.025314	0.0266356	0.00483601	0.0587537	0.0146404	0.767198
