 	les	membres	de	son	association	lui	ont	imposé	un	poste	de	responsabilité	</S>
a	0.562608	0.410974	0.0136616	0.00309093	0.00722878	0.001148	0.000279294	1.35153e-05	0.000183991	3.5635e-05	0.000584476	0.000165164	2.65826e-05
b	0.0417301	0.917164	0.0325351	0.00272585	0.00361831	0.00036904	0.000462028	0.000434885	4.95833e-05	2.05101e-05	0.000236398	0.000524573	0.00012984
i	0.0763327	0.812153	0.0582188	0.0174121	0.0175099	0.000858692	0.000439606	0.0087437	0.00102914	0.00169729	0.000969909	0.00403367	0.000601751
a	0.0474142	0.690988	0.203467	0.028325	0.0126624	0.0022623	0.00138704	0.00743136	0.00111788	0.00197536	0.000141947	0.000502291	0.00232517
b	0.0950441	0.0534046	0.343215	0.167779	0.204495	0.0780112	0.0322821	0.00315184	0.00598875	0.00460946	0.00135189	6.27491e-05	0.0106042
é	0.047313	0.0266666	0.142373	0.288523	0.251734	0.0803416	0.0356597	0.00547901	0.0265598	0.079437	0.00600355	0.00035335	0.00955658
k	0.0790311	0.0453895	0.369338	0.156423	0.184409	0.0672044	0.0560689	0.020545	0.00575513	0.00450081	0.00310112	0.00185915	0.00637507
ó	0.0618923	0.0282255	0.130713	0.0872988	0.37735	0.139072	0.0330983	0.0621964	0.0288697	0.0177973	0.0031038	0.00619926	0.024184
r	0.0100862	0.00337875	0.0820873	0.052936	0.374516	0.158014	0.0935887	0.18103	0.0104069	0.0035661	0.00179091	0.00766565	0.0209328
í	0.0382907	0.00579852	0.200187	0.143019	0.254788	0.145955	0.0677748	0.0752302	0.0197332	0.0128733	0.00241911	0.00218199	0.0317506
á	0.0167982	0.00106815	0.0392782	0.0833323	0.126691	0.314326	0.328009	0.0294267	0.0305065	0.0150405	0.00680582	0.000743949	0.00797435
b	0.00255185	0.00117092	0.014523	0.0160205	0.0236322	0.0706982	0.428342	0.281045	0.0720363	0.0584164	0.0216873	0.00294362	0.00693249
h	0.00151654	0.00620533	0.0311955	0.0170779	0.0165935	0.0191467	0.187809	0.627254	0.0425105	0.0385416	0.00857144	0.000937042	0.00264093
á	0.00480041	0.00490023	0.0229514	0.0217823	0.0213562	0.0105048	0.0585859	0.788952	0.0265873	0.0356963	0.00207989	0.000624511	0.00117869
l	0.00130792	0.000878624	0.0209658	0.0356467	0.0212177	0.0714835	0.105238	0.503058	0.0937345	0.0705273	0.0149477	0.0137018	0.0472922
i	0.00483395	0.00116921	0.0123509	0.0305437	0.0412344	0.0673021	0.118317	0.238428	0.240329	0.0786581	0.0601494	0.0214243	0.08526
w	0.00262989	0.000698407	0.0118183	0.0183191	0.0167931	0.0397749	0.0564775	0.0423776	0.455548	0.132896	0.116677	0.0546979	0.051292
á	0.00892915	0.00329061	0.0283183	0.0641092	0.0442542	0.168073	0.0877414	0.0225783	0.252441	0.224167	0.0650548	0.00677809	0.0242646
n	0.00728804	0.00106747	0.00438622	0.00603114	0.00688282	0.0100778	0.00505342	0.00552005	0.149866	0.099514	0.0849868	0.589481	0.0298454
d	0.00675093	0.00150386	0.00363428	0.0067823	0.00203406	0.00221066	0.00382316	0.00401074	0.105337	0.0447439	0.082557	0.70031	0.0363022
u	0.00149871	0.00023494	0.00271952	0.00468355	0.00128403	0.00202346	0.00280503	0.00157834	0.0264115	0.00945356	0.0404465	0.866087	0.0407743
r	0.000210317	9.32983e-05	0.000312641	0.000425361	0.000160442	0.000307715	0.00036483	0.000193518	0.0144857	0.00285693	0.038557	0.873652	0.0683799
u	0.00266264	0.00134043	0.00623512	0.00511762	0.00306581	0.00295878	0.00160228	0.000365932	0.0605348	0.039448	0.203739	0.336774	0.336155
</S>	0.000607688	0.000158924	0.00183563	0.00275636	0.00156453	0.00224219	0.00218625	0.000299919	0.0299256	0.0329491	0.251478	0.18672	0.487276
