 	elle	fut	bouleversée	en	apprenant	la	nouvelle	</S>
w	0.862389	0.132624	0.00066447	0.00245759	0.000733553	0.000977483	0.000125237	2.90455e-05
a	0.70089	0.267888	0.00225487	0.0210129	0.000630378	0.00679158	0.000512894	1.93315e-05
á	0.332393	0.522303	0.0426715	0.0906141	0.00218739	0.0086249	0.000640278	0.000565162
k	0.0649529	0.39866	0.327471	0.0408996	0.0991755	0.0396725	0.00111	0.0280587
á	0.025897	0.236766	0.46904	0.061386	0.15181	0.0233946	0.00114009	0.0305666
m	0.00695606	0.071072	0.834589	0.0174561	0.0412892	0.0110942	0.000667828	0.0168754
b	0.0124939	0.0311106	0.806394	0.129425	0.00419131	0.00971837	0.00331308	0.00335373
á	0.18306	0.282999	0.136204	0.282229	0.0138255	0.0537577	0.00773722	0.0401885
a	0.0538294	0.118272	0.199246	0.507063	0.0268176	0.0380632	0.0225758	0.0341328
y	0.00559527	0.0423611	0.30046	0.308963	0.278423	0.037947	0.0127816	0.0134685
έ	0.00109171	0.0126798	0.675376	0.118764	0.0732184	0.0400081	0.0195288	0.0593338
l	0.000336722	0.00418228	0.280285	0.0691909	0.0102126	0.063495	0.0289774	0.54332
i	0.0210146	0.0941744	0.173182	0.342015	0.143806	0.119271	0.0228119	0.0837243
á	0.00364606	0.0136925	0.0397198	0.520221	0.0805061	0.258158	0.00980061	0.0742556
á	0.00279881	0.0070081	0.100963	0.277042	0.259314	0.257797	0.0620331	0.0330444
b	0.00248737	0.0141831	0.192576	0.124869	0.370787	0.137688	0.11323	0.0441797
ó	0.00135587	0.00549227	0.0177532	0.0996219	0.581326	0.199499	0.0428561	0.0520962
n	0.000344383	0.000904621	0.0557652	0.183807	0.306493	0.17518	0.0517011	0.225805
d	0.000773185	0.00328053	0.0225617	0.146371	0.386129	0.191474	0.0834898	0.16592
á	0.000431991	0.00241744	0.0269384	0.177493	0.0992554	0.14238	0.162368	0.388717
w	0.00300629	0.00308539	0.00506986	0.162392	0.0406419	0.424414	0.178255	0.183136
á	0.0131966	0.00946683	0.0142834	0.335547	0.0877525	0.269757	0.195094	0.0749025
t	0.00460212	0.00444074	0.00747092	0.0410064	0.0179169	0.059615	0.782086	0.0828616
s	0.0023241	0.00120767	0.0035161	0.013034	0.0409639	0.0285205	0.863155	0.0472784
a	3.97332e-05	5.899e-05	0.00125172	0.00339963	0.0141284	0.0134539	0.921507	0.0461609
n	0.000152982	0.000105558	0.000818006	0.0144187	0.0137953	0.0296095	0.560483	0.380617
g	6.38503e-05	0.000804187	0.00717222	0.0112153	0.00515916	0.0351523	0.718623	0.22181
e	4.407e-05	0.000750378	0.00214888	0.0135966	0.00796919	0.0479249	0.353761	0.573805
</S>	0.00140179	0.00323739	0.00711357	0.0388099	0.00773368	0.156506	0.0870652	0.698133
