 	si	on	commence	le	travail	c'	est	bien	lui	qui	se	fatiguera	le	premier	</S>
w	0.854871	0.0761154	0.0130562	0.0151813	0.00326406	0.00321227	0.00233422	0.00753969	0.00460646	0.00440068	0.00969057	0.000579409	0.00368808	0.00143647	2.42413e-05
á	0.847407	0.0244106	0.0207461	0.0531371	0.00242667	0.002896	0.0031785	0.00606037	0.00310855	0.0108081	0.0187444	0.0001017	0.00300227	0.00396049	1.22118e-05
á	0.449814	0.268227	0.116374	0.0194455	0.0230719	0.0110663	0.0126815	0.00823023	0.0142728	0.0109288	0.0153108	0.00198611	0.013957	0.00192512	0.0327085
l	0.142357	0.571427	0.144737	0.0213944	0.0212764	0.00576402	0.00596583	0.00808769	0.00348709	0.00727131	0.00850565	0.00314039	0.00958095	0.0159927	0.0310136
e	0.0710439	0.260362	0.106517	0.039477	0.0934081	0.0226569	0.0201773	0.00753296	0.00921719	0.0238157	0.0204194	0.0023946	0.0203183	0.0011252	0.301534
b	0.0238728	0.367521	0.37311	0.10497	0.0293388	0.0117361	0.00621849	0.00548254	0.00650613	0.0100219	0.00811052	0.0006708	0.00778685	0.000779342	0.0438754
á	0.00264217	0.134438	0.755453	0.0556314	0.0054557	0.00584317	0.00546585	0.00708543	0.00595547	0.00485492	0.00549247	0.000613005	0.00535869	0.001149	0.00456145
á	0.0234573	0.291742	0.387727	0.0877625	0.0153696	0.013397	0.0148964	0.0166359	0.0292145	0.0216732	0.0162589	0.00335003	0.0210739	0.000806672	0.0566351
n	0.0373304	0.259705	0.254887	0.285739	0.0533142	0.0182126	0.0115799	0.0112187	0.00754978	0.0130626	0.014028	0.00583533	0.0167912	0.00391483	0.00683157
d	0.0313742	0.11394	0.232387	0.166022	0.0361909	0.0245806	0.0114423	0.0123161	0.0218438	0.0641324	0.0224405	0.00235568	0.0246729	0.00140859	0.234893
í	0.0726234	0.104156	0.310686	0.276088	0.0729491	0.0149621	0.0112848	0.0156789	0.0101363	0.0317721	0.0216288	0.00412036	0.011539	0.00540732	0.036968
i	0.00952884	0.149364	0.179919	0.265208	0.135659	0.0426863	0.0261285	0.018103	0.0146712	0.0266336	0.0231658	0.00384189	0.01476	0.00254775	0.0877828
s	0.000914678	0.032011	0.0903378	0.249809	0.158632	0.177608	0.0602333	0.0294481	0.0181589	0.0134216	0.0223084	0.0852898	0.013114	0.0066664	0.0420474
á	0.000388256	0.0145516	0.0887248	0.138038	0.42899	0.11257	0.0555708	0.0220274	0.019268	0.0587333	0.0217458	0.00138815	0.00619659	0.000616975	0.0311903
l	0.00069422	0.0103694	0.0355723	0.132744	0.260991	0.172133	0.099918	0.0517867	0.0418312	0.0581487	0.0703171	0.0161398	0.0118794	0.0030894	0.034386
a	0.00206806	0.0164541	0.0365419	0.0900747	0.213286	0.150624	0.0766339	0.0593834	0.0389136	0.064443	0.0645383	0.0177382	0.0190479	0.00191179	0.14834
b	0.000558249	0.00711155	0.0117755	0.0610117	0.0668478	0.214642	0.103025	0.107484	0.093608	0.0766171	0.149093	0.0329471	0.0150692	0.00670488	0.0535041
h	0.00699369	0.0150194	0.0538665	0.0678799	0.0501578	0.0424137	0.0915941	0.104569	0.0304305	0.0855151	0.328819	0.079967	0.0266965	0.00501787	0.0110596
á	6.91705e-05	0.0023221	0.021969	0.0230302	0.0236319	0.0200608	0.080161	0.146356	0.0278317	0.0772856	0.233698	0.283905	0.0152084	0.00690321	0.0375677
o	0.00013177	0.00384665	0.00636813	0.0229392	0.011286	0.145175	0.108357	0.134141	0.126209	0.152653	0.196902	0.0380037	0.0370543	0.000777835	0.0161551
k	0.000279493	0.00539341	0.0102959	0.00623798	0.0438329	0.0553606	0.148577	0.10722	0.0394064	0.0690992	0.143435	0.288996	0.0141486	0.0568265	0.0108913
ώ	2.9996e-05	0.000363057	0.00330416	0.00427098	0.00501127	0.0103425	0.0243669	0.0555053	0.0108274	0.0339822	0.182881	0.614955	0.00955563	0.0259838	0.0186214
b	4.2156e-06	0.000288946	0.00101874	0.0036765	0.00217126	0.0116666	0.0245041	0.0776194	0.0126641	0.0240142	0.129139	0.666803	0.0103584	0.0176096	0.0184626
h	0.000213986	0.00116252	0.00392687	0.0103192	0.00133505	0.0352389	0.035065	0.0686228	0.0528251	0.0438242	0.120925	0.43153	0.0568697	0.010751	0.12739
i	0.000205827	0.00160741	0.00815828	0.0194783	0.00236148	0.0271288	0.0302347	0.0922631	0.089902	0.10993	0.149061	0.0867706	0.050147	0.00578	0.326972
o	0.000170509	0.00260874	0.00379285	0.0109988	0.000676774	0.0299037	0.024618	0.083506	0.115881	0.187978	0.141705	0.0494562	0.28979	0.00434831	0.0545656
b	0.000322192	0.0093396	0.0146842	0.0230742	0.0228747	0.0297028	0.0548401	0.0551706	0.0282288	0.085405	0.0734868	0.0450796	0.13021	0.334339	0.093243
o	0.000131562	0.00160618	0.0118578	0.0230754	0.0090838	0.0161455	0.0551434	0.0915316	0.0179866	0.0787614	0.184781	0.105628	0.0662152	0.301334	0.0367191
s	0.000111469	0.00189665	0.00423226	0.00388466	0.00629724	0.0107226	0.0361281	0.0728872	0.0144208	0.0468057	0.067764	0.124268	0.0425138	0.329944	0.238124
ó	0.00012654	0.000768237	0.00176531	0.00478551	0.00188957	0.0190278	0.0407988	0.0910822	0.0442584	0.071006	0.0802702	0.129008	0.0643511	0.302776	0.148086
t	5.01148e-05	0.00453253	0.00367916	0.00848029	0.00180325	0.0179277	0.0180632	0.0405074	0.0611505	0.135482	0.0589776	0.00735703	0.2774	0.0272376	0.337351
