 	la	lampe	s'	est	éteinte	d'	elle-même	</S>
m	0.570586	0.420295	0.00658221	0.000417862	0.00023466	0.00109353	0.000676809	0.00011434
ú	0.0149301	0.935594	0.0356649	0.00563585	0.0022944	0.000497892	0.000692932	0.00468965
n	0.220863	0.695943	0.0220484	0.0124181	0.0123239	0.00117897	0.0295581	0.00566668
d	0.308749	0.184004	0.286391	0.0402405	0.0123913	0.0198267	0.02211	0.126287
a	0.653785	0.278598	0.044507	0.00880203	0.00292852	0.00298258	0.00557047	0.00282598
ó	0.11507	0.0049634	0.691004	0.141321	0.00887169	0.0102391	0.000611802	0.0279187
d	0.0950232	0.0117714	0.400532	0.440556	0.0274031	0.0173919	0.00155936	0.00576315
í	0.0130347	0.00156308	0.0735269	0.439161	0.305941	0.0170228	0.00343553	0.146315
m	0.0270614	0.00168381	0.0664474	0.427318	0.276048	0.0929916	0.00822123	0.100228
i	0.00239881	0.00151368	0.0504797	0.216985	0.359406	0.0359066	0.238955	0.0943556
m	0.00403338	0.000148272	0.0578392	0.184847	0.348863	0.234943	0.0895141	0.0798128
ú	0.000542186	4.51734e-05	0.00540512	0.044232	0.324411	0.0565956	0.47655	0.0922186
a	0.000862474	5.9786e-05	0.00675625	0.0626451	0.538505	0.114013	0.193396	0.0837618
m	0.00164281	6.04945e-05	0.00839838	0.0277562	0.0483858	0.521299	0.129683	0.262774
έ	0.00354128	6.33352e-05	0.00664281	0.0281286	0.0870654	0.193816	0.356339	0.324404
n	0.00142384	4.79246e-05	0.0033946	0.01707	0.0752278	0.115547	0.701098	0.0861916
έ	0.00103603	0.000843101	0.00106915	0.00250454	0.0538884	0.0400707	0.763138	0.137451
</S>	0.000601478	3.33487e-05	0.00549922	0.020088	0.0538312	0.184812	0.121345	0.61379
