 	le	mari	est	mort	et	a	laissé	sa	femme	dans	les	souffrances	</S>
o	0.85777	0.0142326	0.0408781	0.0166765	0.0304561	0.0138082	0.0018572	0.0103413	0.00174871	0.00599212	0.00605616	5.92309e-05	0.000123889
l	0.0305051	0.960732	0.00154043	0.000313384	0.000221941	0.000512326	0.00288512	0.000291218	0.00028589	0.000540247	0.00024631	0.00105465	0.00087108
ó	0.00188017	0.994027	0.000437918	0.000315488	0.000320353	0.000460762	0.00171471	6.89949e-05	1.50647e-05	0.000438096	3.07755e-05	9.17525e-05	0.00019926
m	0.000804431	0.996154	0.000365762	0.000170445	0.000186153	0.000230056	0.00108073	8.88939e-05	6.57851e-05	0.000237601	2.33948e-05	0.000195885	0.00039743
i	0.179042	0.556485	0.151974	0.0438577	0.0143324	0.0178818	0.00582869	0.00460486	0.0016219	0.00364604	0.00334301	0.00119783	0.0161846
á	0.214377	0.017921	0.418565	0.148502	0.0560974	0.0680505	0.0209549	0.0198252	0.00362528	0.00624496	0.00849328	0.000324059	0.0170194
w	0.0202528	0.0574141	0.132155	0.160817	0.0321844	0.147	0.386869	0.00694586	0.00721824	0.0202502	0.0038578	0.00140519	0.02363
é	0.00675406	0.0300324	0.0773576	0.23395	0.0364073	0.109595	0.406493	0.0120122	0.0104781	0.0432257	0.00905794	0.00417608	0.0204611
e	0.0628445	0.146295	0.203005	0.178147	0.0605722	0.121779	0.114121	0.0219894	0.00255965	0.022985	0.0165723	0.00984497	0.0392846
a	0.00846164	0.000327036	0.122217	0.267704	0.239393	0.175802	0.045259	0.0725814	0.0315921	0.00795161	0.0153933	0.00249081	0.0108271
y	0.00250747	0.00315225	0.0271376	0.0936892	0.0882247	0.156928	0.307258	0.0617186	0.217476	0.0257013	0.00600463	0.00514876	0.00505313
í	0.00186261	0.00097171	0.00808593	0.0910571	0.0194664	0.0524573	0.601683	0.044474	0.147104	0.00528128	0.00311026	0.00836415	0.0160824
í	0.00235128	0.000267143	0.025399	0.197919	0.0894426	0.106019	0.213914	0.113287	0.0864916	0.0216108	0.0231943	0.0101331	0.109972
m	0.00106834	0.000300121	0.022481	0.0432005	0.060371	0.105621	0.141487	0.37254	0.13598	0.0646283	0.0265841	0.012783	0.0129565
w	0.000780655	0.000229782	0.0111213	0.00879311	0.0216454	0.0313516	0.00784699	0.0822986	0.770692	0.0117717	0.0315444	0.000675049	0.0212498
á	0.00088152	0.000127033	0.00992708	0.0271857	0.0481236	0.0257544	0.0101186	0.120518	0.653919	0.0408526	0.0470907	0.00530554	0.0101964
s	0.01015	0.000123437	0.0189236	0.0254828	0.0629123	0.0637762	0.0262172	0.277421	0.1119	0.144503	0.21658	0.0112694	0.0307402
í	0.00337824	0.0006936	0.00716251	0.0385219	0.040757	0.0248365	0.136977	0.162227	0.347844	0.0398307	0.0335837	0.0307381	0.13345
s	0.00263153	0.000132416	0.0125565	0.0119225	0.0366521	0.0356005	0.0654276	0.160122	0.0154184	0.236473	0.242953	0.0988884	0.0812229
í	0.00463877	0.0011702	0.00643606	0.0129764	0.0128436	0.0158828	0.154732	0.2135	0.0191588	0.117736	0.0651982	0.279664	0.0960626
n	0.00220882	0.000183041	0.00270081	0.00258567	0.00644182	0.00502865	0.00565364	0.174539	0.00910178	0.0283542	0.0669335	0.666189	0.03008
y	6.66987e-05	1.25143e-05	9.51237e-05	0.000342492	0.000745772	0.000170351	0.00363807	0.0237631	0.000988171	0.00774119	0.0120829	0.942826	0.00752783
ω	0.000240577	1.13032e-05	4.30369e-05	0.000176873	0.000241762	5.87884e-05	0.00120117	0.0058503	0.000469174	0.00356635	0.00619362	0.973205	0.00874205
n	2.01191e-05	0.000123503	0.000162705	0.000671487	0.00132093	0.000928235	0.0330154	0.00566149	0.00281215	0.016829	0.00443737	0.927204	0.00681334
g	7.90425e-05	8.48991e-05	0.000418285	0.000363664	0.000542246	0.00108785	0.00993249	0.00604368	0.000915143	0.179888	0.125694	0.300225	0.374725
í	8.2309e-05	3.02299e-05	0.000320399	0.000617482	0.00154243	0.000867832	0.00295226	0.00620147	0.000897577	0.0631064	0.126321	0.438535	0.358525
</S>	0.000167253	1.88553e-05	0.00157728	0.000728798	0.00174806	0.00364423	0.0079632	0.0186271	0.00161616	0.115156	0.1042	0.0241334	0.72042
