 	les	moineaux	s'	accouplent	</S>
l	0.576925	0.301812	0.118076	0.00282273	0.000364242
s	0.184462	0.770374	0.0278432	0.00169416	0.0156266
w	0.0359279	0.958859	0.00189119	0.000502429	0.00281928
ώ	0.0333799	0.950785	0.00902137	0.000874852	0.00593891
r	0.0995032	0.692193	0.105038	0.0162264	0.0870394
ώ	0.149662	0.734129	0.0640658	0.0023358	0.0498068
b	0.258409	0.161774	0.53664	0.0110532	0.0321242
í	0.331018	0.139822	0.283736	0.0483622	0.197062
i	0.38683	0.124485	0.331766	0.107772	0.0491468
y	0.0687316	0.124386	0.0696332	0.0402317	0.697017
u	0.0270916	0.116281	0.0650144	0.0127329	0.77888
b	0.0444488	0.236925	0.0584397	0.0510244	0.609162
h	0.0946222	0.0681077	0.171953	0.258904	0.406413
ú	0.103737	0.257181	0.217733	0.119885	0.301464
s	0.032404	0.0101866	0.285631	0.32535	0.346429
á	0.0338551	0.0476147	0.209536	0.23691	0.472084
a	0.0316888	0.011349	0.12259	0.722724	0.111649
b	0.0529618	0.0807219	0.1064	0.666358	0.0935585
i	0.0465512	0.0691913	0.0749559	0.793092	0.0162092
a	0.0372899	0.036335	0.0571375	0.417955	0.451282
</S>	0.0833659	0.0475234	0.196132	0.0920054	0.580973
