 	sa	maladie	s'	est	intensifiée	</S>
i	0.390247	0.498847	0.0933025	0.0144607	0.000359506	0.00278294
k	0.0108529	0.948206	0.0182466	0.00568135	0.0152877	0.00172554
ω	0.00428203	0.961261	0.0179893	0.00376892	0.00729899	0.00540003
n	0.00404792	0.958744	0.0258923	0.00651027	0.00257921	0.0022265
í	0.0768647	0.843682	0.0312193	0.00674664	0.00732141	0.034166
l	0.467171	0.290096	0.152434	0.0454857	0.00523513	0.0395788
á	0.324386	0.047737	0.0607301	0.0402202	0.00482859	0.522098
w	0.913461	0.0109966	0.0278471	0.0387592	0.00332882	0.00560753
a	0.415835	0.0468297	0.25296	0.143492	0.011695	0.129187
d	0.25707	0.0351525	0.335367	0.243702	0.0135297	0.115178
í	0.0760422	0.0454357	0.211214	0.345027	0.146863	0.175418
í	0.0996678	0.0103293	0.297408	0.360908	0.123935	0.107752
m	0.0150082	0.0135634	0.139503	0.484817	0.252932	0.0941768
i	0.0485932	0.00523711	0.0902241	0.198558	0.584651	0.072737
s	0.00172753	0.00368614	0.0130585	0.0497739	0.85564	0.0761143
á	0.000413637	0.00222749	0.00480328	0.0297738	0.901769	0.0610124
á	0.00461112	0.000748415	0.015393	0.126625	0.471924	0.380699
o	0.0268103	0.00862089	0.0811929	0.506131	0.110281	0.266963
d	0.00419727	0.0283617	0.0196919	0.0846801	0.801847	0.0612217
z	0.0016325	0.00523921	0.0242937	0.0854386	0.772317	0.111078
e	0.00245992	0.00207524	0.014036	0.0721796	0.848049	0.0612001
e	0.0140558	0.00163546	0.0161797	0.054949	0.317868	0.595311
n	0.0156522	0.00987345	0.0545929	0.0728998	0.0165831	0.830399
g	0.183693	0.0837947	0.085797	0.0780886	0.0290991	0.539527
a	0.053948	0.134226	0.101151	0.0913065	0.0177474	0.601622
</S>	0.00840512	0.015776	0.0292581	0.0555457	0.0161823	0.874833
