 	c'	est	une	assiette	en	terre	</S>
d	0.574196	0.172115	0.191157	0.0585365	0.00246861	0.00123564	0.000291073
í	0.189344	0.11833	0.0341305	0.510209	0.0251326	0.0690524	0.0538019
s	0.083347	0.238878	0.612648	0.0454234	0.00296269	0.00574343	0.0109973
a	0.0721176	0.0753265	0.139709	0.686645	0.00143873	0.0107031	0.0140599
á	0.0385687	0.0649041	0.111555	0.112289	0.09613	0.00781505	0.568738
n	0.0391924	0.0407009	0.0976246	0.205772	0.554559	0.0321906	0.0299611
i	0.0147749	0.0096918	0.0277415	0.777579	0.0365129	0.0699392	0.0637605
á	0.0212769	0.0472517	0.0955579	0.0266343	0.548567	0.158692	0.102021
b	0.0198068	0.053134	0.0521461	0.00874677	0.630201	0.14993	0.086035
ω	0.00936503	0.0445047	0.0970225	0.0141126	0.572719	0.09226	0.170016
n	0.0160374	0.0705446	0.0855972	0.00217439	0.335445	0.220845	0.269356
g	0.0331582	0.0653372	0.079675	0.0408061	0.284342	0.243725	0.252957
i	0.0269742	0.0335588	0.188475	0.058934	0.162584	0.369598	0.159875
m	0.0180755	0.00950741	0.0319461	0.0060525	0.196938	0.143372	0.594108
ó	0.0161956	0.0225553	0.00578494	0.00011075	0.0706569	0.147318	0.737379
t	0.0319873	0.0209024	0.0202458	0.00173755	0.193109	0.244503	0.487516
s	0.0111421	0.0215501	0.0286853	0.00106576	0.0725376	0.600895	0.264124
ε	0.00317356	0.00445321	0.0354019	0.00613584	0.0440559	0.737724	0.169055
n	0.000936387	0.00348803	0.0249457	0.000382019	0.0877558	0.164677	0.717815
g	0.00173901	0.00452856	0.00593334	0.00136459	0.0430797	0.239563	0.703791
ε	0.00194776	0.00173718	0.00673163	0.00289135	0.0232991	0.691923	0.27147
</S>	0.00554857	0.00575493	0.00811259	0.000429633	0.0689499	0.0265515	0.884653
