 	une	lance	qui	ne	porte	pas	d'	anneau	est	légère	</S>
i	0.400747	0.178433	0.0808721	0.0657212	0.0268486	0.0701863	0.0910839	0.0320589	0.0477674	0.00188384	0.00439673
k	0.028488	0.459223	0.00631963	0.023308	0.0415594	0.0309199	0.0610757	0.0146593	0.083412	0.243141	0.00789347
ω	0.0103434	0.435803	0.0138909	0.0463585	0.111625	0.0712014	0.0911751	0.018081	0.0736672	0.100028	0.0278268
n	0.00995585	0.539453	0.046649	0.0192006	0.0582206	0.0461625	0.0978827	0.110914	0.0273806	0.0330547	0.0111265
g	0.1239	0.193776	0.0264601	0.0231222	0.19421	0.223791	0.15431	0.028796	0.0210745	0.00553685	0.00502377
ώ	0.222439	0.47677	0.0635988	0.0114474	0.0580647	0.080209	0.0454513	0.0164991	0.00366462	0.00121883	0.0206377
l	0.195	0.0756289	0.25352	0.213769	0.0279701	0.0311876	0.0513358	0.0113831	0.0656077	0.00303344	0.0715641
í	0.198912	0.0457362	0.0761159	0.0202913	0.0415778	0.0981682	0.0860014	0.119392	0.0848534	0.00204085	0.22691
í	0.115394	0.00981997	0.0935905	0.0270926	0.0229036	0.0912828	0.159009	0.350686	0.0823449	0.0028378	0.0450398
d	0.0436112	0.0168035	0.049574	0.180831	0.121896	0.0600354	0.0680138	0.131009	0.187783	0.025025	0.115417
í	0.00436676	0.00195788	0.0146271	0.117509	0.0911031	0.0911415	0.0634513	0.0472443	0.29641	0.0104271	0.261762
a	0.0134724	0.00222882	0.029198	0.12679	0.0837819	0.131186	0.111355	0.153124	0.211805	0.059865	0.077195
n	0.00644014	0.00330388	0.0117623	0.0574763	0.163717	0.139079	0.154282	0.27284	0.124432	0.0255972	0.0410705
g	0.00266612	0.00517834	0.0510703	0.0243983	0.209584	0.193175	0.12916	0.315396	0.0416135	0.00278122	0.0249757
y	0.000882114	0.0047291	0.0933597	0.0107825	0.153378	0.132102	0.115446	0.467071	0.0102058	0.00103092	0.0110134
ε	0.00346069	0.0203283	0.0800138	0.0968571	0.490044	0.105018	0.0600449	0.0346283	0.0223291	0.0129974	0.0742791
k	0.00513161	0.0236429	0.0574314	0.132364	0.366305	0.130305	0.0606704	0.0156421	0.0370845	0.0644861	0.106937
a	0.00561267	0.00475366	0.0202514	0.12625	0.251901	0.273787	0.106513	0.0296406	0.059711	0.0378495	0.0837305
á	0.00306576	0.00203137	0.0241999	0.0854508	0.0769409	0.163706	0.277415	0.13932	0.112766	0.0247539	0.0903502
í	0.0024761	0.00130333	0.0118543	0.0295468	0.0299126	0.0463314	0.0506024	0.0501106	0.635265	0.039973	0.102625
d	0.0066212	0.00434231	0.0100232	0.028923	0.0375008	0.0426629	0.0567294	0.102113	0.503251	0.121247	0.0865858
í	0.00114201	0.00150137	0.00542828	0.0168549	0.0184565	0.0311873	0.0347092	0.0347318	0.356552	0.0522746	0.447162
o	0.00176431	0.000376782	0.00406492	0.0238009	0.0325829	0.126932	0.0735296	0.0921971	0.28652	0.152483	0.205748
d	0.00152379	0.0137916	0.00527772	0.0147247	0.0491295	0.0403895	0.0498677	0.0825602	0.170053	0.498461	0.0742208
u	0.0011996	0.00596767	0.0108711	0.0294313	0.0504622	0.0218915	0.016537	0.00929393	0.155597	0.585682	0.113066
r	0.00105133	0.00338736	0.0117275	0.0281791	0.0950341	0.0862439	0.0524188	0.0290867	0.283904	0.18676	0.222207
u	0.00134408	0.00224612	0.00772138	0.0133704	0.0813433	0.067545	0.038462	0.0332967	0.160264	0.138608	0.455798
k	0.00081585	0.0007608	0.0032849	0.0114933	0.0830207	0.11546	0.0641052	0.0164545	0.128305	0.084792	0.491508
a	0.00123383	0.00112222	0.00314494	0.0115278	0.0268747	0.302705	0.128652	0.307614	0.0898602	0.0421361	0.0851302
á	0.000184884	0.00038629	0.000653834	0.002201	0.0157565	0.117915	0.120758	0.0936956	0.0534874	0.0384897	0.556471
</S>	0.00129396	0.000887199	0.00744849	0.0126448	0.00902852	0.0313321	0.030437	0.0219137	0.227225	0.0226184	0.635171
