 	la	manière	dont	il	doute	de	tout	est	un	manque	de	respect	</S>
e	0.384385	0.235828	0.203607	0.0406728	0.106308	0.0188545	0.00551769	0.000949187	0.00148122	0.000938575	0.000558693	0.000602813	0.000295374
k	1.19856e-05	2.64789e-05	9.91148e-05	9.06877e-05	0.929393	0.00578175	0.000973754	0.00303172	0.0043788	0.0558467	0.000302981	4.46146e-05	1.80039e-05
ú	0.000576752	0.000218231	0.000374421	0.000247696	0.924372	0.0133992	0.00641476	0.00908336	0.00394183	0.0393534	0.000342569	0.00125582	0.000420426
n	2.75377e-05	4.00812e-05	0.000236626	6.7531e-05	0.746349	0.00978155	0.00318635	0.0223424	0.0250541	0.19127	0.00127259	3.07454e-05	0.00034158
y	0.00651869	0.00904869	0.0085038	0.0107705	0.339663	0.0803237	0.0332668	0.0672392	0.165028	0.2336	0.038054	0.00144609	0.00653805
ú	0.0321318	0.02623	0.0251048	0.0170916	0.702086	0.0444005	0.0274382	0.0204149	0.0316267	0.0209274	0.0137509	0.00583534	0.0329618
l	0.0161596	0.10213	0.058707	0.0362628	0.0931993	0.136997	0.0593053	0.118085	0.0719757	0.0600727	0.0197958	0.000753386	0.226556
u	0.165859	0.0669928	0.0828793	0.088952	0.0361649	0.105106	0.0576922	0.0626601	0.0558234	0.0169446	0.0353288	0.00041928	0.225178
y	0.200694	0.168	0.154551	0.0699371	0.113017	0.0904964	0.051847	0.040662	0.021675	0.00649496	0.00406658	0.000356061	0.0782037
é	0.253137	0.124715	0.183928	0.0759572	0.0851007	0.123829	0.0428309	0.0312187	0.0123674	0.00631103	0.00526296	0.000145026	0.0551985
é	0.0521249	0.0634369	0.0859972	0.225688	0.195528	0.168686	0.0710739	0.026426	0.017683	0.00877047	0.00688703	0.00170416	0.0759947
k	0.00734372	0.00161862	0.0186639	0.0385103	0.0727918	0.113655	0.22876	0.219469	0.0794265	0.0789987	0.00888231	0.0256942	0.106186
ú	0.00105959	0.000179665	0.00606184	0.00354355	0.0668062	0.100754	0.224073	0.216423	0.13042	0.183557	0.0146839	0.0263339	0.0261048
n	0.000526593	5.14108e-05	0.0019301	0.00375526	0.209952	0.0872202	0.0753194	0.170975	0.155215	0.235921	0.0259109	0.00356191	0.0296614
y	0.00120219	0.000170285	0.00527599	0.0277377	0.363498	0.0836263	0.0393919	0.131103	0.20948	0.082037	0.0313125	0.000577646	0.0245876
á	0.0160625	0.00280867	0.046018	0.0839834	0.186671	0.257257	0.152356	0.0683546	0.0973363	0.030961	0.033896	0.00627756	0.018018
w	0.00198212	0.00450645	0.0372281	0.332298	0.013822	0.0935827	0.158689	0.150677	0.126706	0.0350214	0.0280052	0.00840885	0.00907417
a	0.00309443	0.00537557	0.0331681	0.438144	0.00485572	0.100614	0.153417	0.025543	0.039657	0.0068719	0.0450952	0.133375	0.0107893
p	0.000298302	0.000718107	0.0192225	0.114649	0.000719804	0.0605628	0.179214	0.0906027	0.152039	0.0302166	0.132348	0.171688	0.0477209
ώ	0.00204483	0.00236419	0.00397214	0.023355	0.0206196	0.106736	0.280404	0.166083	0.0749887	0.0358012	0.0229335	0.231493	0.0292049
ω	1.33186e-05	3.16593e-05	0.00101202	0.00501664	0.00218756	0.017034	0.0399968	0.0515818	0.13882	0.101961	0.147655	0.445933	0.0487569
é	0.000362549	0.000774804	0.00878838	0.0224612	0.00233871	0.0258583	0.0676081	0.159059	0.337484	0.110818	0.185339	0.0324438	0.0466636
d	0.00345213	0.00385352	0.0179999	0.018935	0.0109358	0.0428937	0.0520967	0.301535	0.164794	0.166561	0.0195114	0.0057052	0.191727
í	0.00122466	0.000496101	0.00183264	0.00264939	0.000490604	0.00481086	0.00569605	0.170962	0.105214	0.128569	0.00618488	0.000936884	0.570933
k	0.014768	0.00814765	0.00972637	0.0845723	0.00144657	0.0260509	0.0342058	0.188603	0.181337	0.0972114	0.0417526	0.0109884	0.30119
a	0.000491808	0.000181605	0.00122876	0.000884376	0.00609265	0.00354501	0.0117601	0.0390612	0.0678383	0.144786	0.0377847	0.60138	0.0849651
n	7.26016e-05	7.75443e-05	0.00242723	0.00118037	0.0032898	0.00468358	0.0155533	0.0174907	0.0498395	0.080463	0.123605	0.58283	0.118487
d	0.000338541	0.000183618	0.00326579	0.00195448	0.0190846	0.0110007	0.0189891	0.0396635	0.187131	0.23107	0.159949	0.244902	0.0824671
í	0.00423019	0.00209648	0.0142144	0.0055545	0.0316983	0.0230966	0.0276089	0.0328806	0.185641	0.148923	0.266879	0.108527	0.148649
k	0.00150361	0.00050253	0.0120153	0.0208847	0.00929757	0.0274782	0.0325832	0.0529768	0.219215	0.0957888	0.209913	0.0182048	0.299636
a	0.0012448	0.00196371	0.0265142	0.00430399	0.0130845	0.0384967	0.0587528	0.0839452	0.123281	0.0458717	0.0721712	0.383642	0.146728
á	0.000209147	0.000705418	0.0120164	0.00438649	0.00261167	0.00726701	0.0162168	0.0215031	0.0470074	0.0448819	0.0765598	0.181913	0.584722
</S>	0.00664874	0.00210332	0.0341734	0.0576269	0.00351419	0.0207967	0.024377	0.0477501	0.0466516	0.0261088	0.0492557	0.00370269	0.677291
