 	cet	enfant	est	têtu	car	il	n'	obéit	à	personne	</S>
m	0.519146	0.314607	0.0116767	0.0188861	0.0551603	0.0545015	0.00425328	0.015659	0.00375434	0.00129158	0.00106418
w	0.0617785	0.937347	0.000465015	4.74813e-05	3.15744e-05	4.0887e-05	7.49634e-05	0.00010629	1.73872e-05	1.90696e-06	8.89509e-05
á	0.00521538	0.994406	7.73789e-05	9.28359e-05	2.12025e-05	2.3895e-05	1.75502e-05	0.000130463	3.06941e-06	3.52479e-06	8.21139e-06
n	0.114911	0.881991	0.000415005	0.000243837	0.000208351	0.000574417	0.000126242	0.000449247	6.0045e-05	2.3507e-05	0.00099824
a	0.0445827	0.778469	0.0310917	0.0109495	0.00461634	0.0386126	0.0118979	0.0195752	0.00144499	0.00075347	0.0580067
w	0.881104	0.0628283	0.0136222	0.00553622	0.00591	0.00829642	0.00557216	0.000946148	0.00726587	0.00202349	0.00689462
ó	0.173954	0.0288343	0.149574	0.134179	0.0906531	0.143669	0.0511213	0.0583758	0.0481128	0.0254318	0.0960955
a	0.0840717	0.0299903	0.28199	0.0557711	0.0862212	0.10169	0.119887	0.0253284	0.0462998	0.00838518	0.160366
d	0.007081	0.00390964	0.562926	0.160314	0.0468447	0.0209478	0.0850451	0.0285613	0.0198508	0.00847007	0.0560499
í	0.0284231	0.0117759	0.562359	0.110797	0.0202818	0.0127786	0.0974411	0.0156105	0.0104177	0.00457761	0.125538
l	0.0112059	0.00746873	0.350391	0.21504	0.129245	0.0217837	0.0446324	0.0212028	0.037437	0.0350069	0.126586
o	0.00112792	0.000326131	0.298658	0.203338	0.131716	0.0395927	0.0486631	0.0241925	0.0305116	0.0135925	0.208281
r	0.0111718	0.00617041	0.219703	0.382683	0.206566	0.0307924	0.0220157	0.0255402	0.00809078	0.0402064	0.0470605
ó	0.0849206	0.00727273	0.125057	0.262207	0.237161	0.0190166	0.0490615	0.0790079	0.0213111	0.0384679	0.0765161
o	0.00165114	0.000600177	0.117956	0.365	0.331968	0.045554	0.0329232	0.0313156	0.0147019	0.0237483	0.0345815
t	0.00146762	0.000167669	0.194633	0.246977	0.46445	0.0460253	0.0191463	0.00631367	0.00591393	0.00249491	0.0124105
s	0.00902486	0.00117641	0.0511585	0.147554	0.580913	0.137338	0.00873049	0.011991	0.00917508	0.0203447	0.0225942
í	0.000348063	7.26285e-05	0.0197924	0.122999	0.746173	0.0448385	0.00752686	0.0249588	0.00595776	0.0101605	0.0171726
n	0.000878682	0.00426238	0.082842	0.144696	0.458189	0.123529	0.0164064	0.0285437	0.0038412	0.0177115	0.119101
a	0.0164022	0.00597796	0.0502486	0.0257148	0.161345	0.374569	0.0391992	0.0374061	0.0312361	0.00998552	0.247915
w	0.00284557	0.000434051	0.0937343	0.0528211	0.254272	0.427305	0.12322	0.00952288	0.0187464	0.0031677	0.0139303
a	0.00260486	0.00053139	0.0526427	0.074732	0.332092	0.316902	0.0366674	0.0293727	0.0545106	0.0331247	0.0668199
a	0.00101771	0.000127977	0.0245465	0.0231979	0.141354	0.571077	0.145135	0.0105624	0.0305345	0.00764148	0.0448055
d	0.00124856	0.000457186	0.0951315	0.0555262	0.0332703	0.063534	0.597774	0.0472814	0.0317045	0.0103986	0.0636735
í	0.00282888	0.000636508	0.0191979	0.021034	0.0308095	0.0631724	0.578721	0.0552507	0.0402373	0.0326385	0.155473
m	0.00268522	0.000127512	0.00996716	0.00705387	0.0451041	0.0995129	0.45091	0.0785279	0.128943	0.0546194	0.122549
o	0.00573215	0.0063207	0.00862983	0.0150834	0.0238453	0.0909286	0.264737	0.385975	0.0768377	0.0397217	0.0821885
r	0.000274251	0.000598968	0.00725908	0.0163718	0.0385656	0.0289628	0.292438	0.334179	0.121877	0.116437	0.0430356
o	0.0102163	0.000458118	0.00967437	0.0101211	0.0358935	0.0388853	0.31455	0.330348	0.0972814	0.0620366	0.0905352
o	0.00345209	0.000170617	0.00720901	0.00457527	0.0183217	0.0628202	0.281043	0.131017	0.285344	0.05546	0.150588
b	0.000327662	0.000120639	0.0253061	0.0228758	0.011828	0.00466852	0.211955	0.271314	0.138895	0.252541	0.0601695
ó	0.000201497	0.00074646	0.0100978	0.062139	0.0182385	0.00553067	0.0499983	0.42321	0.0538753	0.304869	0.0710934
n	0.000918179	0.000136632	0.00572033	0.0219062	0.0137177	0.00635536	0.0497178	0.281976	0.0740445	0.229045	0.316463
d	0.00121636	8.98336e-05	0.00688546	0.0153035	0.0234079	0.00968875	0.0698716	0.395332	0.0884356	0.115873	0.273895
a	0.000699656	0.000246181	0.00868851	0.0201261	0.0400301	0.0240752	0.0575655	0.400856	0.0594605	0.173805	0.214447
k	0.00046346	5.44693e-05	0.0060841	0.00473136	0.0120548	0.02395	0.0649878	0.101436	0.304664	0.119512	0.362062
a	0.000420767	0.000181577	0.00264245	0.00856715	0.0155785	0.0188921	0.0236787	0.0858663	0.257267	0.289708	0.297197
á	0.0003839	0.000179351	0.00098065	0.00246206	0.00443587	0.00818956	0.0104372	0.065866	0.0615115	0.112546	0.733008
</S>	0.000163738	4.02634e-05	0.00441676	0.00205055	0.00481848	0.0110619	0.0397829	0.0172301	0.124036	0.046731	0.749669
