 	sa	femme	l'	a	quitté	parce	qu'	il	est	devenu	écervelé	</S>
m	0.937929	0.0401901	0.00709393	0.00213053	0.000923534	0.00830089	0.00211837	0.000739211	0.000117401	0.000200714	0.000127851	0.000128243
w	0.0195365	0.978153	0.00121759	0.000484271	0.000125156	0.000204181	6.17489e-05	9.22005e-05	3.71812e-05	7.45575e-06	2.22004e-06	7.88453e-05
á	0.267904	0.682452	0.0166516	0.015334	0.00972389	0.00571985	0.00122659	0.000436161	5.45466e-05	4.99174e-05	0.000226625	0.000221247
s	0.882427	0.0620135	0.0272883	0.00712421	0.00191176	0.00951012	0.00362862	0.00253304	0.00034953	8.68513e-05	0.000316686	0.00281038
í	0.217675	0.246281	0.141883	0.0994715	0.0964955	0.0498143	0.0338609	0.0285251	0.0184702	0.00238705	0.00385742	0.0612791
á	0.38858	0.0370047	0.370659	0.0788152	0.00841293	0.018916	0.0204608	0.0187111	0.0193015	0.00334398	0.00166669	0.0341283
t	0.0152761	0.0253896	0.305447	0.422787	0.0814148	0.00206677	0.00834685	0.00723285	0.0503254	0.0559424	0.0107048	0.0150666
ó	0.00229861	0.00229148	0.260415	0.383278	0.258084	0.00603461	0.0162468	0.00850391	0.0259422	0.0111039	0.0149372	0.0108644
n	0.104697	0.00148313	0.181559	0.305259	0.210863	0.0259112	0.0327775	0.0143323	0.0360975	0.0316229	0.0336241	0.0217733
i	0.053867	0.00221347	0.208162	0.297376	0.253305	0.0582859	0.0590918	0.0252972	0.014911	0.00568265	0.00534747	0.0164602
w	0.0188596	0.00307403	0.0662688	0.056474	0.161336	0.326	0.240647	0.0988075	0.016956	0.00247173	0.00199431	0.00711191
a	0.0237764	0.000439007	0.0816706	0.0921528	0.327971	0.196577	0.187361	0.0716992	0.00816883	0.000645146	0.000197758	0.00934161
t	0.00770268	0.000665822	0.0116349	0.0129259	0.0682614	0.517264	0.239095	0.125467	0.00951876	0.000850583	0.000347865	0.00626593
s	0.014324	7.32613e-05	0.0228759	0.0226759	0.14247	0.225602	0.347058	0.148377	0.0258703	0.0042906	0.0118669	0.0345161
í	0.00122608	2.14575e-05	0.0143407	0.0139491	0.191011	0.225966	0.39147	0.0916012	0.0234291	0.0113195	0.0192591	0.0164057
n	0.00382253	0.00022734	0.0128695	0.0109582	0.0908838	0.275716	0.3652	0.111132	0.0213389	0.00764626	0.0422988	0.057907
a	0.00753555	0.000375581	0.012783	0.0135443	0.129142	0.279863	0.21119	0.090724	0.0113919	0.00132321	0.00606266	0.236065
w	0.00148601	6.89323e-05	0.0100362	0.00831723	0.0113769	0.189676	0.26276	0.325641	0.150909	0.0077609	0.0105163	0.0214523
a	0.0111384	0.000117069	0.046619	0.0295586	0.0693604	0.178751	0.318219	0.223308	0.0516607	0.0101774	0.00132967	0.0597613
a	0.00207544	5.69801e-05	0.00817658	0.00368674	0.00669591	0.113989	0.190356	0.425959	0.150098	0.0267327	0.00647601	0.0656979
b	0.000329734	3.00305e-05	0.00678374	0.011464	0.00570197	0.00294463	0.00913648	0.0305137	0.289046	0.568396	0.0345387	0.041116
h	0.000232063	3.90022e-05	0.00543034	0.00599185	0.0100103	0.00625796	0.0150654	0.023915	0.0711594	0.730617	0.0745119	0.0567698
i	0.000328907	8.00622e-06	0.00271846	0.00521824	0.0119131	0.00933666	0.0277819	0.028836	0.0602355	0.554614	0.10889	0.19012
k	0.000260878	3.39319e-06	0.000398837	0.000439848	0.000710281	0.00776662	0.00653424	0.00726597	0.0569652	0.164855	0.600706	0.154093
í	0.00289983	4.00214e-05	0.00218715	0.00167638	0.00961221	0.06744	0.0426476	0.0316623	0.0455727	0.124618	0.437945	0.233699
l	0.000524607	2.66337e-05	0.00113276	0.000709955	0.0113252	0.0579539	0.0326613	0.0285456	0.0198938	0.0200532	0.59324	0.233933
í	0.000103388	1.45758e-06	0.00129616	0.00129799	0.00461339	0.0345582	0.020162	0.0426588	0.0388859	0.0187666	0.451007	0.386649
k	0.00146786	3.17305e-05	0.00382752	0.00327103	0.00676299	0.0174465	0.0145513	0.0201925	0.0339445	0.0298795	0.324539	0.544085
i	0.000334298	1.24304e-05	0.00208041	0.00157687	0.00391508	0.00787791	0.00641523	0.00509166	0.0204996	0.0630597	0.725769	0.163368
l	0.000230924	2.76058e-05	0.00127018	0.000814324	0.00504803	0.0040932	0.00318473	0.00370245	0.0119511	0.0329545	0.620091	0.316632
i	7.21971e-05	7.20942e-07	0.000301949	0.00028241	0.00208712	0.00506496	0.00436374	0.00527842	0.00852623	0.012407	0.645462	0.316154
</S>	0.000752929	8.34583e-06	0.00340469	0.00266181	0.00408381	0.00958809	0.0111362	0.0130879	0.0217999	0.0204569	0.266076	0.646944
