 	ce	soldat	est	un	héros	</S>
o	0.901764	0.0714068	0.0129287	0.00497854	0.00872298	0.000198748
m	0.017468	0.975923	0.0027964	0.00102357	0.00256028	0.000228832
b	0.0316681	0.96362	0.00114269	0.000825925	0.00055937	0.00218364
ω	0.00602486	0.972887	0.00103636	0.00208561	0.0108789	0.0070873
r	0.0253883	0.945118	0.00998376	0.00499498	0.0034724	0.0110423
i	0.136227	0.78351	0.0259747	0.00896246	0.00644826	0.0388774
m	0.103992	0.0355848	0.777945	0.0609274	0.00266227	0.0188889
ú	0.83221	0.0115748	0.0554648	0.0435241	0.00802711	0.0491987
ó	0.128178	0.0130603	0.46994	0.335794	0.00750177	0.045526
d	0.0334655	0.00560689	0.281153	0.486421	0.08303	0.110324
í	0.0338501	0.00498045	0.0444649	0.267156	0.0412899	0.608259
e	0.0748746	0.000945999	0.148887	0.290769	0.147916	0.336607
l	0.00235377	0.00629705	0.014884	0.182047	0.565116	0.229302
o	0.00203793	0.00404172	0.0215155	0.257467	0.315183	0.399754
m	0.00420639	0.00103656	0.0183552	0.0820459	0.718156	0.1762
b	0.0191946	0.0112016	0.016127	0.159379	0.550424	0.243674
é	0.00459504	0.0122303	0.00471363	0.032446	0.616201	0.329814
</S>	0.00515304	0.00194434	0.0645641	0.193754	0.078019	0.656566
