 	le	sac	qu'	il	a	en	main	est	bleu	foncé	</S>
p	0.346037	0.60289	0.0230655	0.00570832	0.00336094	0.00444095	0.00862921	0.00327411	0.000749534	0.00115052	0.000693529
ε	0.0113076	0.984283	0.00101449	0.000530466	0.000398703	0.000403198	0.000224342	7.11886e-05	0.000150839	0.00150099	0.000115386
n	0.0909974	0.439929	0.198857	0.0535211	0.0266186	0.0216902	0.00778512	0.0468928	0.00736419	0.00570806	0.100637
g	0.16933	0.725417	0.0403916	0.0162804	0.0128909	0.0117272	0.0020097	0.0080719	0.00455121	0.00127991	0.0080499
ε	0.149646	0.802106	0.0229273	0.00438096	0.0028292	0.00452965	0.00189399	0.00175013	0.00073495	0.000107286	0.00909456
y	0.144705	0.0463608	0.60045	0.0859425	0.0391933	0.0192581	0.00664017	0.0200985	0.00641307	0.00236745	0.028571
é	0.268005	0.0448265	0.483035	0.0636672	0.0290872	0.0228009	0.00536081	0.022611	0.00936534	0.00163394	0.0496067
é	0.200349	0.0184568	0.58161	0.096992	0.0248257	0.0217374	0.00476166	0.0133889	0.00667814	0.000926086	0.030274
d	0.074035	0.00708952	0.178773	0.277598	0.219276	0.0627115	0.0350124	0.0333283	0.0324007	0.00841533	0.0713608
í	0.00993524	0.000202154	0.039442	0.251033	0.321126	0.116548	0.00606629	0.0395766	0.052164	0.00153185	0.162375
l	0.0117602	0.000736569	0.0670931	0.152541	0.200609	0.161139	0.0179853	0.0746264	0.0824027	0.0442258	0.186881
a	0.00464359	0.000982047	0.17071	0.29828	0.177507	0.103876	0.0292705	0.0732698	0.0283702	0.00571662	0.107374
w	0.0356416	0.00623585	0.141619	0.163799	0.153088	0.185264	0.155554	0.0552032	0.0374293	0.00698044	0.059185
a	0.0254181	0.01079	0.160248	0.326357	0.0898565	0.117096	0.120127	0.0585061	0.0127053	0.00774289	0.0711531
m	0.00254017	0.00112676	0.0819288	0.13496	0.163836	0.228675	0.150904	0.08673	0.0366617	0.0256683	0.0869697
é	0.00976461	0.000326809	0.0479235	0.0705579	0.121683	0.248736	0.0735822	0.294692	0.0934406	0.000663069	0.0386312
b	0.00823512	0.000920598	0.0216255	0.0587052	0.132413	0.226205	0.216363	0.165017	0.100241	0.0434083	0.0268663
ω	0.00138474	8.40198e-05	0.00269974	0.0222996	0.0321303	0.0743859	0.745705	0.0456	0.0182789	0.0325666	0.0248656
ω	0.000426002	0.000291491	0.00386283	0.00828882	0.0139218	0.0472373	0.601228	0.0479117	0.0280972	0.200795	0.0479403
é	0.0046607	0.000374537	0.0105032	0.0116223	0.043473	0.0746078	0.0563834	0.354861	0.284675	0.085246	0.0735933
d	0.0148804	0.000948157	0.00971227	0.014551	0.0412295	0.0472667	0.0277157	0.123778	0.415735	0.267735	0.0364483
í	0.00185301	3.26887e-05	0.00179418	0.00430129	0.0193821	0.0154504	0.00236714	0.0519857	0.544503	0.0531917	0.305139
p	0.0019586	6.87627e-05	0.00233454	0.00649654	0.020074	0.0242993	0.00529849	0.0676562	0.267107	0.461958	0.142749
i	0.00048273	0.000388152	0.000596817	0.00310669	0.0046403	0.0110287	0.0114972	0.0216039	0.0833973	0.804697	0.0585616
b	0.000436315	0.000274823	0.00206466	0.00382175	0.00568357	0.0124425	0.00705224	0.0484711	0.13945	0.506389	0.273914
h	0.000478191	9.82832e-05	0.000399898	0.00163823	0.00267207	0.0102173	0.0665828	0.018244	0.0437657	0.683919	0.171985
i	0.000858677	0.00120808	0.00207154	0.00355629	0.00378872	0.00885346	0.0240839	0.0188264	0.0323454	0.622907	0.2815
í	0.00262027	0.000687423	0.0041935	0.00428655	0.00911735	0.0204869	0.0185516	0.0620735	0.111369	0.353591	0.413022
b	0.012671	0.000471341	0.0155414	0.0154515	0.0332599	0.035501	0.0296133	0.111981	0.21312	0.206444	0.325946
h	0.00644153	0.000242274	0.00739037	0.0245173	0.0314345	0.0531887	0.0864603	0.0501224	0.108214	0.432628	0.199361
i	0.00404437	0.000293741	0.00171036	0.00596303	0.00821798	0.0177431	0.0202203	0.031096	0.0664255	0.603145	0.241141
í	0.000917942	0.000124389	0.000577915	0.00139264	0.00429764	0.0131822	0.00306373	0.051155	0.174876	0.328986	0.421427
</S>	0.00571932	0.000281343	0.0135843	0.0106463	0.0268374	0.026277	0.0130965	0.121029	0.194225	0.11357	0.474734
