 	le	vin	de	palme	qu'	il	nous	a	offert	date	de	plus	d'	un	jour	</S>
a	0.640722	0.18878	0.0441193	0.0178256	0.0509792	0.0103479	0.0149472	0.0077547	0.00821525	0.000178875	0.00178891	0.00820178	0.00276743	0.00280399	0.000497965	6.93173e-05
l	0.0373366	0.909181	0.007349	0.00526878	0.00195763	0.00100046	0.000877052	0.00216982	0.0071312	0.0137325	0.00313035	0.00287405	0.00205538	0.00254981	0.0027062	0.00068029
ω	0.00904125	0.847566	0.0158457	0.0404464	0.00337012	0.00358602	0.0022228	0.00293994	0.00715061	0.0275227	0.00861479	0.0050741	0.00504164	0.0032105	0.000721942	0.0176451
i	0.0626937	0.578264	0.0942315	0.0768691	0.0159938	0.00560052	0.009183	0.0070547	0.0120631	0.0317702	0.00804177	0.0116205	0.0156974	0.0287888	0.0213305	0.0207977
m	0.0772971	0.019357	0.434517	0.152124	0.151448	0.0458006	0.0131082	0.0269732	0.00851722	0.00604169	0.00959412	0.00552137	0.00902647	0.00867519	0.00202009	0.029979
á	0.130595	0.00612752	0.231747	0.324906	0.0962146	0.107887	0.00937486	0.0196098	0.0137446	0.00375224	0.0122906	0.00101795	0.00480245	0.00454711	0.000766962	0.0326173
á	0.0482904	0.00289568	0.0941768	0.138835	0.164097	0.235505	0.133208	0.0445583	0.0287917	0.0112706	0.0157932	0.0103816	0.0136526	0.00967266	0.00497452	0.0438974
p	0.0104327	0.0191194	0.034841	0.0611129	0.0229824	0.0582296	0.0283445	0.0383199	0.164982	0.401197	0.0698817	0.0180204	0.0191549	0.0177692	0.00782091	0.0277918
έ	0.00163882	0.0071426	0.0230446	0.0955455	0.0289718	0.102975	0.0187071	0.017669	0.317511	0.178012	0.0699319	0.053814	0.0322432	0.0134147	0.0149644	0.0244148
w	0.00559293	0.00763349	0.0786494	0.0930536	0.0869502	0.160694	0.0701412	0.0236594	0.0269035	0.0624335	0.0561986	0.0306329	0.0328043	0.0233271	0.0129743	0.228352
a	0.0102491	0.00115719	0.107071	0.161883	0.123219	0.178535	0.0559148	0.0416998	0.0537375	0.0200476	0.0506546	0.038418	0.0448432	0.0217516	0.00855557	0.0822624
b	0.0022288	0.000537613	0.0430341	0.0346588	0.133441	0.158705	0.349029	0.143521	0.0207433	0.0415996	0.0317452	0.00704283	0.00567475	0.0057527	0.00112099	0.0211651
í	0.00540305	0.00311845	0.0229991	0.0617379	0.0285597	0.106611	0.505119	0.0494891	0.138481	0.00899992	0.0101874	0.0245304	0.0129508	0.00396824	0.00972447	0.00812006
s	0.000849041	0.00119344	0.0128193	0.0260206	0.0465015	0.116086	0.591392	0.0350779	0.0155526	0.00646577	0.0160221	0.0463564	0.0168754	0.00750188	0.0142611	0.0470244
í	0.0101534	0.00903122	0.014619	0.0394616	0.0350354	0.102501	0.35326	0.100662	0.0241778	0.0291915	0.0365073	0.0255776	0.0394897	0.0201397	0.00497623	0.155217
á	0.000945331	0.00194566	0.00727861	0.00555517	0.0236988	0.0531638	0.167857	0.271163	0.0907312	0.0709962	0.102199	0.0941123	0.0333439	0.03222	0.0097158	0.035075
d	0.00125534	0.00697473	0.00507713	0.00988534	0.00176036	0.00392286	0.00920927	0.0395486	0.0615951	0.40268	0.193497	0.135158	0.0629595	0.036615	0.014745	0.0151163
z	0.000709476	0.000560868	0.00118041	0.00374461	0.000544548	0.00233487	0.00940717	0.0190952	0.00509091	0.753263	0.117633	0.0302277	0.016353	0.0100645	0.00172977	0.0280612
e	0.0228602	0.000417105	0.00600814	0.0122822	0.00469126	0.0142005	0.00893511	0.0355558	0.00250948	0.236311	0.441262	0.096142	0.0599344	0.023695	0.0029125	0.0322826
p	0.000639408	0.000180437	0.003626	0.00365245	0.0121765	0.0138937	0.0461336	0.0606523	0.020519	0.198389	0.158172	0.218253	0.112804	0.0959868	0.0329868	0.0219357
í	0.000240655	0.000480875	0.00142352	0.00416213	0.0028858	0.0175418	0.0301041	0.0267513	0.0173046	0.0313402	0.181459	0.341713	0.157746	0.0588183	0.0995983	0.0284304
</S>	9.54712e-05	0.000280578	0.000883623	0.00174972	0.0023994	0.00904442	0.0466384	0.0187397	0.0116053	0.0624405	0.119382	0.306204	0.180896	0.0845176	0.092771	0.062352
