 	il	va	récolter	le	miel	</S>
w	0.980687	0.0115833	0.00135854	0.00576623	0.0005167	8.79204e-05
a	0.967088	0.0142141	0.000602632	0.0176282	0.00040356	6.34998e-05
l	0.709152	0.247177	0.0150045	0.0150449	0.00326694	0.0103551
á	0.332653	0.131477	0.0411073	0.117079	0.0222506	0.355433
a	0.188375	0.259498	0.0287422	0.0380348	0.0549313	0.430418
d	0.0087776	0.652627	0.310412	0.00154283	0.00458021	0.0220599
z	0.0031281	0.411916	0.579396	0.000845441	0.000984776	0.0037303
w	0.159015	0.399825	0.396876	0.00888058	0.0275403	0.0078639
á	0.0709633	0.0674762	0.250563	0.367351	0.0557044	0.187942
o	0.0330215	0.0355024	0.390973	0.368069	0.143059	0.0293754
t	0.000801206	0.0445147	0.881593	0.0376876	0.0273105	0.00809261
o	0.000251675	0.0114411	0.959256	0.0066279	0.00392855	0.0184945
b	9.32655e-05	0.0161386	0.946868	0.0164634	0.00424777	0.0161894
h	0.0160529	0.0362347	0.700638	0.0539692	0.018853	0.174252
á	0.00276117	0.00158048	0.211605	0.120994	0.0337262	0.629332
n	0.0370621	0.00323776	0.0120437	0.642259	0.235479	0.0699192
d	0.0100191	0.000371101	0.000485869	0.0369526	0.903701	0.0484707
z	0.00111861	0.000505439	0.00121795	0.0103374	0.925333	0.0614873
ú	6.56418e-05	0.000124109	0.00232839	0.00379692	0.963435	0.0302496
e	0.00288445	0.000263394	0.00694095	0.00561169	0.908376	0.0759236
</S>	0.000260251	0.000263009	0.00297204	0.125781	0.0254364	0.845288
