 	c'	est	moi	qui	ai	construit	cette	maison	</S>
n	0.475383	0.334879	0.0980194	0.0603371	0.0177478	0.00362729	0.0072138	0.000577403	0.00221504
g	0.331974	0.0948171	0.348088	0.0488918	0.0229824	0.00609762	0.0259528	0.119543	0.00165389
á	0.0532701	0.194561	0.495722	0.123562	0.084099	0.00363143	0.00843605	0.0361099	0.000607911
m	0.0737155	0.251733	0.229255	0.228511	0.118741	0.0120693	0.0304382	0.00193876	0.0535971
o	0.120921	0.237269	0.0974307	0.277741	0.0888586	0.0380958	0.0137923	0.00524694	0.120644
r	0.286906	0.331411	0.178134	0.161942	0.0252913	0.00482425	0.00383165	0.000620286	0.00703974
o	0.262167	0.337925	0.186131	0.128164	0.0460429	0.0111318	0.0138644	0.00658902	0.00798561
y	0.0476669	0.0898644	0.279082	0.421414	0.111645	0.0237845	0.0129552	0.00145304	0.0121346
e	0.360363	0.205179	0.141743	0.184768	0.0492945	0.0130143	0.0296179	0.0064845	0.00953544
e	0.227983	0.0733797	0.157233	0.239299	0.135268	0.0369637	0.0951058	0.0157263	0.0190418
t	0.00604369	0.0143309	0.0243924	0.0344779	0.193178	0.549152	0.029515	0.0232887	0.125621
ó	0.00319384	0.0124849	0.0166669	0.0400463	0.0905499	0.764982	0.0183059	0.0019778	0.0517919
n	0.00232446	0.00984426	0.0212686	0.084995	0.0922329	0.692344	0.0622861	0.00131412	0.0333906
g	0.0297298	0.0351906	0.093792	0.129681	0.203631	0.379033	0.0348953	0.00756061	0.086486
í	0.130242	0.108954	0.264882	0.178068	0.103681	0.0710146	0.0568644	0.0319421	0.0543515
n	0.0251303	0.0106978	0.0807295	0.155502	0.124565	0.124725	0.387008	0.0508092	0.0408318
d	0.00633042	0.00506592	0.0556753	0.0405959	0.106986	0.0499042	0.168653	0.435491	0.131298
é	0.00037675	0.000486329	0.013602	0.00648197	0.0122686	0.0139526	0.0612861	0.812034	0.0795113
e	0.00263188	0.00370192	0.0482816	0.0826603	0.0757538	0.101912	0.329534	0.108531	0.246994
y	0.0148266	0.00787238	0.0259746	0.0622431	0.113981	0.0926062	0.23835	0.0520107	0.392135
í	0.0311921	0.0311933	0.0325942	0.0613708	0.0938858	0.114703	0.385719	0.0697946	0.179547
i	0.0143518	0.011955	0.0481629	0.0929899	0.109731	0.0468465	0.228761	0.0314494	0.415753
</S>	0.00268075	0.00589112	0.00364525	0.00619333	0.0292614	0.139766	0.108656	0.0838916	0.620015
