 	le	barrage	de	mon	oncle	a	des	nasses	de	type	kooro	</S>
b	0.324188	0.406235	0.131322	0.0218699	0.0111407	0.0126396	0.005668	0.026478	0.0169185	0.0355102	0.00594445	0.00208526
v	0.0152642	0.841685	0.0196926	0.0134099	0.051048	0.0111116	0.00649085	0.00481837	0.00949409	0.0237189	0.00298966	0.000276296
a	0.0164671	0.557248	0.045175	0.0209474	0.0168445	0.0140495	0.186329	0.0791454	0.0323744	0.0174929	0.00794337	0.00598344
n	0.0189248	0.915059	0.0199084	0.00416736	0.00430724	0.00145332	0.00793894	0.00208415	0.00215972	0.00460612	0.00168032	0.0177102
d	0.537191	0.181576	0.0453454	0.0197972	0.00767772	0.0188505	0.0233851	0.0137861	0.0223436	0.0110326	0.00184258	0.117172
e	0.235309	0.0753908	0.0537623	0.012549	0.00918036	0.0199178	0.0192251	0.00727442	0.032292	0.00643625	0.000939338	0.527724
b	0.264539	0.11204	0.170744	0.128606	0.182917	0.0280619	0.0128338	0.0127279	0.0253958	0.0425653	0.00369085	0.015878
á	0.10947	0.167652	0.162218	0.151887	0.00914438	0.0302787	0.0407894	0.0470858	0.0924448	0.0904236	0.00549437	0.0931121
n	0.0847644	0.10825	0.225419	0.231354	0.0567328	0.0552559	0.0359298	0.0147236	0.0383069	0.0232218	0.00694456	0.119097
g	0.0428692	0.0405583	0.0523184	0.500972	0.287765	0.0203445	0.0115104	0.0036945	0.0122027	0.00456485	0.000525868	0.0226745
ó	0.00607039	0.00933501	0.0266386	0.146967	0.78559	0.00684496	0.0031635	0.000987323	0.00337452	0.00152145	0.000493395	0.00901415
l	0.0164452	0.0128484	0.060759	0.113827	0.584146	0.05766	0.021052	0.0171788	0.0273992	0.0201553	0.0166314	0.0518971
ó	0.0236363	0.0221027	0.181093	0.149592	0.353314	0.0759922	0.0565066	0.0282997	0.0275514	0.0201405	0.0173946	0.0443772
m	0.0316429	0.0174976	0.15946	0.0918363	0.0939662	0.284896	0.112738	0.0628249	0.0376227	0.037458	0.0260888	0.0439688
i	0.103594	0.00741802	0.106815	0.044979	0.0672406	0.333457	0.133944	0.0191667	0.0321021	0.0182638	0.0291614	0.103858
y	0.00887572	0.00493492	0.0825941	0.0545641	0.0046758	0.325742	0.277126	0.0804524	0.0464314	0.0249129	0.0155193	0.0741714
a	0.0607756	0.00289039	0.128647	0.160331	0.0338933	0.195107	0.154817	0.0457253	0.0526826	0.0196919	0.0373157	0.108123
n	0.0251543	0.00230347	0.0867023	0.555626	0.00365368	0.151362	0.0634463	0.018739	0.0251024	0.00912938	0.0137821	0.0449992
g	0.0119948	0.00441764	0.0415578	0.501877	0.0332014	0.114932	0.0618098	0.0437672	0.0755398	0.036231	0.0102621	0.0644093
á	0.00441254	0.00682491	0.0397851	0.381082	0.346228	0.0608216	0.0326312	0.0383342	0.0239486	0.0124769	0.0163138	0.0371407
ó	0.000917922	0.000615234	0.032434	0.0358067	0.00385768	0.251039	0.09116	0.112946	0.190237	0.16315	0.0735961	0.0442396
d	0.00228063	0.000499125	0.00688258	0.00589807	0.000685138	0.0729695	0.290688	0.202405	0.131423	0.0927807	0.0767146	0.116774
í	0.00167559	0.000144531	0.0014807	0.00151602	0.000110472	0.0727556	0.235343	0.026011	0.0427489	0.0146156	0.00171859	0.60188
l	0.00485428	0.000243303	0.00749554	0.0205409	0.000272643	0.0874276	0.115116	0.104634	0.122813	0.119538	0.0520635	0.365003
a	0.000877354	0.000927597	0.00928636	0.00657224	0.00127658	0.0560971	0.10054	0.052225	0.14427	0.0981797	0.0799975	0.44975
k	0.000965358	0.000648385	0.00389025	0.00475461	0.000187649	0.0196219	0.053768	0.0766756	0.152657	0.113499	0.429547	0.143785
ó	0.000403854	0.00124396	0.00208707	0.000445128	5.35984e-05	0.00149154	0.015756	0.153219	0.0460198	0.0306959	0.687204	0.0613797
o	2.0891e-05	3.49695e-05	0.000267723	0.000155604	0.000175909	0.00123903	0.0146532	0.118097	0.0410512	0.101018	0.667789	0.0554973
r	0.000908772	4.66985e-05	0.000828792	0.00079648	8.61131e-05	0.00893156	0.0235829	0.0495537	0.330506	0.332119	0.0257493	0.226891
ó	0.00487452	0.000615718	0.00387313	0.00238638	0.00107848	0.0208406	0.0728614	0.0656326	0.241542	0.183038	0.148529	0.254729
</S>	0.000454577	0.000227304	0.00194535	0.00243182	0.0016498	0.0144725	0.0107227	0.0194338	0.118784	0.143667	0.0375743	0.648636
