 	c'	est	leur	oncle	qui	a	coupé	ce	palmier	</S>
o	0.394581	0.279778	0.0523426	0.180564	0.0703338	0.00595771	0.00185558	0.00962792	0.00204543	0.00291369
k	0.0481721	0.244036	0.00304554	0.0328489	0.0330171	0.200532	0.378148	0.0136477	0.0351839	0.0113684
y	0.0457475	0.319502	0.0174343	0.0223248	0.00832653	0.068514	0.425323	0.0135622	0.0164244	0.0628406
é	0.0156157	0.27565	0.00578808	0.0364754	0.00551374	0.0707628	0.530379	0.0306193	0.0127079	0.0164883
n	0.166347	0.476758	0.146806	0.045443	0.0537049	0.0208537	0.0217073	0.0240267	0.00627712	0.0380756
i	0.256314	0.289376	0.139281	0.00486698	0.0340285	0.0191733	0.029376	0.00873365	0.00319214	0.215658
i	0.0970017	0.125542	0.203425	0.0618777	0.34465	0.049721	0.017671	0.0370582	0.0447425	0.0183118
b	0.0289373	0.0754893	0.113039	0.0359858	0.230949	0.154197	0.0904349	0.0429282	0.0533804	0.174659
í	0.012144	0.0404956	0.347951	0.00322244	0.0307923	0.0598646	0.0169448	0.0200446	0.421726	0.0468142
a	0.0167	0.0386771	0.753987	0.00934753	0.0340401	0.0217559	0.00677465	0.00835241	0.0738357	0.0365295
d	0.00545072	0.0111443	0.0537153	0.0160166	0.299023	0.365009	0.0890547	0.113108	0.0126898	0.0347878
í	0.00463052	0.007066	0.0167631	0.00395301	0.0820618	0.418396	0.127453	0.0464511	0.00561742	0.287608
é	0.00189634	0.00305946	0.149004	0.00351829	0.094586	0.180486	0.0930064	0.29373	0.0513464	0.129367
d	0.00284503	0.00791385	0.00746145	0.00459873	0.0103962	0.168597	0.268831	0.413814	0.0691404	0.0464027
z	0.0139654	0.00608471	0.00436994	0.000220438	0.0177371	0.0901531	0.112155	0.205374	0.0242432	0.525697
e	0.0307056	0.00451929	0.0386032	0.000998059	0.0953777	0.0971854	0.120348	0.403266	0.00223305	0.206764
n	0.00386978	0.0024661	0.107521	0.00439775	0.0441923	0.0435272	0.0483295	0.320624	0.241037	0.184035
g	0.00102606	0.00251666	0.0368075	0.00310879	0.0170834	0.0172998	0.0339703	0.135954	0.106172	0.646061
ó	0.0017283	0.00331769	0.0293818	0.203904	0.0665069	0.0358132	0.031527	0.213096	0.0860235	0.328702
l	0.000139011	0.00091512	0.00251135	0.00735702	0.00462571	0.0116663	0.0220217	0.154483	0.0945807	0.7017
ó	0.00138232	0.00448704	0.00157127	0.000733934	0.00340036	0.0216176	0.0715615	0.207016	0.170848	0.517383
m	0.00105101	0.00257566	0.00988247	0.00123324	0.00631562	0.00839875	0.0262349	0.108905	0.153873	0.68153
i	0.00500635	0.00600633	0.00176258	0.00015892	0.0014674	0.0035109	0.0170322	0.380272	0.0554953	0.529288
y	0.001521	0.00554505	0.000914887	0.000149717	0.0014346	0.00665519	0.0171132	0.254405	0.0598282	0.652433
a	0.0106341	0.0309563	0.0256028	0.0022401	0.0138723	0.0680403	0.157399	0.495565	0.0132085	0.182481
b	0.00509547	0.00376689	0.0127555	0.000803329	0.00526962	0.0078616	0.0121325	0.194485	0.00881743	0.749013
á	0.0066276	0.0312099	0.00902316	0.000370822	0.00377789	0.0185638	0.0546619	0.230171	0.111498	0.534096
a	0.00322741	0.012528	0.0168711	0.00134138	0.00130069	0.0120009	0.0454273	0.162362	0.0549184	0.690023
</S>	0.00390808	0.0104809	0.00776155	0.00107587	0.00970574	0.0375151	0.0611139	0.174738	0.0265995	0.667101
