 	mon	mari	sait	tendre	des	pièges	pour	prendre	les	rats	palmistes	</S>
o	0.929229	0.0247353	0.0219966	0.00650271	0.0080918	0.00350393	0.00450843	0.000336619	0.000440733	0.000560678	3.73414e-06	9.05022e-05
l	0.0276818	0.966065	0.00176109	0.00143574	0.000221535	0.000662929	0.000185704	0.000973232	0.000190657	0.000294979	0.000234352	0.000293324
ó	0.00631745	0.862593	0.026847	0.0571577	0.00363788	0.0130983	0.00226366	0.0230615	0.00162655	0.000876948	0.00060122	0.00191866
m	0.000608601	0.940276	0.0105687	0.0118084	0.00284196	0.00755381	0.00218688	0.0117855	0.000774842	0.000637956	0.00648151	0.00447583
i	0.162869	0.601473	0.0900435	0.0298214	0.0130718	0.0186082	0.0157589	0.0227245	0.00924455	0.00285789	0.00085436	0.0326723
y	0.633827	0.0484467	0.163579	0.0216316	0.0264264	0.0063032	0.0161053	0.0067019	0.0228162	0.0219395	0.00154697	0.030677
a	0.788876	0.00764609	0.0709522	0.0192923	0.022085	0.01044	0.0175614	0.00364633	0.0170369	0.00112242	0.000152461	0.0411885
n	0.946188	0.00232092	0.0193024	0.0052004	0.00745213	0.00239038	0.00506028	0.000558631	0.00344502	0.000256292	0.000213228	0.00761262
g	0.985232	0.00219996	0.00460513	0.000953769	0.00181605	0.000628431	0.00149932	0.000149146	0.00175635	0.000177676	5.49453e-06	0.000976762
á	0.624854	0.166479	0.0888177	0.0483979	0.019574	0.0148182	0.0147212	0.00340663	0.00916986	0.000963863	0.000263947	0.00853448
l	0.0522493	0.00323484	0.555626	0.0947904	0.158175	0.0303476	0.0495209	0.00905908	0.0243002	0.00784076	0.000658377	0.0141976
á	0.0692126	0.0167264	0.412079	0.105259	0.071136	0.0369687	0.0410889	0.0186511	0.0724846	0.00857151	0.00148515	0.146337
a	0.18093	0.00387406	0.289763	0.198949	0.120011	0.0661746	0.0404332	0.0269485	0.0197963	0.00588197	0.0026975	0.0445413
y	0.00424833	0.024365	0.336531	0.417636	0.0273397	0.0658559	0.0101242	0.0716959	0.0040066	0.0088129	0.023102	0.0062824
é	0.0116423	0.00747024	0.194696	0.418188	0.0889474	0.130553	0.0272652	0.021858	0.0102641	0.0164601	0.039605	0.0330514
b	0.0285514	0.00236906	0.0668229	0.202902	0.103668	0.169116	0.0791901	0.0373343	0.0199076	0.00806593	0.011239	0.270833
h	0.0155293	0.000216422	0.121088	0.562514	0.0668633	0.0825681	0.049493	0.0346201	0.0247421	0.0219521	0.00219713	0.0182164
á	0.0125679	0.000262913	0.0909785	0.244595	0.159389	0.0735398	0.152393	0.0545649	0.0785375	0.025538	0.00235988	0.105274
o	0.00438851	0.000103629	0.0264201	0.0706666	0.31574	0.16137	0.287722	0.0387248	0.0573108	0.0206192	0.00929656	0.0076382
b	0.00044277	0.00238582	0.0201001	0.0233966	0.0270938	0.158919	0.0995365	0.423998	0.0224511	0.0243725	0.192455	0.00484912
h	4.23737e-05	0.000689022	0.0170112	0.0233123	0.0147424	0.0594627	0.0521725	0.728693	0.033738	0.0383348	0.0200175	0.0117846
í	1.22131e-05	0.000196191	0.00889347	0.0235883	0.00443318	0.0499378	0.0164067	0.791911	0.0138942	0.0519893	0.010484	0.0282534
á	7.19371e-05	8.54891e-05	0.00941542	0.0244526	0.0157649	0.0804724	0.0746712	0.589706	0.0456658	0.0741439	0.0266069	0.0589433
a	0.00111176	8.95792e-05	0.0107661	0.00486544	0.0338153	0.0207381	0.116383	0.0497329	0.4891	0.158076	0.0292951	0.0860255
k	0.00487723	0.00128937	0.0374735	0.0196011	0.0200422	0.0220512	0.0426479	0.0827456	0.18539	0.253451	0.256862	0.0735685
ó	0.000154504	0.000235322	0.0100602	0.0636508	0.00749471	0.0153536	0.0132813	0.328388	0.0520861	0.0877641	0.378615	0.042916
l	4.0372e-05	5.27963e-05	0.00223746	0.0154318	0.00436927	0.00761081	0.00924745	0.191123	0.0338043	0.0633711	0.639343	0.0333687
ó	0.000269246	0.000311658	0.0038004	0.0198032	0.00976437	0.0123722	0.0230004	0.0831437	0.105207	0.0950854	0.524947	0.122295
</S>	0.00599262	0.000551701	0.0189701	0.0128853	0.0287185	0.0100724	0.0492947	0.0174814	0.149921	0.0609328	0.0811503	0.564029
