 	certaines	femmes	ressentent	des	douleurs	après	l'	accouchement	</S>
a	0.312826	0.231134	0.262133	0.0987803	0.0712414	0.0149032	0.00793424	0.000347322	0.000700884
y	0.128979	0.722463	0.124234	0.00619665	0.00639148	0.00294153	0.00280081	0.004144	0.00184974
ú	0.462477	0.281029	0.0444319	0.0417645	0.0269616	0.0393581	0.0306741	0.012687	0.0606166
r	0.592497	0.223867	0.00700885	0.0048106	0.00399635	0.017107	0.00835691	0.000578934	0.141777
u	0.465237	0.361673	0.0173625	0.0361392	0.0236681	0.0194088	0.0101457	0.0022411	0.0641242
b	0.272266	0.0811536	0.162493	0.280907	0.142264	0.0236644	0.00899041	0.00195748	0.0263045
a	0.137997	0.0613169	0.117216	0.347089	0.163888	0.0593964	0.0535189	0.0242243	0.0353534
n	0.271307	0.131034	0.165587	0.251777	0.110545	0.0373669	0.0116877	0.00290484	0.0177906
á	0.785963	0.0479128	0.0333273	0.0319703	0.008568	0.050375	0.0139034	0.000437791	0.0275425
á	0.0136398	0.0176625	0.14872	0.481629	0.237227	0.052754	0.0161082	0.00319104	0.0290682
d	0.0700297	0.0429522	0.0351394	0.30233	0.294076	0.192395	0.0331155	0.00516861	0.0247933
í	0.0810891	0.0137505	0.0123557	0.19437	0.150429	0.269511	0.0776153	0.00347837	0.197401
l	0.0639482	0.00248023	0.0105129	0.114017	0.284327	0.127438	0.127084	0.0847434	0.18545
e	0.00586428	0.00880265	0.00408246	0.10135	0.150644	0.365971	0.176383	0.0248304	0.162073
k	0.00955467	0.00209436	0.0131927	0.0786171	0.248792	0.246164	0.0930567	0.254324	0.0542051
ú	0.000228672	0.00110987	0.0344676	0.0293991	0.411899	0.046286	0.0137814	0.430669	0.0321594
ú	0.000124145	0.000849932	0.0155902	0.0268513	0.171834	0.0503477	0.0312579	0.448388	0.254757
g	0.00116856	0.000614736	0.00189282	0.0094785	0.0207798	0.0522731	0.173266	0.3212	0.419327
h	0.0120337	0.00109799	0.0022708	0.0153966	0.0821896	0.130772	0.239769	0.246656	0.269814
ú	0.0108704	0.00262458	0.0023407	0.025699	0.0539394	0.158705	0.284677	0.24844	0.212703
</S>	0.000166347	9.84897e-05	0.00068266	0.00549024	0.0121469	0.0578272	0.194799	0.186917	0.541871
