 	m	ú	b	h	u	b	ó	m	ó	o	d	u	m	á	m	y	a	l	i	m	y	a	l	i	</S>
le	0.0124867	0.0171547	0.016283	0.0159113	0.0172246	0.0172597	0.019219	0.027222	0.0468677	0.0544998	0.0643449	0.0699392	0.0847001	0.0666179	0.023779	0.0252371	0.0294307	0.0371278	0.0527513	0.0527321	0.0718842	0.0574646	0.052361	0.0323481	0.0351534
voleur	0.00720746	0.0239606	0.0400567	0.0906759	0.134656	0.139975	0.147393	0.093774	0.0955076	0.0306558	0.0101018	0.00613976	0.00982921	0.00369303	0.00582629	0.0060382	0.00819997	0.0248786	0.0139357	0.0262583	0.0391082	0.0228393	0.00983809	0.00421402	0.00523661
s'	0.0413212	0.0238906	0.0199746	0.0220388	0.0244082	0.0323778	0.0391668	0.0225526	0.0275558	0.0517194	0.0448202	0.0423145	0.0291661	0.0397842	0.0764109	0.0880634	0.0735473	0.0599057	0.0701471	0.0528566	0.0491239	0.0300388	0.0178487	0.0140925	0.00687451
éclipse	0.0831792	0.0516833	0.0842363	0.0947795	0.0758806	0.0452954	0.0385588	0.0328186	0.0475783	0.0414237	0.0316278	0.0320074	0.0385262	0.0162726	0.0460603	0.0396771	0.0286627	0.0298609	0.0324057	0.0193562	0.0143553	0.0151983	0.00912396	0.0163328	0.0350991
sur	0.059341	0.0422357	0.0417773	0.0461237	0.0447812	0.032232	0.0397472	0.0439325	0.0426854	0.0438136	0.0551027	0.0419325	0.0626826	0.0179728	0.0221639	0.0165727	0.0256569	0.0486809	0.0296689	0.0524049	0.0541311	0.027024	0.0334754	0.0248885	0.0509723
la	0.0430479	0.0351491	0.0379045	0.0301461	0.0258036	0.023771	0.022712	0.0257579	0.0245005	0.0302901	0.0306446	0.0370443	0.0416354	0.0331774	0.0457052	0.0474563	0.0444765	0.0466808	0.0526466	0.0471704	0.0303549	0.061645	0.0380916	0.0646206	0.0795677
pointe	0.0649063	0.039089	0.0390452	0.0331413	0.0337607	0.0198022	0.0160615	0.0116252	0.0119418	0.0128598	0.00982632	0.0121161	0.017256	0.0118712	0.021267	0.0344955	0.0437584	0.0720687	0.0791085	0.0940336	0.0476714	0.0632828	0.0417346	0.0542394	0.115038
des	0.353551	0.167193	0.0620445	0.0300161	0.0253411	0.0140468	0.00831795	0.00788714	0.00967672	0.0102849	0.0125746	0.0170824	0.012074	0.00736579	0.0169359	0.0279629	0.0112744	0.016377	0.0142907	0.0124497	0.0079771	0.00705234	0.0114688	0.0242625	0.112493
pieds	0.295628	0.192333	0.103254	0.0441326	0.0264624	0.0125343	0.00724201	0.00743211	0.00836902	0.00950343	0.0114761	0.0125318	0.0130159	0.00906116	0.0165807	0.00966392	0.00306493	0.0030366	0.00266355	0.00318467	0.0029116	0.00466085	0.00806184	0.0310327	0.162163
</S>	0.116528	0.0642276	0.0604773	0.0455361	0.0340497	0.0160593	0.0138644	0.011609	0.0129165	0.0122	0.0145212	0.0175199	0.0225545	0.0162144	0.0362401	0.0312679	0.0224636	0.0300321	0.0293781	0.0217093	0.019099	0.0236956	0.0368605	0.0663592	0.224617
