 	e	l	έ	n	g	í	s	í	l	í	y	é	é	l	έ	n	g	έ	s	έ	w	a	n	g	á	é	d	i	k	a	n	d	í	k	a	á	</S>
la	0.0117158	0.0117685	0.0150242	0.0159559	0.0148177	0.0126356	0.0184702	0.022762	0.0348801	0.0395572	0.0512308	0.0440295	0.0567754	0.0657527	0.0532114	0.0481289	0.0445064	0.0460414	0.0348841	0.0372914	0.0281857	0.0127121	0.0142471	0.0184869	0.0148413	0.0134175	0.00846166	0.0138511	0.0120049	0.0109523	0.0189388	0.0181045	0.0280607	0.0311536	0.026118	0.0254921	0.0255322
manière	0.0242493	0.0203675	0.0407932	0.0333061	0.0115482	0.010432	0.0162868	0.0266447	0.0370479	0.0236661	0.038719	0.0747055	0.114439	0.0676218	0.058362	0.0366169	0.0286211	0.0203587	0.0154535	0.0144004	0.0274509	0.0448524	0.0213354	0.022679	0.0196354	0.0264245	0.0158285	0.0189841	0.0233015	0.0100068	0.00592095	0.0174802	0.0137241	0.0066463	0.00736492	0.00287791	0.00184712
dont	0.0672567	0.0338132	0.0251515	0.0232156	0.0164811	0.0236547	0.0225791	0.0116132	0.00993928	0.00972367	0.00886585	0.010606	0.0141549	0.0190191	0.0257201	0.0267091	0.027617	0.0360261	0.0491021	0.062647	0.0811287	0.0455453	0.0384864	0.0232831	0.0193044	0.0223115	0.0216929	0.0350471	0.0381643	0.040742	0.0189545	0.0226289	0.0150783	0.0073598	0.00934152	0.0155917	0.0214442
il	0.0355042	0.0365116	0.02851	0.0194846	0.0155352	0.01031	0.0108221	0.00510867	0.00612375	0.01216	0.0212903	0.0262076	0.0303159	0.0371692	0.0197991	0.0198292	0.0175641	0.0285551	0.0165971	0.0168216	0.02665	0.053842	0.0772131	0.101593	0.0610536	0.0328256	0.0353274	0.0524987	0.0170364	0.0299486	0.0186102	0.0165325	0.0105569	0.00698367	0.00560775	0.0103655	0.0291359
m'	0.0422807	0.0426632	0.0477176	0.040873	0.0348467	0.0380524	0.0299678	0.0258109	0.0195089	0.0142075	0.00987895	0.00769093	0.0116702	0.0200005	0.0204668	0.0181895	0.0171074	0.0252358	0.0300117	0.018018	0.0189643	0.050536	0.0585857	0.0454201	0.0547061	0.0255237	0.0190017	0.0397526	0.0236627	0.0317887	0.0261926	0.0190206	0.0207232	0.0108309	0.00851346	0.0146185	0.0179608
espoinne	0.0240515	0.0491127	0.0684964	0.0701984	0.0604916	0.0701364	0.0567072	0.0418652	0.0266493	0.02269	0.0107448	0.0100098	0.01173	0.0104354	0.0127537	0.0108502	0.0100137	0.0140224	0.0184784	0.0126484	0.0132592	0.0218263	0.0172182	0.0202448	0.0237408	0.0172431	0.0121689	0.0245747	0.028616	0.0375336	0.0285454	0.0176171	0.0195882	0.0144459	0.0149569	0.0237053	0.05263
est	0.039784	0.0385543	0.0156275	0.0106159	0.0170235	0.0372118	0.021377	0.0316006	0.0365601	0.0319921	0.0185839	0.0149785	0.0144895	0.0167312	0.0223541	0.0181664	0.020113	0.0250794	0.0339112	0.0341973	0.0316525	0.0509314	0.0555376	0.0472883	0.0519473	0.0498269	0.0455201	0.0461024	0.016332	0.0179599	0.00420065	0.0054154	0.00367374	0.00450305	0.00456704	0.0129003	0.0526901
un	0.0276983	0.0385437	0.0390654	0.0421707	0.049949	0.032907	0.030585	0.0251638	0.0293391	0.0299218	0.0295823	0.026046	0.0137557	0.0195616	0.0183944	0.0204727	0.0183465	0.019926	0.0246976	0.0227854	0.0272652	0.0263699	0.0133302	0.0159173	0.0147094	0.0232215	0.01355	0.0187923	0.0215283	0.0184536	0.0139833	0.0132633	0.0158823	0.0214729	0.0332346	0.0441539	0.10596
manque	0.0280721	0.0551492	0.0478909	0.0463261	0.0505043	0.0353457	0.0269385	0.0259091	0.0255218	0.0132202	0.00795817	0.00889116	0.0062892	0.0137744	0.00767891	0.0215292	0.0173238	0.0132955	0.0451764	0.0568269	0.0453257	0.024411	0.0191614	0.0194702	0.0330407	0.0295313	0.0215343	0.016003	0.0204144	0.0234959	0.0123801	0.00905912	0.0113157	0.0141682	0.0179108	0.0194343	0.109723
de	0.0736886	0.0697061	0.0432464	0.0343269	0.0342302	0.0284221	0.0232573	0.0153136	0.00919519	0.00719651	0.00585146	0.00590411	0.00548231	0.00704982	0.00725279	0.00862972	0.00922853	0.01341	0.0177636	0.0183605	0.0285773	0.0367942	0.0290356	0.0463825	0.0321238	0.049381	0.0444181	0.0256645	0.0265073	0.0131038	0.00875084	0.00857697	0.00655971	0.0140842	0.0491951	0.037957	0.105373
respect	0.101543	0.0717508	0.0403554	0.0277406	0.0242647	0.0217499	0.0240156	0.0156598	0.014694	0.0106371	0.00565789	0.00490292	0.00547258	0.00778555	0.00846663	0.0106445	0.0111619	0.0131826	0.01488	0.0149849	0.0171161	0.0237942	0.0223599	0.0300673	0.0322748	0.043348	0.0306472	0.0247078	0.0213229	0.0130681	0.0115243	0.0124425	0.0128365	0.0221372	0.0540849	0.0608729	0.117845
</S>	0.0487575	0.0470118	0.0411313	0.0311766	0.0316833	0.0247188	0.0245478	0.0144281	0.0118294	0.00831567	0.00792884	0.0100975	0.0106314	0.0167165	0.0152337	0.0128045	0.0139999	0.0155926	0.0152183	0.0156157	0.0227345	0.0235334	0.017782	0.0268658	0.0209923	0.0242614	0.0232205	0.0295091	0.0239448	0.0365621	0.0316683	0.0280222	0.0279006	0.0377016	0.0578137	0.0535212	0.0965272
