 	w	a	á	k	a	n	g	i	i	b	v	é	é	m	ó	l	e	n	d	a	</S>
il	0.146805	0.271616	0.178722	0.281946	0.0662552	0.0157985	0.0074267	0.0039614	0.0021704	0.0022438	0.00194824	0.00209096	0.00130903	0.00162471	0.00232929	0.00243356	0.00224274	0.00246052	0.0024105	0.00240704	0.00179897
a	0.0487634	0.0445145	0.045154	0.0168786	0.0204731	0.0366861	0.0346322	0.101187	0.125983	0.141468	0.127415	0.0393496	0.0781055	0.0223729	0.0137252	0.013199	0.0090097	0.00670559	0.011304	0.0207438	0.0423299
ficelé	0.0329734	0.0157464	0.0179545	0.0215412	0.0176092	0.027868	0.0428592	0.0668238	0.094256	0.087221	0.0618469	0.0472835	0.0480836	0.0423135	0.0474959	0.051689	0.0467082	0.0454218	0.0503006	0.062301	0.0717033
un	0.042061	0.0331343	0.0383482	0.0373055	0.0444714	0.0343033	0.0351988	0.0396323	0.0438389	0.0423465	0.0359889	0.052981	0.0421678	0.0344458	0.0392344	0.0557271	0.0552939	0.0243846	0.0625079	0.0751735	0.131455
paquet	0.0156831	0.0118803	0.00800373	0.00696053	0.00606347	0.0062899	0.0113599	0.0125042	0.0128305	0.0132567	0.0193145	0.0249232	0.0453179	0.052197	0.0836698	0.115081	0.09158	0.103033	0.102615	0.0988013	0.158635
avec	0.0153213	0.0145138	0.0166054	0.00656945	0.00703494	0.0097845	0.0192764	0.0216014	0.0266109	0.0373102	0.0465758	0.0343046	0.0320535	0.0274097	0.0457942	0.0609063	0.0673885	0.0908044	0.0986979	0.134	0.187437
le	0.0196755	0.0236114	0.0169139	0.01531	0.0261605	0.0365351	0.0273849	0.0354664	0.0380784	0.0355335	0.0359929	0.0351564	0.0421256	0.0297141	0.0273693	0.0375473	0.0704249	0.06546	0.106981	0.0947064	0.179853
fil	0.0155392	0.0130096	0.0137373	0.0148464	0.0173141	0.0169876	0.0157048	0.0166787	0.00943588	0.0115436	0.0280727	0.0211326	0.0384296	0.0470091	0.0583428	0.07964	0.0968019	0.0849614	0.092891	0.0801756	0.227746
de	0.0151555	0.0134245	0.0271285	0.0298872	0.0356676	0.0300149	0.0259467	0.032776	0.0158822	0.0171198	0.020696	0.0157498	0.0334564	0.0260573	0.0242746	0.0426293	0.0995734	0.0786837	0.111224	0.115332	0.189321
fer	0.0234902	0.0228488	0.0274393	0.0354252	0.0498798	0.0489726	0.0525537	0.0383494	0.0204098	0.0182031	0.018264	0.0143009	0.0202635	0.0218282	0.0229605	0.0275871	0.0587145	0.0777826	0.100298	0.127048	0.173381
</S>	0.0195188	0.0208958	0.0189813	0.0249518	0.0468483	0.0450408	0.0563831	0.041969	0.0327356	0.0321557	0.0237347	0.0180549	0.0293416	0.0213015	0.0194609	0.0252533	0.058745	0.0689752	0.102692	0.120078	0.172883
