 	b	á	n	g	á	í	d	í	i	k	í	ε	έ	</S>
il	0.0322667	0.0626303	0.0482422	0.0309342	0.0487702	0.0269289	0.0495554	0.0341139	0.0475636	0.100501	0.154754	0.162864	0.140715	0.0601599
n	0.254924	0.165553	0.167824	0.15659	0.0709191	0.0186043	0.0320689	0.0240063	0.0134601	0.0164069	0.0100972	0.0150408	0.0172217	0.0372828
'	0.220475	0.118881	0.0998025	0.0694996	0.0236396	0.0181703	0.0488455	0.039249	0.0415995	0.042151	0.0374349	0.0404069	0.0566752	0.14317
y	0.2237	0.174511	0.135379	0.0688557	0.0375543	0.0205956	0.0188929	0.0269605	0.0419897	0.0718833	0.0263245	0.0333465	0.0396758	0.0803309
en	0.284967	0.0845124	0.0574693	0.0499068	0.0410289	0.0298619	0.0224321	0.0221994	0.0425557	0.0369616	0.0423906	0.0470618	0.0567627	0.181889
a	0.360074	0.188235	0.115918	0.107888	0.0555907	0.0239165	0.0186132	0.0199436	0.0123604	0.0145907	0.0098596	0.0128226	0.0167412	0.0434472
pas	0.25048	0.0822195	0.0783096	0.07849	0.0404092	0.0286032	0.0241556	0.0213625	0.0232126	0.045029	0.0444445	0.0561502	0.0600354	0.167098
assez	0.0678791	0.055964	0.0659619	0.0466475	0.0537619	0.0217304	0.024738	0.0164003	0.0113831	0.0417933	0.0456861	0.0497758	0.11508	0.383199
pour	0.157237	0.0482248	0.0590188	0.0441811	0.0558681	0.0247655	0.0207332	0.0196433	0.0280673	0.0359119	0.0604661	0.122934	0.147811	0.175138
moi	0.278575	0.110603	0.112771	0.0769606	0.0517141	0.0346812	0.0216373	0.0185164	0.0169843	0.0264103	0.0463638	0.0534617	0.0808285	0.0704926
</S>	0.290451	0.100822	0.124206	0.0949847	0.0429491	0.0460453	0.0489059	0.0274867	0.0201442	0.0211156	0.0352917	0.0298876	0.0590452	0.0586646
