 	a	d	i	í	o	k	y	á	e	b	v	é	b	v	e	é	ó	b	o	s	ó	b	á	b	o	l	a	k	a	á	</S>
on	0.304723	0.221626	0.0476138	0.0170296	0.0115659	0.0188916	0.0226636	0.0269153	0.0258193	0.0280698	0.0262943	0.0281677	0.0307469	0.0169793	0.0132603	0.00531605	0.00392911	0.00451444	0.00462856	0.00507719	0.00564211	0.00739552	0.00727964	0.0167087	0.00990629	0.0143782	0.0185927	0.0187495	0.012175	0.0153791	0.0099613
ne	0.0674464	0.0943017	0.0901176	0.0695037	0.0480201	0.040811	0.0445172	0.0600911	0.072844	0.0664937	0.0550373	0.0370249	0.0350332	0.0414412	0.0420273	0.0214189	0.0210065	0.0166986	0.0137789	0.00543184	0.0104243	0.0031069	0.00186305	0.00274344	0.00314928	0.00588329	0.005769	0.00895691	0.00518822	0.00453576	0.00533476
se	0.039203	0.0327501	0.0619469	0.0884414	0.0505155	0.0444572	0.0412069	0.0535936	0.0560418	0.0577569	0.0429673	0.0380545	0.0492258	0.0369645	0.0360126	0.0473384	0.0365691	0.0342077	0.0428314	0.017521	0.0132439	0.00853057	0.00709081	0.00751913	0.00614958	0.00692906	0.00694085	0.00756959	0.00819498	0.00806691	0.0121591
courbe	0.0631662	0.0557613	0.0408847	0.0264778	0.0296546	0.023896	0.0257958	0.0273058	0.0320534	0.0315165	0.0417318	0.0442399	0.0468538	0.038222	0.0554784	0.0527983	0.0578022	0.0537864	0.0899535	0.0465994	0.0378775	0.0264893	0.0147268	0.00912544	0.00503715	0.00356204	0.00280782	0.00171903	0.00199098	0.00406924	0.00861693
pas	0.00788149	0.00975064	0.0177631	0.0196811	0.0157817	0.0153856	0.0150454	0.0121083	0.0143485	0.0173756	0.0194962	0.0111268	0.0111484	0.0117532	0.0388943	0.0405739	0.0792832	0.0862413	0.091797	0.0885521	0.0598293	0.0471407	0.0372591	0.0284332	0.0260446	0.0284361	0.038553	0.0265212	0.034473	0.0254332	0.0238888
avec	0.0168876	0.0166367	0.0117823	0.0163667	0.0296297	0.0330814	0.0348939	0.0407787	0.037715	0.0381359	0.0324618	0.0280952	0.0256409	0.00862568	0.0114443	0.0153047	0.0178764	0.0307966	0.0341096	0.0458034	0.0608974	0.0486689	0.0417881	0.0463874	0.0323328	0.0366336	0.0329339	0.0275017	0.0284421	0.0478272	0.0705204
la	0.0254357	0.0186257	0.0195233	0.0199201	0.0205729	0.0200586	0.0221023	0.0270475	0.0188145	0.0154706	0.0124828	0.0121989	0.0129562	0.0175855	0.0238828	0.0366547	0.040696	0.05207	0.0628286	0.0518737	0.0684185	0.0320847	0.0243647	0.0184639	0.0234446	0.0344428	0.0406801	0.0436897	0.0496922	0.0552951	0.0786234
tête	0.0353011	0.0411766	0.0345083	0.0429327	0.0376487	0.023473	0.0162271	0.0173769	0.0132137	0.0126877	0.0107078	0.0130686	0.0206178	0.0283844	0.033258	0.0556081	0.0504794	0.0424489	0.0343309	0.0272744	0.0257955	0.00807277	0.00726017	0.0105191	0.0156639	0.0221257	0.0335451	0.0280853	0.0316868	0.084021	0.142501
dans	0.0308204	0.0336106	0.0176645	0.0178784	0.0132157	0.00905672	0.00970669	0.0111827	0.0124367	0.012144	0.00972409	0.0143721	0.0221612	0.0329955	0.0197522	0.0412979	0.0467126	0.051477	0.0544095	0.0530178	0.0440218	0.0364092	0.0377847	0.0416033	0.0400524	0.0339625	0.0387632	0.0324072	0.0356621	0.0496034	0.096094
les	0.0406864	0.037086	0.0340438	0.0272107	0.0188606	0.0119452	0.0140059	0.0166573	0.0141501	0.0114941	0.00882399	0.00996214	0.0101531	0.0125214	0.0123669	0.0180747	0.0246872	0.0245359	0.0271991	0.0320297	0.0392008	0.0323774	0.0330922	0.0338406	0.0378051	0.048561	0.0617538	0.054144	0.0607747	0.0559059	0.13605
