 	a	m	b	ω	r	i	á	y	a	á	o	k	á	m	b	á	s	á	m	ú	b	h	u	s	á	n	d	é	e	</S>
les	0.0570951	0.031792	0.0173611	0.0134409	0.028011	0.0479549	0.0541164	0.0461992	0.0946845	0.0943352	0.166837	0.0594388	0.048011	0.0235812	0.0223743	0.00890483	0.0113281	0.0101083	0.0143751	0.00971803	0.0173486	0.011106	0.0111897	0.0132599	0.0135479	0.0142123	0.0148481	0.0163467	0.0142129	0.0142612
soldats	0.0480704	0.0696904	0.103404	0.160453	0.0958632	0.0788033	0.0459026	0.023029	0.0252361	0.070434	0.0330957	0.024883	0.0192368	0.00766531	0.00445832	0.00334012	0.00563819	0.00716994	0.0151429	0.0158161	0.0133587	0.0173208	0.0106907	0.025899	0.0319542	0.0124398	0.00963828	0.00666538	0.00777347	0.00692758
étaient	0.0787393	0.0383721	0.0376162	0.0412047	0.0546326	0.0626326	0.0568153	0.0449111	0.0468472	0.0782399	0.0332284	0.0315854	0.0412455	0.0504354	0.047654	0.0208071	0.0265559	0.0157194	0.0287218	0.0168099	0.020158	0.0149568	0.0122997	0.0168166	0.0144187	0.0125434	0.0129933	0.011589	0.0160247	0.0154261
venus	0.0362914	0.0420784	0.0454368	0.0490718	0.0588957	0.0535132	0.0564665	0.0490777	0.0672493	0.0449488	0.0185278	0.0163596	0.00717743	0.00683414	0.0110791	0.0132448	0.0258111	0.0271638	0.039034	0.018882	0.0293955	0.0224805	0.0247557	0.0266589	0.0344689	0.0250669	0.0227089	0.0315869	0.0491642	0.0465703
surprendre	0.0445926	0.0462524	0.0434258	0.0464542	0.0468578	0.0469843	0.044703	0.047085	0.0509681	0.0477595	0.0270538	0.0256395	0.0119717	0.00927888	0.0122942	0.016342	0.0196925	0.0169676	0.0144613	0.0190397	0.0141179	0.0175692	0.0204324	0.0300769	0.0258712	0.0309974	0.0300147	0.039209	0.0515418	0.102346
le	0.0354394	0.0343129	0.0326194	0.0336277	0.0332775	0.0325833	0.0317239	0.0357729	0.0404368	0.0360021	0.0380078	0.0318355	0.0212186	0.0204104	0.0196182	0.0149229	0.0133497	0.0239689	0.0292763	0.0371621	0.0377118	0.0467908	0.039603	0.0328784	0.0342083	0.0464048	0.0442392	0.0343872	0.0277519	0.0604584
voleur	0.0197378	0.0174791	0.0151229	0.0149976	0.0139903	0.0135692	0.0140273	0.0238058	0.0258696	0.0169496	0.0178167	0.0178632	0.0197019	0.0286758	0.0282032	0.0345542	0.0352509	0.030557	0.0350733	0.0610748	0.040986	0.0516412	0.0635969	0.052405	0.043319	0.0433115	0.0459268	0.0522193	0.0474927	0.074781
dans	0.0119111	0.0125367	0.0145932	0.013814	0.0139889	0.0197883	0.0251909	0.0292035	0.0344289	0.0295506	0.0256305	0.0214045	0.0160956	0.0165141	0.0137837	0.0206256	0.0184521	0.0178396	0.0175071	0.0401767	0.0268824	0.0410616	0.0617296	0.061157	0.0470677	0.0482415	0.0548184	0.0604783	0.0553285	0.130199
la	0.020691	0.023314	0.0243992	0.025626	0.0286572	0.0316754	0.0238896	0.00832294	0.0169022	0.0113404	0.00990297	0.00840788	0.00659195	0.0112697	0.0148391	0.019634	0.0204282	0.0168343	0.0156248	0.0258006	0.0181102	0.0233543	0.0404516	0.0416452	0.0436753	0.0660512	0.0782637	0.102222	0.100353	0.121722
maison	0.0119395	0.011655	0.0107402	0.00867526	0.00630245	0.00548275	0.00351452	0.00246313	0.00391166	0.00334391	0.00340784	0.00301316	0.00251496	0.00319401	0.00356535	0.00498992	0.00908957	0.0103044	0.00634246	0.0181034	0.0160283	0.02421	0.0531373	0.0468105	0.0547978	0.0903833	0.116289	0.142677	0.153538	0.169576
</S>	0.0202111	0.0223664	0.0224051	0.0201414	0.0191893	0.0189502	0.014663	0.00633689	0.0115658	0.00754582	0.0079368	0.00618406	0.0077548	0.0123476	0.0157078	0.0210659	0.0215316	0.0239331	0.0182974	0.0435009	0.0262003	0.0355346	0.0311715	0.0415057	0.032765	0.06141	0.0897618	0.0945413	0.113579	0.131896
