 	e	p	f	u	b	h	á	é	m	i	t	y	έ	έ	s	έ	m	w	a	n	d	z	á	m	á	n	d	é	e	y	á	l	e	k	ώ	ώ	l	i	</S>
la	0.00990117	0.0152993	0.0147053	0.0135166	0.0161534	0.0218163	0.0312004	0.0207955	0.0221366	0.0355748	0.0414925	0.0390387	0.0464259	0.0424516	0.0360386	0.0242604	0.0252719	0.01518	0.0125056	0.0219366	0.0150718	0.0202621	0.011158	0.0148581	0.0187421	0.0242332	0.0363109	0.0291355	0.0348369	0.0275193	0.0293402	0.0351224	0.0311419	0.0278301	0.0293953	0.0322019	0.0266488	0.0256021	0.0248884
tempête	0.010075	0.0288457	0.0563487	0.0459387	0.0528015	0.0505741	0.0424282	0.141205	0.202767	0.127957	0.070591	0.0389883	0.02262	0.0121194	0.0057607	0.0142904	0.0127942	0.0136545	0.00555245	0.00573078	0.00389221	0.0020427	0.00156573	0.000810145	0.000729414	0.000513338	0.000359885	0.000682179	0.00162235	0.00183332	0.00227691	0.0049578	0.00418083	0.00359875	0.00553839	0.00266141	0.00083178	0.000406677	0.000454221
a	0.0254915	0.0195093	0.0184328	0.0186535	0.0285295	0.0468151	0.0656408	0.0441541	0.0329313	0.0245157	0.0284078	0.0207808	0.0274335	0.0283849	0.0320163	0.0360225	0.0194557	0.0101783	0.0235651	0.0897513	0.0616773	0.0350396	0.047277	0.0237162	0.0275614	0.021238	0.0151543	0.0274995	0.0194349	0.0132212	0.0137902	0.0133352	0.0121624	0.0083322	0.00749465	0.00363116	0.00245486	0.00172959	0.00458064
emporté	0.0346357	0.0385223	0.037592	0.0481994	0.053458	0.045737	0.0229249	0.0210827	0.0147995	0.0208568	0.0269917	0.0214469	0.0300674	0.0282265	0.0294015	0.0307974	0.0300783	0.0485142	0.0346876	0.0429121	0.0543478	0.0621752	0.0673646	0.0368913	0.0251654	0.0152025	0.00473697	0.00480042	0.00581153	0.00418313	0.00419074	0.00248093	0.00256101	0.00273135	0.00300045	0.00421104	0.0043382	0.00503037	0.0298452
le	0.0325376	0.0212446	0.0180676	0.0188395	0.019971	0.0212236	0.0185535	0.0204857	0.0171073	0.0144398	0.0158619	0.0118997	0.0137951	0.0151846	0.0188262	0.0140582	0.0111072	0.0178342	0.0419055	0.044997	0.0436517	0.0358559	0.0478498	0.0377952	0.0464351	0.0343985	0.0252584	0.027843	0.0202974	0.0202897	0.0209682	0.0167771	0.0229376	0.0207013	0.0297126	0.0282102	0.020899	0.028405	0.0637745
toit	0.00967027	0.0145247	0.014849	0.0133243	0.015159	0.0216512	0.0226068	0.0516181	0.0382446	0.025958	0.0262125	0.026813	0.0382342	0.0513041	0.0486095	0.0398853	0.0538148	0.0370129	0.0116789	0.0114453	0.0145501	0.0175504	0.0162638	0.0164425	0.0102887	0.0085097	0.0105372	0.0118559	0.0209109	0.0212129	0.0224899	0.0260798	0.0393003	0.0364676	0.0315886	0.0298442	0.0299694	0.0191677	0.044354
de	0.0475258	0.0271546	0.0197039	0.0202104	0.0194235	0.0279759	0.0258453	0.0319837	0.0248301	0.0254709	0.0308674	0.0323055	0.0406428	0.0440978	0.0479135	0.0411784	0.0462353	0.0230289	0.0155577	0.0124505	0.0190929	0.0318757	0.0262445	0.0372193	0.0116242	0.0087753	0.00541823	0.00780129	0.0293508	0.0164386	0.0171379	0.0135179	0.0161096	0.0157129	0.0160743	0.019421	0.0141456	0.0223611	0.0672767
l'	0.0481286	0.0340725	0.0266391	0.0290338	0.0282596	0.0273803	0.024417	0.0199515	0.0174049	0.0195777	0.0187694	0.0180146	0.0174759	0.0148866	0.0123683	0.0122167	0.0199814	0.0169231	0.0105467	0.0100697	0.0148144	0.0166359	0.0249574	0.0308518	0.0298759	0.0277764	0.0264346	0.0345475	0.0244245	0.0239764	0.0233723	0.0198784	0.0143095	0.0153803	0.0213268	0.0391378	0.0482203	0.0576853	0.0802772
école	0.0809389	0.0647285	0.0452354	0.0286559	0.0118877	0.00733157	0.00527281	0.0062872	0.0061907	0.00613032	0.00650766	0.00849293	0.0107002	0.014001	0.0108334	0.0149281	0.0188398	0.0288702	0.0171908	0.0141514	0.0145195	0.0156283	0.0146236	0.0546068	0.0232336	0.0148175	0.0164656	0.0159434	0.0372073	0.0279062	0.0158574	0.0178543	0.0157053	0.014785	0.0142938	0.0360666	0.0219828	0.0852962	0.136032
</S>	0.0683023	0.0285847	0.0203576	0.0220198	0.0188731	0.0192466	0.018503	0.0191886	0.0195949	0.0211455	0.0203764	0.0190548	0.0193302	0.0215305	0.0173998	0.0156721	0.021226	0.0151392	0.0145325	0.0213231	0.0282774	0.0375142	0.0458244	0.0541075	0.0369102	0.0367945	0.0246857	0.0364366	0.0317961	0.0186269	0.019622	0.0148947	0.00955897	0.0109989	0.0120118	0.0174402	0.0165842	0.0287737	0.0777414
