 	b	á	n	a	b	á	n	d	z	é	s	i	á	d	z	e	b	á	a	y	έ	l	έ	e	p	a	n	d	z	o	y	a	n	d	w	ε	n	g	ε	ó	d	z	a	n	g	é	</S>
de	0.0485763	0.0517844	0.06522	0.0507949	0.0136441	0.0402115	0.0237959	0.0243825	0.0174814	0.0148869	0.0171121	0.0234146	0.0348043	0.0685863	0.0568304	0.05045	0.0334922	0.0296646	0.0092805	0.00963004	0.00908536	0.0073363	0.00797661	0.00585083	0.00499435	0.00706899	0.00719789	0.00928754	0.00995465	0.0093938	0.00906915	0.00782601	0.0107249	0.0118277	0.0142823	0.0150565	0.0147653	0.0274017	0.0137587	0.0134247	0.0143078	0.0120784	0.0100203	0.0130662	0.0152577	0.0192383	0.0157053
petits	0.0320676	0.0428153	0.0421894	0.0495419	0.0414589	0.0577237	0.0513894	0.0459168	0.0327059	0.0508522	0.0301144	0.0195879	0.0220512	0.02137	0.0123585	0.011721	0.0135192	0.0129315	0.0199353	0.0117812	0.00970552	0.0167024	0.0164738	0.0320802	0.0248305	0.0192861	0.0318358	0.0250927	0.0252137	0.0158051	0.0138689	0.0131398	0.00829029	0.0120358	0.00870242	0.00861604	0.00555483	0.00899349	0.0137038	0.01091	0.00916432	0.00770462	0.00716471	0.00630977	0.00531751	0.00789809	0.0135684
enfants	0.0453629	0.0438294	0.0478946	0.0589478	0.0562897	0.0716096	0.0544753	0.0454138	0.0419722	0.0489537	0.0381297	0.0244666	0.022576	0.0259357	0.0146819	0.0140799	0.0134603	0.00713132	0.00896757	0.00263403	0.00671049	0.0121348	0.0124611	0.0113938	0.0136921	0.014548	0.0128889	0.0191077	0.0154892	0.0283182	0.0194612	0.0175895	0.00700808	0.0114876	0.00998302	0.00674593	0.00577091	0.00538562	0.010636	0.0117931	0.0100705	0.00932968	0.00765829	0.00714832	0.00512348	0.00841026	0.0128423
acclamaient	0.0179949	0.0201618	0.0227519	0.0300446	0.0227159	0.0168558	0.0214741	0.0189578	0.0180831	0.0178267	0.0155936	0.0157995	0.0217427	0.0146992	0.0157144	0.0157584	0.0133493	0.0126359	0.020808	0.0125212	0.0111652	0.0123366	0.0143835	0.0166244	0.0206159	0.0191488	0.0193633	0.0199518	0.0220819	0.0203303	0.0200773	0.0226909	0.0223326	0.0286733	0.0188427	0.0316333	0.0286489	0.0321781	0.0420407	0.0456103	0.0291799	0.0368933	0.0278742	0.0208872	0.0116081	0.011661	0.0276777
le	0.0326173	0.0143306	0.0235419	0.0177346	0.0176751	0.0184619	0.0277184	0.024259	0.0295756	0.0235428	0.022218	0.0337709	0.0354494	0.0304296	0.027849	0.0308937	0.02597	0.0254848	0.0346851	0.0370846	0.0336403	0.0314929	0.0325333	0.0276183	0.025187	0.0193851	0.0201383	0.016057	0.0211662	0.0181182	0.0186002	0.0126949	0.00625387	0.0059963	0.010125	0.00782616	0.00619741	0.00429681	0.00862408	0.00754638	0.00938356	0.0101918	0.0108108	0.0168274	0.0179086	0.0235359	0.0445522
grand	0.0257673	0.0121848	0.0173416	0.0135217	0.0084978	0.0189428	0.0249857	0.0306909	0.0306964	0.0251355	0.0210627	0.0379133	0.0268522	0.0189925	0.0202466	0.0301745	0.0177041	0.0179435	0.0126549	0.0199397	0.0317251	0.0298459	0.0424004	0.0104093	0.00803105	0.0227616	0.0128818	0.0142771	0.0244284	0.0167634	0.0270452	0.0128954	0.0115873	0.015487	0.0104177	0.0142792	0.0122668	0.016344	0.0320143	0.0292383	0.0320291	0.0337621	0.0321409	0.0255191	0.0139021	0.0138748	0.0224242
vol	0.0319856	0.0218833	0.0335807	0.0225132	0.0144267	0.0289897	0.0359426	0.0347776	0.0369794	0.0283799	0.0217972	0.043225	0.0399637	0.0259506	0.0226605	0.0247642	0.019702	0.0196297	0.0172854	0.0247195	0.0404382	0.0450578	0.0496264	0.0212376	0.014649	0.0265652	0.0207868	0.0202039	0.0281313	0.0133556	0.0226036	0.00809955	0.00720464	0.0115606	0.0044958	0.00759796	0.00374291	0.00653011	0.0140047	0.0151629	0.0114661	0.0153837	0.0102679	0.01212	0.0036035	0.00510717	0.0118408
de	0.0283395	0.0246725	0.030045	0.0250816	0.0263072	0.0398472	0.0611921	0.0413782	0.0463503	0.0331415	0.0225062	0.0278483	0.0372438	0.0237964	0.0208917	0.0329307	0.0233263	0.0262149	0.0371965	0.0370428	0.0300365	0.0377744	0.0238523	0.0371789	0.0262595	0.0152416	0.0170982	0.0205303	0.0171505	0.0147203	0.0144052	0.0105235	0.0120093	0.00908334	0.00705531	0.00630253	0.00467843	0.00540129	0.00446332	0.00360366	0.00304041	0.00422767	0.00382147	0.00491913	0.00537637	0.00603005	0.00986337
termites	0.0231277	0.0110868	0.0141061	0.0166544	0.0169037	0.0173976	0.0202738	0.0165574	0.0142117	0.0115815	0.00922818	0.0104152	0.0129097	0.00941026	0.0076943	0.00779462	0.00746013	0.00813898	0.0121785	0.0172107	0.02515	0.0319124	0.0259711	0.0331461	0.0300997	0.0146261	0.0211274	0.0220001	0.0193716	0.0191113	0.0220421	0.0205835	0.0199969	0.0129018	0.0281802	0.024112	0.0179498	0.0230026	0.0181022	0.0181979	0.0172579	0.0248882	0.0286017	0.0416145	0.0475653	0.0554879	0.0726585
dans	0.0270935	0.0130192	0.011781	0.0120641	0.012644	0.0141163	0.0142173	0.0101792	0.0100805	0.00907406	0.0089658	0.0100694	0.0109527	0.00945238	0.00933298	0.00998702	0.0105247	0.0148734	0.0216424	0.0285714	0.0281362	0.0287152	0.0241165	0.0281304	0.0256389	0.0148022	0.0189307	0.0187559	0.0180605	0.0174698	0.0192253	0.0191911	0.0182223	0.0181355	0.0308833	0.0262458	0.0264668	0.0276844	0.0212943	0.0215716	0.0201315	0.0258773	0.0272921	0.035455	0.0450372	0.0510122	0.0748766
