 	i	p	i	a	í	m	i	y	a	á	w	a	m	ó	l	e	k	í	n	g	ε	</S>
un	0.130694	0.0454215	0.0142098	0.0120282	0.0144518	0.0141687	0.0136117	0.0213428	0.0399098	0.167221	0.129793	0.0939928	0.0710651	0.0557986	0.0464142	0.0367727	0.0272613	0.011691	0.0158544	0.0154991	0.0106728	0.0121263
furoncle	0.0805679	0.141032	0.193915	0.160799	0.132551	0.10029	0.0816149	0.0574271	0.0298454	0.00357103	0.0032069	0.000377683	0.00236255	0.00171651	0.0014755	0.00186164	0.00130743	0.00151542	0.0015563	0.00119354	0.00111338	0.000699601
lui	0.0635621	0.0548991	0.0458631	0.0294689	0.0246489	0.0240605	0.0339595	0.0259838	0.0349594	0.0750858	0.123669	0.117083	0.0411031	0.0373317	0.0475554	0.0613659	0.0349444	0.0309092	0.0225352	0.0276272	0.01925	0.0241351
est	0.0442945	0.0472504	0.0466565	0.0416266	0.0420012	0.0453587	0.0843331	0.0398308	0.0270511	0.0319038	0.0481153	0.0998418	0.0305214	0.0536713	0.0460751	0.0359994	0.0458647	0.0346325	0.0350389	0.0365634	0.0217471	0.0616223
apparu	0.00606228	0.0101879	0.0199578	0.0271419	0.023834	0.0277488	0.032826	0.0393636	0.0318401	0.0315072	0.0479565	0.0783999	0.0588044	0.0640467	0.068269	0.0635724	0.0621518	0.0614534	0.0664224	0.0630729	0.055397	0.0599838
entre	0.0182712	0.0229721	0.0281739	0.0375284	0.0322203	0.0459365	0.0632994	0.0673895	0.0449235	0.0338356	0.0132554	0.0179607	0.020196	0.0268809	0.0292227	0.0347579	0.0496436	0.0672125	0.0755646	0.0681756	0.0700401	0.13254
l'	0.0345608	0.0432118	0.0353523	0.0482056	0.0347495	0.0468729	0.0452446	0.0604646	0.0359538	0.025581	0.0142102	0.026459	0.0338586	0.0460195	0.0488719	0.0579984	0.065724	0.0561697	0.0941166	0.0417071	0.0293727	0.0752956
anus	0.0235395	0.0216592	0.0315158	0.0344395	0.0357424	0.0387945	0.0373724	0.0406788	0.0406061	0.0329172	0.0542154	0.0747189	0.0491896	0.0551641	0.0220817	0.0641507	0.0557707	0.0354774	0.0589117	0.0569844	0.0341626	0.101908
et	0.0474196	0.0398873	0.0345046	0.0247095	0.0209026	0.0219759	0.0232737	0.024021	0.0229899	0.0207648	0.0121517	0.0454291	0.0256617	0.0435975	0.0255834	0.031108	0.0391659	0.0531115	0.0497314	0.0663534	0.0744381	0.25322
le	0.026911	0.0258998	0.0227895	0.021618	0.0124479	0.009428	0.0102574	0.00728702	0.00644189	0.0043659	0.00663175	0.0120802	0.0306969	0.0572784	0.0592309	0.0643744	0.0728033	0.0940073	0.109978	0.103034	0.104662	0.137777
sexe	0.040152	0.047296	0.0523969	0.0461538	0.0217237	0.0161826	0.0212244	0.0105048	0.00757927	0.00910948	0.0103206	0.0368875	0.0404613	0.0673343	0.0575175	0.0672603	0.0607098	0.0436375	0.0848666	0.0774718	0.0755706	0.105639
</S>	0.0316206	0.0345116	0.0333688	0.0244363	0.0146373	0.0104356	0.0117302	0.00789391	0.0107496	0.00485158	0.00780068	0.0157751	0.0220791	0.0670815	0.0705903	0.077336	0.0926308	0.0874917	0.0847699	0.0954937	0.0888994	0.105816
