 	o	y	ú	r	u	w	ó	b	ó	l	á	a	p	ó	s	á	i	k	ώ	ώ	</S>
cette	0.0139456	0.0147949	0.0199791	0.0133462	0.00766831	0.00647803	0.00849408	0.0167879	0.0387441	0.131928	0.122708	0.0871386	0.0631357	0.0348676	0.0525125	0.0648066	0.0591769	0.0414688	0.061496	0.0632332	0.0772897
femme	0.224958	0.138689	0.34169	0.174852	0.0584144	0.00898893	0.0197183	0.0119947	0.00448605	0.0022688	0.00118052	0.00152091	0.00200729	0.00120725	0.002072	0.00293202	0.00168132	0.000727726	0.000419485	0.000137773	5.34776e-05
est	0.024188	0.0187947	0.0155626	0.0188317	0.0649927	0.124232	0.180891	0.146289	0.152588	0.0744263	0.0428449	0.0366854	0.0162873	0.0202	0.0164531	0.0123182	0.00699455	0.00508134	0.00618952	0.00789766	0.0082527
en	0.0580246	0.070007	0.0453273	0.0499473	0.038054	0.0392374	0.0327026	0.0182038	0.0121859	0.0221239	0.0414322	0.0525151	0.0534385	0.0521464	0.0570588	0.0569812	0.0561551	0.0556394	0.0566131	0.0608663	0.0713402
train	0.093552	0.0814206	0.0711894	0.0579227	0.0164669	0.00747548	0.00973384	0.00955815	0.00458328	0.00838899	0.0264897	0.0487624	0.0633404	0.0461487	0.0576401	0.0646246	0.05705	0.0838231	0.084018	0.0578153	0.0499963
d'	0.0639836	0.0356776	0.0185574	0.0201052	0.0325748	0.00903865	0.00598791	0.00516526	0.00847756	0.0115128	0.00746497	0.0105823	0.0130534	0.0106895	0.0108762	0.0179494	0.028466	0.0378513	0.0492257	0.0900369	0.512723
éplucher	0.0263025	0.0219806	0.028829	0.049193	0.0638245	0.0492323	0.0764463	0.0780123	0.070075	0.116676	0.0746056	0.0338996	0.0397431	0.0401493	0.0514051	0.0316063	0.0298557	0.026526	0.0223662	0.0237334	0.045538
les	0.133731	0.138313	0.0736408	0.0721301	0.0716021	0.0519524	0.0340406	0.0349121	0.0302256	0.039974	0.0411372	0.0266582	0.0187619	0.0223529	0.0210082	0.0179296	0.017903	0.0241608	0.0275245	0.0354665	0.0665749
tubercules	0.0779399	0.0526079	0.0317423	0.0337648	0.0310495	0.0185614	0.0129641	0.00854572	0.00802991	0.020715	0.0257338	0.0269232	0.0406343	0.0466148	0.0709639	0.0681571	0.0749322	0.0812563	0.0868864	0.0879991	0.0939784
de	0.212971	0.211225	0.108916	0.0831431	0.0114615	0.0335558	0.0148783	0.0130617	0.0102833	0.00871935	0.0100392	0.018026	0.020482	0.0270173	0.0291648	0.0229439	0.0222657	0.0248162	0.03411	0.038154	0.0447658
manioc	0.106435	0.0869966	0.0332964	0.0220758	0.0127411	0.0100388	0.00850074	0.00687467	0.0054886	0.00708638	0.00886765	0.0177034	0.028968	0.0367305	0.0449006	0.0528413	0.0612427	0.0724918	0.096113	0.11604	0.164567
</S>	0.191439	0.131712	0.0512075	0.0323597	0.0224601	0.00908891	0.00759598	0.00655652	0.0051027	0.00841173	0.0116006	0.0200232	0.0248054	0.0352017	0.0327671	0.0431356	0.0516597	0.0583841	0.0624978	0.0827544	0.111237
