 	m	w	á	n	a	w	o	á	m	i	p	a	s	á	o	k	á	n	d	á	m	í	b	á	á	</S>
cet	0.00953242	0.0193057	0.00907949	0.0140962	0.00506789	0.00470296	0.00684735	0.00661949	0.0160242	0.0203949	0.0273901	0.0376253	0.0447525	0.0455616	0.0610216	0.0709191	0.0645645	0.0574021	0.0581111	0.051482	0.0610302	0.0542357	0.0690921	0.0789642	0.0642627	0.0419146
enfant	0.0628588	0.0972408	0.02229	0.0587999	0.137935	0.0680269	0.197542	0.15254	0.0775348	0.0287941	0.0213792	0.00926522	0.00355162	0.00437114	0.00760463	0.00892318	0.0102168	0.00476136	0.00824274	0.00293326	0.00536738	0.00246818	0.0017254	0.00402105	0.00125195	0.000353999
a	0.0162828	0.0381915	0.0250751	0.0344348	0.045708	0.0723723	0.0364388	0.0374979	0.0378009	0.0435375	0.0509299	0.0577538	0.057845	0.113955	0.0618788	0.0671826	0.0373046	0.0477323	0.0224109	0.019992	0.0148431	0.00800083	0.0104109	0.0157938	0.0132901	0.0133363
déchiré	0.0231595	0.0193103	0.0239995	0.0192767	0.00740198	0.00869364	0.00752883	0.010135	0.011031	0.0309859	0.0166984	0.0139679	0.0148736	0.0201568	0.0215686	0.0382959	0.0421165	0.0539266	0.057776	0.0506905	0.114367	0.118245	0.0806117	0.0727222	0.066733	0.0557284
son	0.0587961	0.0399545	0.0395373	0.0427525	0.0349376	0.0241764	0.0201791	0.0164416	0.0230023	0.0275087	0.0359977	0.0324595	0.0499358	0.0578289	0.0375963	0.0342592	0.0313627	0.0383172	0.0429408	0.0430461	0.0366296	0.0514036	0.0318285	0.0238498	0.0409819	0.0842762
habit	0.0704079	0.0352415	0.0557925	0.040627	0.0284846	0.0197294	0.0274195	0.0183782	0.0296566	0.0279689	0.0287686	0.0269655	0.0283284	0.0508349	0.03295	0.0381187	0.0371742	0.0373163	0.0396202	0.0568208	0.0483466	0.0636483	0.0195397	0.0157465	0.041368	0.0807473
avec	0.0644062	0.0607383	0.0682431	0.0418445	0.0523332	0.0324511	0.0231183	0.0265486	0.0266961	0.030569	0.0439283	0.0396423	0.0627558	0.0644855	0.034016	0.0346674	0.0224244	0.0223866	0.017327	0.0163172	0.0200525	0.0371429	0.0245497	0.0121269	0.0315298	0.089699
le	0.0816851	0.0587541	0.0496988	0.0469142	0.0506524	0.040878	0.0364856	0.0195398	0.0205915	0.022229	0.026928	0.0212642	0.0328864	0.0420426	0.0244811	0.0205655	0.015759	0.0174544	0.0136393	0.0165686	0.0220959	0.0437992	0.0446458	0.0344404	0.0634998	0.132501
couteau	0.0822841	0.10789	0.101211	0.0615425	0.0409807	0.028196	0.0157967	0.01541	0.0181009	0.0204131	0.0389426	0.0362967	0.0747024	0.0354655	0.024072	0.0194257	0.00912148	0.0049513	0.00385898	0.00341446	0.00779639	0.00523911	0.00658695	0.0216168	0.0633168	0.153368
</S>	0.088784	0.0819915	0.0567423	0.060913	0.0553631	0.0603286	0.0257019	0.0404839	0.0265797	0.0311701	0.0418346	0.0339993	0.0349614	0.0552637	0.0267898	0.0194781	0.00869025	0.0106402	0.00945275	0.00880222	0.0149575	0.0183429	0.0291901	0.0165462	0.0382685	0.104724
