 	o	k	o	n	d	z	i	y	a	p	o	o	á	k	w	ε	r	i	l	e	b	a	o	w	á	r	e	b	á	n	a	b	á	n	d	z	é	s	i	á	d	í	o	b	v	ú	r	á	o	d	z	w	á	o	s	a	n	á	á	s	á	l	e	k	ώ	ώ	l	i	k	a	á	</S>
le	0.0101773	0.0100058	0.0109099	0.0101469	0.0118924	0.0109455	0.0163166	0.016	0.0210474	0.0274999	0.0228068	0.054666	0.0330476	0.0498917	0.0454777	0.0363944	0.0309483	0.0291277	0.0140229	0.0317194	0.0108627	0.0103983	0.0218035	0.00508863	0.00871755	0.012703	0.0141171	0.00851123	0.00965384	0.00624589	0.00358933	0.00967966	0.00799851	0.00853957	0.00649603	0.0060921	0.00481608	0.00477163	0.0055943	0.00461338	0.00439399	0.00586518	0.00678484	0.00693687	0.00745073	0.00548734	0.00524441	0.00561602	0.00488972	0.00599425	0.0053457	0.00539325	0.00638974	0.00575734	0.00627018	0.00468336	0.00687574	0.00793495	0.00592677	0.00894015	0.00619307	0.00578478	0.00647428	0.0111468	0.0127157	0.0189967	0.0269184	0.0304419	0.0233387	0.0255053	0.0271487	0.0198185
chef	0.0265138	0.0646284	0.119117	0.217275	0.0779796	0.049157	0.0368599	0.0481149	0.0467099	0.0464381	0.0660666	0.0343283	0.0173971	0.0192438	0.0443747	0.0171121	0.0256528	0.0072041	0.00326558	0.00160296	0.000751638	0.000742998	0.000349393	0.00188711	0.000866626	0.000831129	0.000363636	0.000212325	0.000339848	0.000175172	0.000161126	0.000160908	0.000168004	0.000183169	0.000120377	0.00021134	0.000126061	0.000119347	0.000187785	0.000134644	0.000101025	0.000148123	0.000140452	9.54806e-05	0.000128352	8.75234e-05	0.000111795	7.00996e-05	7.78196e-05	7.39403e-05	6.06027e-05	0.000111091	6.8412e-05	6.65349e-05	6.20874e-05	5.45451e-05	0.00013288	0.000138762	0.000161763	0.000372207	0.000383247	0.000487119	0.00144661	0.00260412	0.00361965	0.00639592	0.00117776	0.00069168	0.00136149	0.000812159	0.00100051	0.000622275
du	0.0626503	0.0843989	0.0408316	0.0366894	0.033922	0.014664	0.0121923	0.0131418	0.00969041	0.0106552	0.0212414	0.0168657	0.0311458	0.0358153	0.0516679	0.0469084	0.0390778	0.0481028	0.0702894	0.0478438	0.0188599	0.0216772	0.00757155	0.0134723	0.0126739	0.0109228	0.00831301	0.00465081	0.00474786	0.00401544	0.00262158	0.00585024	0.00468618	0.00304639	0.00308932	0.00458719	0.00349479	0.00255164	0.00256233	0.00275463	0.00271968	0.00351158	0.00294396	0.00334115	0.00323692	0.00272765	0.00289011	0.00216614	0.00236219	0.00211837	0.00207282	0.00223386	0.00213025	0.00314228	0.00212807	0.00209865	0.00266531	0.0027263	0.0020427	0.00240924	0.00161983	0.00253193	0.00253345	0.00587716	0.00639813	0.0134766	0.0191532	0.00786026	0.00759426	0.00397362	0.00545754	0.00191317
village	0.0235198	0.0319348	0.0270454	0.0306179	0.0318829	0.0403433	0.032289	0.0250894	0.0299223	0.0387609	0.0354359	0.0242277	0.0177932	0.0140136	0.0167291	0.0284555	0.0256521	0.0386807	0.0688308	0.0364791	0.0442295	0.0402732	0.0176969	0.0131935	0.0261803	0.0114643	0.00629688	0.00631372	0.00694845	0.00706138	0.00872681	0.00561134	0.00806801	0.00515597	0.00280982	0.00219141	0.00254309	0.00198234	0.00240562	0.00176463	0.00169073	0.00346868	0.00370321	0.00359447	0.00441549	0.00406301	0.00439696	0.00388383	0.00346539	0.00285397	0.00348735	0.00316802	0.00298644	0.0046484	0.00371465	0.00368297	0.00374212	0.00407314	0.00375184	0.00517825	0.00422926	0.00577633	0.00823726	0.00708871	0.00831853	0.00795215	0.00616691	0.00369366	0.00524355	0.00527939	0.00849619	0.0169284
a	0.00930168	0.00961505	0.00824087	0.0096769	0.0111124	0.0140089	0.0114147	0.00783552	0.00660764	0.00670592	0.00753857	0.0106967	0.01596	0.0154355	0.0181681	0.0228052	0.0183992	0.0352139	0.0626437	0.0264295	0.0632524	0.0568188	0.0142634	0.0335025	0.0332075	0.0376384	0.0124625	0.0231437	0.0155586	0.0186839	0.0270107	0.0141994	0.0158894	0.011744	0.00794734	0.00863178	0.0075185	0.00439498	0.00455388	0.00467818	0.00458288	0.00785056	0.00739067	0.00788776	0.00816545	0.0126424	0.00807542	0.00878227	0.00560693	0.00583092	0.00592531	0.00732222	0.00725862	0.0109603	0.0091198	0.00764166	0.00735203	0.00656769	0.00839724	0.00941001	0.00663202	0.0111689	0.00679714	0.0135403	0.00967606	0.00842422	0.0143705	0.0036619	0.00463962	0.0053143	0.00534524	0.0107495
établi	0.00508499	0.00971317	0.0129012	0.0155875	0.0159697	0.0168617	0.0173585	0.0160786	0.0146532	0.0146362	0.00986486	0.00960709	0.0170125	0.0142447	0.0226637	0.0278193	0.036394	0.0269387	0.0201294	0.0121468	0.0229838	0.0197011	0.0116639	0.0225689	0.0209556	0.025595	0.0199577	0.0140407	0.0242486	0.0100291	0.0161076	0.015278	0.010802	0.0125574	0.0143294	0.0181889	0.0104008	0.0088685	0.00945774	0.0137773	0.0097678	0.0176405	0.0144325	0.0126916	0.00910537	0.0109772	0.00961828	0.00995096	0.00768692	0.00814468	0.0076479	0.0114575	0.00903528	0.00804974	0.00924665	0.00597783	0.0111579	0.00761963	0.0109404	0.0152392	0.0123601	0.0138301	0.0179523	0.02067	0.0197492	0.0121628	0.00562595	0.00404611	0.00629793	0.00653637	0.00846637	0.00873719
une	0.0113599	0.0101738	0.0109217	0.0125053	0.0123471	0.0126138	0.0152212	0.0180815	0.0181906	0.015598	0.0109748	0.00697024	0.00439284	0.00481267	0.009636	0.0106546	0.0140789	0.00790457	0.00802162	0.0114901	0.00801171	0.00452754	0.0065469	0.00968331	0.00592974	0.0116123	0.0171041	0.0100264	0.0192494	0.00751012	0.0143463	0.0121225	0.00895615	0.0131693	0.0142443	0.0112639	0.0155863	0.0115191	0.00983166	0.0166764	0.0092526	0.0102661	0.0123695	0.0102593	0.0054482	0.0105795	0.00965984	0.0111543	0.00881218	0.0113538	0.00865405	0.0180591	0.0175501	0.00782267	0.0154407	0.00987017	0.0124658	0.0116078	0.0201008	0.0271844	0.0512991	0.0343666	0.0320455	0.0331266	0.0284226	0.0226581	0.00932258	0.011342	0.0149389	0.0144321	0.0193497	0.0269186
loi	0.0128227	0.0130697	0.0129892	0.0107085	0.00840178	0.00498752	0.00517088	0.00718198	0.00768166	0.00452457	0.00431572	0.00436332	0.00547611	0.0106071	0.0154881	0.0226178	0.0286836	0.0253176	0.0157177	0.0169175	0.0207427	0.0114961	0.0157588	0.0191803	0.0182375	0.0104068	0.0127824	0.00983443	0.0142244	0.0120498	0.011792	0.013602	0.0129962	0.014578	0.0121566	0.0122178	0.0153819	0.0136573	0.0150317	0.012991	0.0102331	0.00921463	0.0118887	0.00818954	0.0114257	0.0147107	0.0102522	0.0134701	0.009084	0.0110285	0.0122391	0.0135742	0.0131657	0.011043	0.0144713	0.0126143	0.0125744	0.0182694	0.0148992	0.0160661	0.0173544	0.015768	0.0193143	0.011293	0.0165721	0.0145694	0.0079748	0.00852891	0.0102465	0.0138608	0.0359326	0.0640106
selon	0.00858879	0.00648606	0.00491892	0.00364796	0.00264857	0.00273063	0.00225045	0.00396418	0.00426113	0.00233902	0.00176607	0.00193813	0.00195836	0.00154869	0.00262253	0.00774374	0.0102024	0.0095548	0.0137475	0.012691	0.0209682	0.00792239	0.014967	0.00892414	0.0126571	0.00984563	0.0105221	0.0145611	0.0142462	0.0136514	0.0171826	0.0157654	0.0158591	0.0181591	0.0166494	0.0171786	0.0232341	0.0193906	0.0207996	0.0179762	0.0188574	0.0210577	0.0232565	0.022995	0.0243539	0.0342183	0.0341889	0.0287481	0.0234308	0.0258325	0.0253812	0.0216772	0.0193374	0.0233814	0.026529	0.0248656	0.0194379	0.024872	0.0193747	0.0209925	0.0171273	0.0159453	0.0123747	0.00564959	0.00715233	0.0041567	0.00382796	0.00189413	0.00208014	0.00281565	0.00857043	0.0195489
laquelle	0.00913919	0.00985559	0.0101375	0.00999208	0.0077217	0.00943499	0.00797152	0.010807	0.00997728	0.00667308	0.00536377	0.00381968	0.0040739	0.00343163	0.00543381	0.00685574	0.0101072	0.0123513	0.0174316	0.00847471	0.0238076	0.013313	0.00894396	0.0107721	0.00963306	0.0125233	0.00880174	0.0155461	0.0103181	0.00864141	0.0150695	0.0131516	0.0101534	0.015235	0.0147986	0.0148827	0.0147535	0.0132751	0.0131301	0.0177023	0.0134285	0.0221053	0.0244293	0.0222398	0.0205565	0.0260335	0.0300713	0.0279646	0.0254278	0.0231768	0.0183863	0.0163124	0.0172399	0.0268319	0.0224769	0.0258799	0.0208942	0.0190542	0.0244514	0.0242207	0.0181064	0.0185729	0.0137813	0.00633769	0.00701564	0.00534197	0.00489453	0.00419538	0.00431716	0.00513265	0.0120315	0.0155864
