 	w	ó	m	á	l	á	a	p	ε	ε	n	g	á	b	ώ	m	ώ	t	s	í	n	a	w	a	a	d	í	l	e	b	v	ú	b	h	á	á	</S>
le	0.0370071	0.107676	0.0959262	0.0827815	0.0489357	0.0434127	0.0445655	0.0307462	0.0310876	0.0234496	0.0237087	0.0224172	0.0505244	0.0345555	0.0299329	0.0279786	0.0191639	0.0110436	0.0105709	0.00968702	0.00709437	0.00892547	0.00641965	0.00395494	0.00454443	0.00444635	0.0075501	0.010354	0.0208113	0.0190334	0.0198639	0.0198064	0.020424	0.0150118	0.0191618	0.0166601	0.0107676
ruisseau	0.0742865	0.0246419	0.020089	0.0291075	0.0195588	0.012953	0.0190286	0.0126928	0.0128849	0.00271339	0.00251414	0.00501723	0.0221523	0.0387511	0.131331	0.0429528	0.0643949	0.07575	0.136498	0.0279402	0.0829119	0.0205512	0.0141585	0.0162065	0.00657032	0.00524397	0.00613695	0.0125454	0.0152464	0.019701	0.00775309	0.00602369	0.00554036	0.00239228	0.00193665	0.000930032	0.000893454
vouma	0.0393358	0.0146877	0.0224977	0.016864	0.0122609	0.0138627	0.0238291	0.0275346	0.0506939	0.0526932	0.0354308	0.0199535	0.0475068	0.0329307	0.0337722	0.0409971	0.0492856	0.0204484	0.018083	0.0106869	0.00659935	0.00348828	0.00530575	0.00992025	0.0196515	0.0213146	0.0266088	0.0586089	0.0635127	0.0692323	0.0464031	0.0215891	0.0275266	0.013985	0.0132762	0.0051955	0.00442741
me	0.0305186	0.0356193	0.0563139	0.0407624	0.0300306	0.0275013	0.023997	0.0168927	0.0202248	0.0662076	0.054907	0.0491228	0.0413854	0.043944	0.0261699	0.0319467	0.02974	0.0342287	0.0456087	0.0641612	0.0147959	0.00809585	0.00830193	0.0060655	0.00477783	0.00918471	0.00598296	0.00877709	0.0178133	0.0270081	0.0214192	0.0189776	0.0202751	0.0167972	0.0135243	0.00921072	0.0197104
fait	0.0487918	0.0362467	0.0300308	0.0205493	0.0259975	0.0284976	0.0258376	0.0241379	0.0327107	0.0487343	0.0243169	0.0219531	0.0261202	0.0283254	0.0268622	0.0344683	0.0445098	0.0685379	0.0661032	0.0622982	0.0377367	0.0192717	0.0111727	0.00642833	0.0101746	0.0136989	0.0146708	0.0140728	0.0111816	0.00949709	0.00793204	0.00898135	0.00839817	0.0142237	0.0222119	0.023427	0.0418912
peur	0.0377807	0.0163904	0.0128879	0.0108578	0.0123524	0.0153248	0.0133467	0.0136722	0.0172069	0.0204374	0.0132979	0.0145997	0.0175235	0.0156794	0.0373346	0.028473	0.0511722	0.141087	0.133117	0.112759	0.0578673	0.0224897	0.00691392	0.00299166	0.00412109	0.00583564	0.00578583	0.0128858	0.0158111	0.015528	0.0146849	0.013202	0.0137621	0.0167606	0.0176303	0.014043	0.024387
car	0.0218953	0.011171	0.00910836	0.00802949	0.007869	0.00966492	0.00880649	0.00968948	0.0106952	0.0117932	0.0100381	0.0156812	0.0145397	0.0101541	0.0237484	0.0231386	0.0423988	0.0552967	0.0602836	0.0942121	0.0843221	0.0772921	0.0261494	0.0112812	0.0184866	0.0315756	0.0284954	0.0347272	0.0314716	0.0243261	0.0264355	0.0251895	0.0254785	0.0225638	0.0229102	0.0238014	0.02728
il	0.0310525	0.016986	0.015471	0.014275	0.012969	0.0168686	0.0213065	0.0246633	0.0273072	0.0257056	0.0234765	0.0425425	0.0240586	0.0178213	0.0405627	0.02674	0.035233	0.0590047	0.0310536	0.0629013	0.0661113	0.0412855	0.0281402	0.00922465	0.0181837	0.0309255	0.0158741	0.0108499	0.00866225	0.00938779	0.0118626	0.011919	0.0120257	0.0184741	0.0259946	0.0282106	0.0828698
est	0.06373	0.0304397	0.0222533	0.0175091	0.0187968	0.0193011	0.0153887	0.00842992	0.00818488	0.0139426	0.0112482	0.0185136	0.015558	0.0176617	0.0312975	0.0218979	0.0352727	0.0582179	0.0565977	0.140124	0.0989546	0.0450861	0.0219816	0.00632526	0.00365461	0.00499069	0.00249862	0.00671068	0.0126101	0.0153963	0.0181263	0.0169023	0.0140567	0.0204497	0.0209156	0.0203803	0.0465953
plein	0.0541929	0.0263948	0.0273782	0.0160276	0.0131514	0.0126201	0.0120047	0.00951411	0.0120625	0.0189933	0.00995715	0.0106401	0.0132383	0.0215288	0.0324101	0.0345992	0.0541829	0.0804856	0.0802234	0.113684	0.0557646	0.025973	0.0127038	0.00768927	0.00628133	0.00996695	0.00368831	0.00627376	0.00926163	0.0115719	0.0133167	0.0133213	0.0100953	0.0215701	0.0217023	0.0260337	0.0914965
de	0.0467121	0.0367507	0.0554249	0.0445806	0.0347479	0.017205	0.018402	0.00892527	0.0117933	0.0247485	0.0108284	0.0271088	0.0152201	0.0183614	0.0196759	0.0203342	0.0131684	0.0131713	0.015847	0.0312377	0.00999382	0.00873937	0.00525027	0.00316269	0.00435085	0.00884439	0.00639345	0.0139716	0.0238435	0.0324876	0.0325603	0.0366024	0.0290202	0.0514698	0.0611839	0.0565232	0.131359
fougue	0.0631571	0.0492855	0.0522125	0.0400046	0.0336952	0.0254283	0.0246431	0.0131139	0.0142902	0.0223115	0.00808046	0.00757613	0.00742666	0.00979512	0.00892486	0.011844	0.0121107	0.0145133	0.0109929	0.023898	0.00509664	0.00551765	0.00318171	0.00232406	0.00317035	0.00575208	0.00402257	0.0116392	0.021609	0.0273224	0.0280942	0.0333815	0.0308424	0.0638637	0.0759849	0.0717163	0.153177
</S>	0.0486727	0.0471633	0.0484955	0.0354374	0.0366649	0.0323674	0.0305329	0.0197353	0.0191354	0.0297097	0.0151683	0.0167541	0.0103255	0.0083382	0.00720802	0.00994075	0.00963892	0.0124027	0.0083174	0.0263712	0.0113253	0.0135064	0.00528704	0.00362691	0.0039085	0.00877487	0.00845526	0.0133982	0.017501	0.0220901	0.0220828	0.0273777	0.0231778	0.0432882	0.0573537	0.0618408	0.184626
