 	n	g	á	e	b	ώ	ω	é	w	o	r	i	l	i	é	n	ω	n	g	í	n	g	á	m	é	b	a	á	y	á	n	d	é	e	</S>
je	0.249444	0.233172	0.178588	0.0557994	0.0267831	0.0038403	0.00445695	0.00340072	0.00637741	0.004203	0.00993529	0.0121991	0.0136677	0.0141437	0.0125032	0.00882424	0.00654818	0.00895271	0.00742503	0.00813913	0.0104058	0.0109124	0.00886047	0.0084414	0.00862531	0.0111633	0.00692143	0.00788908	0.00751525	0.00631865	0.00607075	0.00936019	0.00916788	0.00908127	0.0108643
me	0.121821	0.0517578	0.0307265	0.0220833	0.0238852	0.0272166	0.0325087	0.0361578	0.0634836	0.0595884	0.0465507	0.0295981	0.0339868	0.0139468	0.0127511	0.0171698	0.0120855	0.0162203	0.022787	0.0242307	0.0262479	0.0261665	0.0471932	0.026605	0.0174219	0.0252257	0.017252	0.0136008	0.0118986	0.00975117	0.0134343	0.0148508	0.0172991	0.013138	0.0213599
suis	0.0528276	0.0360882	0.0193047	0.0241351	0.0341736	0.0315663	0.0421816	0.0209014	0.0217036	0.0180472	0.0219762	0.0285608	0.0279373	0.055481	0.0515744	0.038435	0.0368113	0.0450541	0.0439176	0.0679113	0.0266143	0.0275312	0.0149353	0.0241233	0.0198673	0.0229279	0.0244985	0.0211056	0.0157574	0.0122685	0.0146614	0.0103052	0.0140816	0.0186283	0.014106
égratigné	0.0240835	0.0111684	0.00826958	0.0117195	0.0164535	0.0233213	0.0317594	0.0264277	0.0238352	0.0376695	0.0360511	0.0430873	0.0371991	0.0598196	0.0849138	0.059351	0.0421212	0.0202123	0.0243465	0.0223095	0.015838	0.0205007	0.0129541	0.0231357	0.0209766	0.0221253	0.0317214	0.0353635	0.0315067	0.0191556	0.0206042	0.021408	0.0244735	0.0229156	0.0332023
au	0.0326006	0.0144611	0.0115774	0.023332	0.0318912	0.0554278	0.0658003	0.0346875	0.0312173	0.0232161	0.0290437	0.024758	0.020821	0.0274436	0.0374875	0.0263233	0.054149	0.039564	0.0154404	0.015691	0.0229545	0.0222605	0.0281772	0.0278883	0.0142195	0.0219731	0.0194365	0.0149153	0.0234427	0.0128612	0.0228274	0.0228877	0.0374642	0.0375857	0.0561736
bras	0.0155046	0.01269	0.0199376	0.016175	0.0219531	0.0206393	0.0215545	0.0150462	0.0133373	0.00930098	0.00736791	0.0104481	0.00670462	0.00795581	0.0122195	0.0142281	0.0188725	0.0206714	0.0191587	0.0254941	0.0364511	0.0369786	0.0572294	0.0530577	0.0348765	0.0546399	0.042679	0.0349949	0.0451737	0.039686	0.045266	0.0408671	0.0539996	0.0398866	0.0749544
lorsque	0.00499775	0.00475721	0.00822844	0.00663161	0.00986636	0.00872057	0.0107292	0.00964863	0.0111957	0.00697644	0.00988781	0.0122611	0.0105982	0.0156233	0.0193059	0.0203417	0.0271053	0.0270392	0.0225024	0.0307322	0.036717	0.0422372	0.0523238	0.0601447	0.0439322	0.0475317	0.0467281	0.0384693	0.0491684	0.0434074	0.0548312	0.0566202	0.0535946	0.0398228	0.0573226
j'	0.0354244	0.0228538	0.0177205	0.01707	0.0208362	0.0215518	0.0290041	0.0281199	0.0277878	0.012691	0.0144876	0.0164787	0.0140132	0.0154192	0.019278	0.0180921	0.0211812	0.0147925	0.0116789	0.0214205	0.0271779	0.0210335	0.038942	0.0313278	0.0238799	0.0254561	0.0212205	0.0212886	0.0217926	0.0252718	0.0436647	0.0713744	0.0746759	0.0402877	0.112705
ai	0.086358	0.0375665	0.0230243	0.0292802	0.0232933	0.0258367	0.0357163	0.0248764	0.0178189	0.0111556	0.00939416	0.0119454	0.0093622	0.0148311	0.0184332	0.0230496	0.0217258	0.0199196	0.0156927	0.0224466	0.022356	0.0281751	0.0337955	0.0376728	0.0232951	0.0329119	0.0309867	0.0338425	0.031784	0.0308292	0.0370653	0.0351171	0.0378019	0.0295891	0.0730512
heurté	0.0699607	0.0351304	0.0193601	0.0222614	0.0159441	0.013477	0.0148368	0.0139963	0.0145284	0.00800199	0.00868502	0.00828068	0.00876592	0.0132701	0.018858	0.0241709	0.0222601	0.0215491	0.0207447	0.0268765	0.0236817	0.0242106	0.02851	0.0257581	0.0184074	0.0249217	0.0173014	0.0198168	0.023512	0.0334195	0.0568683	0.0493649	0.0655671	0.0847715	0.10293
le	0.0510676	0.0247395	0.0191217	0.0213489	0.0201664	0.0225285	0.0280994	0.0186606	0.0106957	0.00871904	0.00665494	0.00841645	0.00774163	0.0112831	0.0203879	0.0197891	0.0198894	0.0156114	0.0135532	0.0248316	0.0267908	0.0301496	0.0380281	0.033127	0.0281526	0.0330255	0.0276827	0.0325156	0.0328251	0.040467	0.0482796	0.0555598	0.0622237	0.0671864	0.0706804
mur	0.00745284	0.0120873	0.00880834	0.0117761	0.00988285	0.0139671	0.0104742	0.0103973	0.00970778	0.0120921	0.0116456	0.0185503	0.0158174	0.0168872	0.0309353	0.0275385	0.0205931	0.0220674	0.0173407	0.0185169	0.0203246	0.0273852	0.0264737	0.0408382	0.034562	0.0313693	0.04426	0.0518763	0.0519445	0.0395931	0.0603879	0.0534427	0.0649998	0.0704489	0.0755554
</S>	0.0394283	0.0288398	0.0182203	0.0253513	0.0160622	0.023733	0.0216548	0.0154094	0.0146054	0.0233768	0.0202879	0.0178538	0.0266388	0.0361515	0.0466883	0.0272949	0.0337409	0.0211332	0.0194584	0.022878	0.0237036	0.0241181	0.031234	0.0318387	0.0257814	0.0265144	0.0313095	0.0297149	0.0308733	0.0273771	0.032727	0.0352602	0.039686	0.0449885	0.0660661
