 	e	k	w	é	é	m	í	l	í	y	é	é	k	w	é	é	m	í	n	g	á	l	a	p	ó	a	é	d	z	e	e	s	ε	w	a	m	έ	n	d	e	</S>
la	0.0134992	0.00939892	0.00567585	0.00974394	0.00681109	0.00762517	0.00590184	0.00948682	0.0128646	0.0217934	0.0327367	0.0742831	0.0411283	0.0515804	0.051476	0.0364825	0.0508071	0.036055	0.0457198	0.0313771	0.0461077	0.0347859	0.031131	0.0347751	0.0305386	0.0254482	0.0178376	0.0131169	0.0114338	0.0120641	0.015429	0.0123214	0.0123579	0.0161238	0.0143783	0.0131606	0.0150844	0.0193199	0.0211747	0.0248885	0.0240759
manière	0.0150045	0.0162935	0.0581973	0.0256715	0.0155746	0.0229635	0.0269588	0.0169679	0.0190592	0.0266234	0.0286303	0.065724	0.0411932	0.0497803	0.0502436	0.0204318	0.015025	0.0228066	0.0169109	0.0280145	0.0413215	0.0194505	0.0381378	0.0467131	0.0441104	0.0368516	0.0248015	0.029911	0.0265458	0.0069213	0.0119768	0.01774	0.0076039	0.00453869	0.0196659	0.007015	0.00709773	0.0085109	0.00886019	0.00498293	0.00516929
dont	0.0749849	0.0150094	0.0179591	0.00778766	0.00810094	0.00764964	0.0117955	0.00882733	0.00839693	0.00731404	0.00659055	0.0101835	0.0105651	0.0187385	0.00946947	0.0219852	0.0297139	0.0731698	0.0972736	0.137742	0.0959551	0.0713181	0.0703524	0.0221329	0.0166201	0.014218	0.0169518	0.00879785	0.0082964	0.00732174	0.00566324	0.00861912	0.00473817	0.00467804	0.0118903	0.00690845	0.00980287	0.00400768	0.00526816	0.0106679	0.0125345
je	0.0350247	0.0349694	0.0188441	0.0185688	0.0177868	0.014817	0.021811	0.0115022	0.0117887	0.0102626	0.0116017	0.0227007	0.038409	0.0444084	0.0316366	0.0440192	0.0281558	0.0467046	0.0655913	0.0760532	0.0611955	0.0427284	0.0235952	0.0256978	0.0261574	0.0307763	0.0172163	0.0314711	0.0365232	0.0215275	0.0166244	0.00908891	0.00688353	0.00156371	0.00178929	0.00231782	0.001881	0.00246316	0.00538844	0.00697188	0.0234833
me	0.0236496	0.0148127	0.0154767	0.0114572	0.0163342	0.0138282	0.00915944	0.00872388	0.0109407	0.0110552	0.00706981	0.00954511	0.00575119	0.0151964	0.00948603	0.0127953	0.0202108	0.0439681	0.0415152	0.112426	0.10139	0.118071	0.0815742	0.0454778	0.0363163	0.0379951	0.033471	0.0272822	0.0190295	0.00893276	0.0091038	0.00454146	0.00478272	0.00206383	0.00491584	0.00378682	0.00517441	0.00588011	0.00877899	0.0111895	0.0168404
suis	0.0191396	0.0209408	0.0292547	0.0279494	0.0441182	0.0457509	0.0350015	0.0172505	0.0123385	0.0103202	0.00931611	0.0182192	0.013813	0.0167825	0.0102332	0.0109504	0.0177572	0.03841	0.0294448	0.0741499	0.0641258	0.0889436	0.0644152	0.0295041	0.0246837	0.0194788	0.0233477	0.0160109	0.0133272	0.00887823	0.0097457	0.00750539	0.00685551	0.00397615	0.00746022	0.00626038	0.0078845	0.0102428	0.0151268	0.0265896	0.0444969
fait	0.0384335	0.0248934	0.0197001	0.0151004	0.0130244	0.0103726	0.007046	0.00768201	0.00887615	0.00820423	0.00555516	0.00398886	0.00865034	0.0100465	0.00972214	0.0173303	0.0188399	0.0353843	0.0426113	0.0383109	0.0468456	0.0662475	0.0641571	0.0372267	0.0321602	0.0313994	0.0380219	0.0461381	0.0417186	0.0370075	0.043458	0.0314643	0.0263045	0.00372364	0.00837761	0.00721054	0.00932337	0.0160245	0.0202496	0.0172563	0.0319125
baisée	0.0232495	0.0220206	0.0453172	0.0389406	0.0504103	0.0433281	0.0234351	0.0197566	0.0161055	0.0153662	0.0145129	0.00918258	0.00856039	0.00691418	0.00692973	0.0100826	0.0137967	0.0287546	0.0234951	0.0188175	0.0219475	0.0281537	0.0308967	0.0207767	0.020556	0.0187102	0.0211236	0.0182967	0.0168126	0.0141392	0.0214582	0.0215639	0.0328789	0.0166053	0.0134372	0.0166111	0.0182299	0.0287392	0.0384955	0.0431044	0.0984876
hier	0.0234807	0.0306916	0.0394186	0.0393141	0.0399755	0.0320032	0.0162184	0.0124647	0.0117647	0.0125968	0.0124137	0.0140337	0.00893053	0.0130806	0.012618	0.0160668	0.0190151	0.0173563	0.0225363	0.0128345	0.0304898	0.0287456	0.0345687	0.0320354	0.0175951	0.00963353	0.00664761	0.016373	0.0128461	0.0126828	0.0157227	0.0144004	0.0186372	0.00719312	0.0171298	0.0102311	0.0128248	0.0283416	0.0577898	0.0682872	0.141011
était	0.0375297	0.0306924	0.0268021	0.0268262	0.0249854	0.0207049	0.0134196	0.0112068	0.0102456	0.0113571	0.00920862	0.00838114	0.00574907	0.00488167	0.00486209	0.00536857	0.0059676	0.00977887	0.011591	0.0111654	0.026963	0.0313067	0.0545158	0.0407421	0.0257861	0.0138777	0.0125714	0.0163616	0.0163455	0.0156414	0.0254094	0.0307886	0.0466751	0.00970812	0.017277	0.0131983	0.022547	0.0504623	0.0690943	0.07657	0.093435
