 	o	b	i	a	á	b	έ	r	i	w	a	n	d	z	á	á	e	k	a	s	í	l	í	l	í	y	á	w	a	é	p	é	n	d	i	l	e	k	á	b	h	á	á	</S>
son	0.00740301	0.00999665	0.00698848	0.0102245	0.0278084	0.035464	0.0519593	0.0358271	0.042752	0.0456204	0.0409314	0.0489576	0.0391651	0.0491173	0.0301009	0.0192373	0.0223193	0.0144924	0.0129118	0.0128299	0.00861233	0.0134531	0.0227385	0.0174453	0.0138813	0.014161	0.00946778	0.00957732	0.0194682	0.00807215	0.0154023	0.0109306	0.0139615	0.0192489	0.0201304	0.0188738	0.0339341	0.0309618	0.028439	0.029649	0.0244067	0.0231149	0.0135124	0.0164509
ami	0.00728838	0.0916659	0.0524706	0.125631	0.174037	0.0700866	0.0521874	0.0372265	0.141042	0.0152107	0.0220991	0.0377188	0.0313668	0.011353	0.00576087	0.00323536	0.00125185	0.0011005	0.0011283	0.00412197	0.00343185	0.00443774	0.00471163	0.00389717	0.00214324	0.00144937	0.00155716	0.00267212	0.00619763	0.0046149	0.00472953	0.00730325	0.0157025	0.0134222	0.00665255	0.010081	0.00486978	0.00718439	0.00342696	0.00266647	0.00165333	0.000620311	0.000320341	0.000271941
l'	0.0576344	0.017915	0.0341317	0.0344726	0.0260298	0.0365941	0.0459225	0.0518303	0.0321082	0.0194571	0.0184524	0.0206818	0.0284576	0.0151239	0.00695246	0.00558508	0.00305585	0.00373945	0.00664274	0.00606358	0.0152676	0.0105412	0.0179618	0.0213907	0.0258475	0.00960373	0.0246171	0.0144293	0.0205768	0.0173298	0.0266558	0.0200835	0.0427844	0.0402267	0.0191464	0.060955	0.046204	0.0367382	0.00984671	0.00962308	0.00792904	0.0132997	0.014116	0.00397544
a	0.0260633	0.0320751	0.0443481	0.047383	0.0723942	0.0667244	0.0943571	0.0673293	0.040327	0.045246	0.0220037	0.019487	0.0144291	0.0132277	0.013787	0.00834942	0.00512962	0.00632055	0.0029304	0.00464915	0.00888445	0.015175	0.022477	0.0139452	0.0184677	0.017767	0.0158707	0.00437532	0.00548133	0.00356424	0.0076566	0.0265744	0.0211171	0.0296956	0.0234732	0.0175505	0.0170383	0.0143833	0.00484792	0.00679258	0.00677989	0.0101517	0.013501	0.0278689
frappé	0.020279	0.0176053	0.0252932	0.0235983	0.022923	0.0171644	0.0207247	0.0208059	0.0270436	0.0156364	0.0286917	0.0239261	0.0212793	0.0163178	0.0177845	0.0119811	0.012971	0.0113327	0.0116795	0.0181913	0.0265234	0.0256182	0.0405171	0.03398	0.0251064	0.0267719	0.0328217	0.0197218	0.0287258	0.0201396	0.0287995	0.038771	0.0304037	0.026308	0.0216757	0.0235756	0.0227275	0.0209304	0.0120139	0.0130093	0.0110052	0.0181669	0.027606	0.0398529
mais	0.0245363	0.0339352	0.032217	0.0318145	0.0271878	0.0225702	0.0272478	0.0255875	0.0451775	0.0128633	0.033321	0.0189948	0.0249792	0.0222782	0.017351	0.0125004	0.0179798	0.019087	0.0271662	0.0250309	0.0269804	0.0441063	0.0305342	0.0273748	0.0269983	0.0323287	0.0148298	0.011962	0.018322	0.0106403	0.0191246	0.0286834	0.0200749	0.0178247	0.0142001	0.0101194	0.00968039	0.00996904	0.00898194	0.00948728	0.0161268	0.00903047	0.0264274	0.0543671
sa	0.0353595	0.0143497	0.0243474	0.0133101	0.0110901	0.0108511	0.0104232	0.00911183	0.00580605	0.00973528	0.00811773	0.00660131	0.00453696	0.0131108	0.0190296	0.00734947	0.00704764	0.0169551	0.0306823	0.012985	0.021437	0.0293656	0.0185098	0.017776	0.0122444	0.0150905	0.0214922	0.0172961	0.00994985	0.0103213	0.0290529	0.039571	0.0366928	0.0415915	0.0277377	0.0281003	0.050308	0.0511012	0.0293147	0.0361527	0.0387248	0.0450416	0.0491703	0.0531576
riposte	0.0529941	0.0300535	0.0268421	0.0138156	0.011301	0.00790424	0.00972544	0.00974032	0.0142222	0.0102898	0.0131216	0.0120393	0.0211544	0.0406996	0.0442937	0.0342547	0.0482865	0.0547678	0.04835	0.0312118	0.0403071	0.0386149	0.0139936	0.0317504	0.0227855	0.0191784	0.0130201	0.0140048	0.00209044	0.00386915	0.00832449	0.010014	0.00709611	0.00570633	0.0101875	0.00564157	0.00605359	0.00768178	0.0133402	0.0116242	0.0184042	0.0115409	0.0507515	0.0989517
était	0.0621913	0.0229023	0.031258	0.0206031	0.0150646	0.0110471	0.0148674	0.014793	0.0155407	0.00791509	0.0176456	0.0100796	0.0115718	0.0182374	0.0135112	0.00639961	0.00969351	0.0170616	0.040067	0.0274265	0.0458746	0.0613306	0.0430474	0.0455172	0.0371644	0.0262833	0.0451689	0.0286944	0.00888717	0.0086342	0.0111806	0.0180258	0.00507806	0.00831389	0.0100671	0.00595673	0.0104077	0.010265	0.0101326	0.010583	0.0177645	0.0227973	0.0331612	0.087788
trop	0.0250207	0.0106884	0.0156671	0.00929665	0.00697093	0.00503153	0.00557548	0.00439745	0.00530291	0.0062861	0.00666039	0.00677125	0.00764495	0.0101123	0.00959638	0.0110461	0.0196363	0.0258265	0.0373725	0.0263258	0.0411949	0.0336036	0.0243088	0.0415486	0.0323648	0.0274079	0.0255691	0.0219273	0.0243033	0.0221356	0.0243606	0.0349636	0.0244338	0.0189297	0.0272795	0.0164638	0.0155511	0.0219852	0.0370795	0.0244907	0.0332057	0.0250755	0.0532691	0.0933185
