 	b	a	r	e	b	á	a	w	o	o	m	á	m	b	v	á	a	o	k	o	n	d	z	i	y	a	p	o	o	</S>
les	0.230987	0.0965386	0.0327061	0.00986856	0.00725983	0.00689014	0.00732073	0.0155904	0.00675931	0.0135291	0.0308929	0.0452784	0.069331	0.0524654	0.0386844	0.0396283	0.0294524	0.0200146	0.0283096	0.0229259	0.0399052	0.0183108	0.030835	0.0184568	0.0214225	0.0153624	0.0155306	0.0129286	0.0131697	0.00964612
gens	0.0367314	0.0587609	0.107642	0.179614	0.115342	0.0600736	0.0453112	0.0602508	0.0452959	0.0379083	0.0280546	0.0565366	0.0280363	0.0101026	0.00779976	0.00734019	0.006728	0.00480679	0.00356776	0.0102392	0.00638591	0.00605388	0.00947523	0.00893845	0.0165077	0.014247	0.0127024	0.00501265	0.00436676	0.00616899
sont	0.0224736	0.0274444	0.0381727	0.0294581	0.0171439	0.0182822	0.0200311	0.0637868	0.0443616	0.0317359	0.037903	0.0828559	0.0610965	0.0575994	0.0540995	0.0546303	0.0393275	0.0285817	0.0391542	0.020135	0.0219142	0.0135445	0.0231075	0.014765	0.0305341	0.0284381	0.0300316	0.0220956	0.0191432	0.00815289
en	0.00751147	0.0154851	0.017145	0.0227901	0.0174401	0.0287658	0.0294003	0.0488077	0.041454	0.0327698	0.0317271	0.0393954	0.022362	0.0253118	0.0436723	0.0458713	0.0645476	0.0512681	0.0748249	0.0576538	0.045213	0.0257268	0.0340611	0.0247974	0.0263711	0.0233656	0.0281994	0.022432	0.0270607	0.0245693
train	0.0254939	0.0285233	0.0372139	0.0317521	0.0351412	0.0343083	0.0312357	0.0413552	0.0473273	0.0368569	0.0397089	0.0345948	0.0276552	0.0271146	0.0314753	0.0287059	0.0231293	0.0181102	0.0321941	0.0352307	0.0275942	0.0247843	0.0493944	0.0300455	0.050594	0.0391543	0.035497	0.0301409	0.0282727	0.0373956
de	0.0896261	0.0511491	0.0683602	0.046945	0.0387041	0.0242247	0.0137961	0.0130228	0.0392317	0.0563104	0.0443323	0.0485206	0.117475	0.0630412	0.027434	0.0243306	0.0152392	0.015603	0.0116695	0.0114171	0.011179	0.0155185	0.0145144	0.0171439	0.0141168	0.013503	0.016819	0.0179381	0.0225906	0.0362436
parler	0.0140936	0.0108233	0.00727348	0.0101498	0.00857931	0.00832551	0.00900282	0.0071781	0.00744598	0.00795199	0.0121848	0.0187361	0.0194982	0.0340873	0.0535903	0.0606184	0.0813912	0.109598	0.100005	0.0892333	0.0470825	0.0420419	0.0401825	0.0429998	0.031689	0.0188967	0.0199349	0.0241981	0.0276432	0.0355652
très	0.0305454	0.0216923	0.0172279	0.0204624	0.0244041	0.0280256	0.0255548	0.0220371	0.0232969	0.0195853	0.0214485	0.0234286	0.0273061	0.0270285	0.0229938	0.0286747	0.0204313	0.0220446	0.0293633	0.0275496	0.0338496	0.0396414	0.0539597	0.0468571	0.0416231	0.0240527	0.0336313	0.0552695	0.0689771	0.119038
fort	0.0296845	0.0340498	0.0396488	0.0397965	0.0371225	0.028645	0.0177944	0.0181721	0.0177581	0.0245463	0.0265922	0.0210602	0.0284005	0.0245443	0.0228957	0.0223851	0.0200985	0.0226498	0.0175644	0.0284262	0.0255692	0.0343487	0.027109	0.0340727	0.023219	0.0226164	0.0315819	0.0595137	0.0681355	0.151999
chez	0.0195463	0.0199146	0.022304	0.0232308	0.0283788	0.0322295	0.0258047	0.0155355	0.0222934	0.0261929	0.0220375	0.0170745	0.0345456	0.0245964	0.0346187	0.0381106	0.0473151	0.0522387	0.0266439	0.0444441	0.0270523	0.0466256	0.0270212	0.0306345	0.0212226	0.023969	0.027991	0.0396414	0.0591597	0.119627
le	0.019835	0.0212549	0.0241023	0.0250217	0.0259152	0.0275144	0.0225271	0.0245568	0.0256773	0.0220147	0.0240229	0.0260125	0.0260588	0.0257522	0.0367707	0.0355814	0.0490267	0.0478345	0.0356335	0.0357124	0.0241051	0.0243129	0.0197075	0.0285742	0.0276675	0.0382353	0.0436363	0.0622769	0.0558694	0.0947901
chef	0.0159179	0.0148613	0.0186247	0.0293926	0.0331554	0.0395874	0.0278869	0.0235089	0.0223296	0.0183028	0.0198192	0.0230582	0.0227691	0.0218445	0.017033	0.0163955	0.0163864	0.0140625	0.0181525	0.0273529	0.0279408	0.0260568	0.0226603	0.0377063	0.0469937	0.0521103	0.061375	0.0836605	0.068587	0.132468
du	0.0351457	0.0233412	0.0195435	0.0205075	0.0159345	0.0146777	0.00989731	0.0116113	0.011974	0.013303	0.0144515	0.0146218	0.0161796	0.0187672	0.0187356	0.0216747	0.0317942	0.0635718	0.0642288	0.0485313	0.0518992	0.0403173	0.0287202	0.0342033	0.0338809	0.0318669	0.0346964	0.0511737	0.078034	0.126716
village	0.0236558	0.0181086	0.0195966	0.0280897	0.0257318	0.0267257	0.0155185	0.0152343	0.0139807	0.0145105	0.0172524	0.0209027	0.0206933	0.0242355	0.0211265	0.0176849	0.0189612	0.0188189	0.0322848	0.0534572	0.0393478	0.0240995	0.0223431	0.0306233	0.0364528	0.050531	0.0639894	0.0867252	0.0866986	0.11262
</S>	0.0369876	0.0291648	0.0221186	0.0230718	0.0115762	0.0101497	0.00875007	0.00760948	0.00821891	0.00823797	0.00990316	0.0103809	0.0106734	0.014281	0.0231092	0.0286047	0.0390639	0.0514669	0.0420415	0.0384169	0.0475864	0.0423599	0.0418412	0.0460209	0.0476562	0.043454	0.0477607	0.0612471	0.0700005	0.118246
