 	p	ώ	ω	é	t	s	ω	y	é	é	l	e	á	s	á	p	o	o	y	é	b	á	a	p	ε	r	έ	s	έ	ó	m	w	á	n	a	y	a	n	g	á	</S>
mon	0.0299387	0.0218758	0.0109825	0.0110677	0.0129995	0.0188941	0.0178968	0.0157059	0.0326681	0.0164839	0.0328527	0.0238311	0.0371196	0.0133892	0.0140471	0.00927183	0.00996813	0.0111514	0.00858533	0.00758404	0.00907609	0.00675683	0.00844138	0.00780674	0.00702537	0.00737402	0.00775572	0.00803298	0.00816221	0.0218938	0.0164749	0.0370407	0.0475929	0.0596253	0.0493123	0.0696677	0.0540541	0.0669411	0.0488047	0.0632674	0.0385808
enfant	0.0364722	0.044908	0.0837256	0.230157	0.116231	0.132072	0.0456256	0.0459762	0.0108033	0.00293213	0.00283951	0.0114268	0.0055124	0.00702111	0.00904773	0.00479165	0.00414623	0.00444597	0.00309334	0.00336831	0.00432645	0.00454653	0.00652417	0.0073267	0.0109597	0.0152849	0.0234046	0.021404	0.0132037	0.0265659	0.0163588	0.0154257	0.0109286	0.00423482	0.00798485	0.00327993	0.00137713	0.00096535	0.000854636	0.000312142	0.000134444
est	0.0295013	0.0502039	0.0704338	0.110605	0.164192	0.0828809	0.0590112	0.0289565	0.0199616	0.0110883	0.0137199	0.00859063	0.0480326	0.026465	0.018952	0.0243505	0.0134469	0.00931844	0.0118198	0.00756011	0.00772961	0.0104602	0.0109833	0.00564924	0.00432621	0.00610681	0.00584731	0.0057508	0.010894	0.0204364	0.0117472	0.0234104	0.013924	0.00823778	0.00948983	0.0095204	0.00672834	0.00783992	0.00339865	0.00581993	0.00260913
tenu	0.0196375	0.0246627	0.0327841	0.0296138	0.03334	0.0329423	0.0222013	0.016408	0.0106541	0.013741	0.0162568	0.0141429	0.0280489	0.0311771	0.0320795	0.0288725	0.0280866	0.0229126	0.026395	0.0229778	0.0333153	0.0408059	0.0386405	0.0285413	0.022729	0.0270614	0.0186413	0.0184687	0.0228757	0.0202506	0.0459927	0.00809038	0.0224552	0.0161052	0.020035	0.0209018	0.0229699	0.0207079	0.0155453	0.0292415	0.0196913
responsable	0.016514	0.0143158	0.0171432	0.0115114	0.0137899	0.0182114	0.0216796	0.0228097	0.0205688	0.027438	0.0207056	0.020556	0.0263949	0.0430437	0.0461711	0.0524651	0.0722577	0.0517732	0.0433517	0.0349351	0.0410152	0.0501628	0.0361459	0.0298958	0.0307404	0.0238833	0.0258544	0.018007	0.0153305	0.00780763	0.0175686	0.00305603	0.00565318	0.00490188	0.00970002	0.0101062	0.0121303	0.011796	0.0121237	0.0164404	0.0220446
pour	0.0246692	0.0151963	0.0128447	0.0116004	0.0129985	0.0128759	0.0234153	0.019976	0.0305722	0.0431301	0.0189083	0.0216202	0.0410784	0.0351487	0.036135	0.0407529	0.0684338	0.0639899	0.077473	0.0488692	0.033621	0.0427148	0.0402121	0.0265259	0.0244847	0.0153267	0.0108426	0.0115989	0.0145675	0.0112673	0.0122156	0.00160809	0.00798542	0.00555924	0.00565458	0.00461987	0.00641558	0.00356656	0.0100179	0.0143461	0.0371618
tout	0.0518975	0.0298568	0.0320013	0.0287846	0.0314665	0.0259499	0.0288257	0.0284949	0.0194921	0.0108946	0.00787503	0.00578973	0.015378	0.020746	0.0186495	0.0244388	0.0448822	0.0531126	0.0608825	0.0528654	0.0529017	0.0507851	0.0310544	0.0165042	0.0118669	0.0107242	0.00957571	0.00732845	0.0106996	0.0186231	0.0164215	0.0137613	0.0242277	0.0192528	0.0221525	0.0161609	0.0139751	0.0103096	0.0150557	0.0151447	0.0211911
ce	0.0283195	0.0203456	0.0221151	0.0223041	0.0313385	0.0354991	0.0214835	0.0170499	0.019963	0.0198006	0.0169264	0.0171218	0.0217489	0.0231472	0.0206648	0.0211943	0.0370794	0.0351602	0.0469881	0.0491114	0.0453054	0.0408592	0.028643	0.026225	0.0191492	0.0176358	0.018935	0.0165927	0.00831832	0.00789271	0.0148692	0.0039141	0.00751103	0.0092852	0.0243548	0.0164969	0.0225564	0.0111529	0.0236517	0.0417988	0.0674909
qui	0.0554619	0.0549745	0.0594228	0.0482151	0.042179	0.0507327	0.0540183	0.037609	0.0334782	0.0324115	0.0132588	0.028668	0.0250329	0.013398	0.0116947	0.0145146	0.0420796	0.0349985	0.0518316	0.0416891	0.037046	0.0283108	0.0271438	0.0326447	0.0189805	0.0136125	0.00837597	0.00826031	0.00382472	0.00275748	0.00564179	0.00492785	0.00566962	0.00606774	0.00677868	0.00598906	0.0060689	0.00658757	0.00722892	0.0072584	0.0111557
se	0.0780889	0.026979	0.0199751	0.0185529	0.0216386	0.0296979	0.0355712	0.0202311	0.0167583	0.0156221	0.0119796	0.0192669	0.0274276	0.0171974	0.0175261	0.0165434	0.0294525	0.0248598	0.0326789	0.0363571	0.0389057	0.0386359	0.0256902	0.0306763	0.0256074	0.0229102	0.0195753	0.0340995	0.0182022	0.0169706	0.0116338	0.00331415	0.00737112	0.0050122	0.0182945	0.0105696	0.0202909	0.00591815	0.0162416	0.0435799	0.0700964
