 	n	g	á	í	m	i	s	á	á	o	y	ú	r	á	t	á	á	y	a	b	í	s	í	m	é	k	ú	n	y	u	</S>
j'	0.181112	0.35102	0.170196	0.0668805	0.0216028	0.00637615	0.00284073	0.00677102	0.0028422	0.00404431	0.00484922	0.00537677	0.00494924	0.00694321	0.0104269	0.0106035	0.00865504	0.0156138	0.00780334	0.00990425	0.0110137	0.0111083	0.0107179	0.0142569	0.016559	0.00783888	0.00616165	0.00659866	0.00525309	0.00565026	0.0060303
en	0.0416038	0.0152011	0.0174231	0.00748893	0.0124762	0.0232363	0.0657507	0.120187	0.116314	0.101802	0.0861023	0.0783415	0.0750155	0.056283	0.045316	0.0492685	0.0207696	0.0130585	0.00786905	0.00441952	0.00345868	0.00332753	0.00199929	0.00137052	0.00130079	0.00334514	0.00368214	0.00193298	0.00365655	0.00646295	0.0115364
ai	0.0483894	0.0334732	0.0286155	0.0457153	0.0323732	0.0454435	0.0165868	0.015897	0.0232099	0.0172135	0.026705	0.0332574	0.0310928	0.0413329	0.0481567	0.0472367	0.0353705	0.0450558	0.0170952	0.0327448	0.0380066	0.0420607	0.0292733	0.0483749	0.0313158	0.0273463	0.0262227	0.0203874	0.0211683	0.0176001	0.0332788
assez	0.0156363	0.0135193	0.0152633	0.0771016	0.0366572	0.0467075	0.0519104	0.0251945	0.0329088	0.024495	0.0342291	0.0310932	0.0396754	0.0471978	0.0626754	0.0449426	0.0470944	0.0439691	0.032741	0.0367859	0.0262304	0.0242168	0.0197219	0.0371353	0.0226043	0.0199431	0.0202348	0.0186328	0.016786	0.0168995	0.0177971
des	0.0235166	0.0125938	0.0144348	0.0153522	0.0127343	0.0318735	0.0764625	0.0348305	0.03491	0.0252878	0.0266338	0.0224661	0.0231764	0.0187827	0.0388743	0.0614386	0.0871165	0.106759	0.0493335	0.0410083	0.0370215	0.030295	0.0139797	0.0102192	0.0104188	0.0157805	0.0172175	0.0196114	0.022903	0.0270803	0.0378881
doutes	0.020821	0.0166397	0.0162797	0.0170356	0.0194403	0.0183368	0.0140935	0.016425	0.0229551	0.0226127	0.0235973	0.0253621	0.0236299	0.0244243	0.0239662	0.0266028	0.0279956	0.0266689	0.0246837	0.029813	0.0437044	0.0488506	0.036946	0.0277708	0.0235004	0.0505686	0.050476	0.0670382	0.0612207	0.0621085	0.0864328
de	0.00951089	0.00992936	0.0102061	0.0130962	0.0097439	0.011034	0.00954448	0.0102762	0.0149472	0.0156307	0.0123228	0.0123489	0.010066	0.0100762	0.0104515	0.012244	0.0300898	0.0258148	0.0309953	0.0204064	0.0390702	0.0560258	0.0455842	0.046034	0.0535143	0.073848	0.0787437	0.0826773	0.0714671	0.073429	0.0908716
mon	0.0184919	0.0151536	0.0149671	0.0151595	0.0154932	0.018087	0.0186725	0.0195606	0.0272737	0.0265645	0.0244037	0.0239568	0.0213908	0.0198323	0.0226024	0.0318862	0.0394522	0.0421992	0.031531	0.027052	0.0387772	0.0549426	0.0335578	0.0352345	0.0441618	0.0479591	0.0498955	0.0516222	0.0545367	0.055528	0.0600547
père	0.0252363	0.024584	0.0236769	0.0221601	0.0204702	0.0124017	0.0101427	0.0102394	0.0106637	0.0104907	0.0117988	0.0138681	0.0132762	0.012155	0.013818	0.0166917	0.0188656	0.0151203	0.0149717	0.00835549	0.0194372	0.0240997	0.0317263	0.0358899	0.0428053	0.0668556	0.0785661	0.0897098	0.0982019	0.0985647	0.105157
</S>	0.0434157	0.0146349	0.0175612	0.0334632	0.0300821	0.0300192	0.0204112	0.0218406	0.019084	0.0193776	0.0212711	0.0210451	0.0206188	0.0194807	0.0190302	0.0263414	0.0261028	0.0168007	0.0138126	0.0122468	0.0119841	0.015003	0.0129012	0.0171622	0.0258331	0.0380914	0.0519395	0.0775204	0.0736687	0.101902	0.127354
