 	i	k	ώ	ώ	b	í	í	l	á	m	b	í	n	y	é	e	b	h	í	l	a	p	ó	a	í	m	i	s	á	á	o	b	h	á	m	i	n	a	</S>
le	0.0201027	0.0179887	0.0142863	0.0134879	0.0105137	0.0156906	0.0192831	0.026643	0.0344388	0.0325268	0.0318616	0.0413082	0.0456475	0.0506035	0.0541871	0.0397069	0.0310631	0.0224413	0.0270049	0.0263558	0.0247918	0.00877647	0.0108469	0.0177742	0.0133225	0.020357	0.0204231	0.0240706	0.024445	0.0323648	0.0268524	0.0241491	0.0313293	0.0228576	0.0290526	0.0294866	0.0236644	0.0233464	0.0169478
manioc	0.0517369	0.041126	0.0455842	0.0964869	0.0626099	0.027717	0.0273281	0.0296366	0.0285491	0.0151105	0.0105584	0.00637459	0.00524163	0.00569311	0.0096509	0.0168263	0.0166736	0.0281572	0.038218	0.0328648	0.0289453	0.0304823	0.0311295	0.0369954	0.0137667	0.00718697	0.0532198	0.0088611	0.0242302	0.0175264	0.028507	0.0267967	0.0338089	0.0187671	0.01251	0.0167195	0.0103569	0.0021432	0.00190331
que	0.0404118	0.0298023	0.0344363	0.0166198	0.0183702	0.011108	0.0098974	0.0101886	0.0124066	0.015101	0.0235872	0.0175562	0.0109258	0.0120249	0.0108623	0.0112874	0.0125309	0.0161701	0.0242371	0.0337039	0.0262491	0.0343983	0.0325832	0.0260318	0.0629771	0.0647747	0.0571229	0.0341525	0.0498687	0.0310353	0.0487261	0.0275695	0.0239776	0.0174561	0.0382326	0.0269897	0.0146705	0.00850215	0.00345447
nyebhi	0.00943448	0.0144237	0.036836	0.0297675	0.0286306	0.0213912	0.0195294	0.0156096	0.0235173	0.0258105	0.0199714	0.0223327	0.0264268	0.0357748	0.0225034	0.0245247	0.0310479	0.0318832	0.0300115	0.0350354	0.0423201	0.0590249	0.0441446	0.0225918	0.0373197	0.0444131	0.0223362	0.0088289	0.0113704	0.0105422	0.0130728	0.0137954	0.00865117	0.0133896	0.0127573	0.0196157	0.0332366	0.031489	0.0466383
a	0.0271983	0.0316336	0.0364229	0.0335021	0.0219406	0.0182356	0.0189219	0.0188877	0.0170552	0.0191611	0.0156278	0.0159236	0.0181452	0.0246842	0.0177452	0.0174825	0.0216023	0.0202113	0.0240476	0.0321524	0.0349936	0.0531487	0.0472679	0.0367931	0.0465419	0.0513537	0.0214226	0.0215992	0.0124324	0.0150418	0.0155294	0.0147023	0.0143938	0.0208968	0.0187964	0.015601	0.0238948	0.028882	0.0561275
préparé	0.0393451	0.0439864	0.0292508	0.0237241	0.0164827	0.0174757	0.0216987	0.0263249	0.0311072	0.0232088	0.0208639	0.0107949	0.00973624	0.00768967	0.00516344	0.00734585	0.00823924	0.00852409	0.00948114	0.0105646	0.0136383	0.0202621	0.0225101	0.0198543	0.0208294	0.028578	0.0182441	0.017577	0.0208635	0.0168159	0.0276443	0.0273354	0.0369247	0.027438	0.0263852	0.0322963	0.0350987	0.0422797	0.174417
hier	0.0267943	0.0331414	0.023757	0.0213196	0.015996	0.0139982	0.0142681	0.0135801	0.0134848	0.0158	0.0180935	0.00882916	0.00843467	0.00876069	0.00875296	0.0117209	0.0149663	0.0177929	0.0202063	0.0200177	0.0226573	0.0447823	0.0445112	0.0285154	0.0407191	0.0580345	0.0332731	0.0278598	0.025289	0.0192834	0.023328	0.0215313	0.023763	0.0280196	0.0355742	0.0272302	0.0389165	0.0400011	0.0869966
s'	0.0273004	0.0281326	0.0220097	0.0230574	0.0229116	0.0255171	0.0266585	0.0267861	0.0254203	0.0257828	0.0264677	0.0214034	0.022694	0.0167562	0.0152341	0.0177555	0.010443	0.0106971	0.0133233	0.00677402	0.00856963	0.0151246	0.0194347	0.020564	0.0161201	0.0278679	0.0261178	0.017603	0.023396	0.0239632	0.0278761	0.0282074	0.0286226	0.0315102	0.0307872	0.0212266	0.0335744	0.0452534	0.139056
est	0.107492	0.0757109	0.0521837	0.0319832	0.0204501	0.0143049	0.00838482	0.00668524	0.00417836	0.00387244	0.00362603	0.00363164	0.00397701	0.00423041	0.00532208	0.0115916	0.0136191	0.0190334	0.0267749	0.0228579	0.0270596	0.0375278	0.0314352	0.022864	0.015043	0.014258	0.0301457	0.0142539	0.0230319	0.0261578	0.0291311	0.0364653	0.0218226	0.027579	0.0205764	0.0407694	0.0361691	0.0193486	0.0864518
déjà	0.0798214	0.0682714	0.0462922	0.0222446	0.0142188	0.00872921	0.00540073	0.00362573	0.00300464	0.00267837	0.00262141	0.00250287	0.0031059	0.00367545	0.00454258	0.0077932	0.0118363	0.016484	0.0200924	0.0193209	0.0256295	0.0438372	0.0409521	0.027751	0.0240941	0.0284569	0.031948	0.0194049	0.0149754	0.0335173	0.0217039	0.0250953	0.0247961	0.0411426	0.0315855	0.027729	0.0429322	0.0392496	0.108937
durci	0.0811174	0.0795803	0.0595167	0.0419932	0.0274051	0.0212697	0.0150402	0.0105546	0.00697667	0.00720905	0.00795769	0.00859336	0.0114762	0.0129072	0.0119085	0.0176875	0.0174497	0.023269	0.0246812	0.0233153	0.0224524	0.0392356	0.0364225	0.0170816	0.0170585	0.0155462	0.0282346	0.00832016	0.0102889	0.026111	0.0178828	0.0204031	0.0223029	0.0280014	0.022032	0.0162847	0.0297686	0.0375244	0.07514
