 	n	g	á	l	í	i	p	á	m	á	a	t	ω	r	ω	l	a	a	k	ω	</S>
j'	0.125149	0.467767	0.149393	0.133613	0.0598584	0.0137939	0.00612209	0.0024534	0.00159955	0.00119846	0.00125089	0.00116238	0.00248568	0.00380646	0.00551566	0.00572781	0.00670624	0.00487501	0.00305253	0.00268535	0.0017837
aime	0.00668957	0.00705037	0.0174392	0.0115415	0.0165055	0.0175089	0.0564227	0.0983433	0.128764	0.134499	0.148755	0.120058	0.0815271	0.0532695	0.0365152	0.0292982	0.0150834	0.00621527	0.00619106	0.00289729	0.00542604
mieux	0.0475352	0.0407612	0.0729802	0.0445623	0.0418954	0.0232874	0.0244942	0.0374532	0.0305539	0.0363645	0.0337648	0.0211055	0.0367166	0.0325806	0.0519724	0.0665261	0.0820136	0.0893859	0.0662567	0.0707545	0.0490358
les	0.140345	0.0595841	0.0332134	0.0247296	0.0279927	0.0374469	0.0307421	0.0290405	0.0496773	0.0436917	0.0365287	0.0305598	0.0487625	0.0442693	0.046315	0.0654825	0.0352877	0.0538946	0.0380459	0.0511871	0.0732034
bananes	0.0556685	0.031056	0.0161138	0.0129185	0.0136957	0.0121245	0.0184806	0.0187916	0.0221531	0.023155	0.0317894	0.0349485	0.0537648	0.0605111	0.0793475	0.0693162	0.0716587	0.0679862	0.0864577	0.0881356	0.131927
douces	0.112028	0.112638	0.0662164	0.062383	0.0307293	0.0104663	0.00856262	0.0169632	0.0365527	0.0482974	0.0454099	0.059725	0.0490608	0.0242768	0.0286046	0.0332976	0.0281207	0.0301383	0.0390396	0.053582	0.103908
que	0.0634552	0.0662033	0.0609666	0.0410995	0.021346	0.00825354	0.0094613	0.0127606	0.0179486	0.0160298	0.0114774	0.00967405	0.0178939	0.0197643	0.0342697	0.0456601	0.0543129	0.0854836	0.0762148	0.094644	0.233081
les	0.0662511	0.0716251	0.145244	0.109158	0.115693	0.0188756	0.0164293	0.0146909	0.0163726	0.00859801	0.00596448	0.00574914	0.015899	0.019518	0.028097	0.0346441	0.0382612	0.0465767	0.044251	0.047063	0.131039
bananes	0.044195	0.0529044	0.0832483	0.0905873	0.0632978	0.0341695	0.0310793	0.0299425	0.0298198	0.0157125	0.0138443	0.0120003	0.030228	0.0479314	0.0504646	0.0535924	0.0463324	0.0547981	0.0483411	0.0544643	0.113047
à	0.139252	0.0710654	0.0836538	0.0886136	0.0609111	0.0159557	0.0168024	0.0153745	0.0156822	0.0124875	0.0135616	0.00487334	0.0132511	0.0148991	0.0331496	0.0412021	0.0407785	0.0661345	0.0446334	0.0819368	0.125781
cuire	0.148834	0.0345906	0.0332476	0.0376244	0.0306954	0.0219628	0.0228313	0.0206284	0.023497	0.0219249	0.0200247	0.0119046	0.020711	0.033235	0.053158	0.0610979	0.058944	0.0864438	0.0595153	0.0751115	0.124017
</S>	0.0283842	0.0219314	0.0253084	0.0190701	0.0125282	0.0153661	0.0205087	0.0180488	0.0161782	0.0100592	0.0135059	0.00800596	0.0295266	0.0436933	0.0719306	0.0826877	0.0581271	0.0884436	0.0649684	0.144059	0.207668
