 	b	a	n	á	á	m	i	d	z	w	á	i	l	ώ	b	h	ω	a	s	ú	s	u	á	d	z	w	e	p	o	o	</S>
les	0.0535767	0.0402391	0.0147258	0.0313613	0.0690819	0.0658362	0.0267524	0.0348089	0.050676	0.0423146	0.0317832	0.0440869	0.0299286	0.0343573	0.0370972	0.0358656	0.0530791	0.0181666	0.0316998	0.0285028	0.0217995	0.0270078	0.0286083	0.0233676	0.0324784	0.0104166	0.0191874	0.0238971	0.00907306	0.0174974	0.0127269
uns	0.0512733	0.0470058	0.0599121	0.0860594	0.0705512	0.0939507	0.156664	0.116964	0.0940701	0.0510844	0.0237255	0.0387714	0.0142336	0.0149108	0.00667174	0.00943423	0.00477306	0.00340243	0.00455244	0.00633447	0.0016839	0.00293887	0.00422588	0.00316904	0.00361806	0.00192128	0.0072411	0.00993677	0.00388044	0.00457039	0.00247009
sont	0.0315089	0.0336261	0.0325677	0.0320506	0.0311506	0.0314223	0.0367512	0.0345454	0.0322267	0.0568968	0.0545227	0.0554881	0.0514617	0.0701142	0.0479265	0.0589316	0.0288123	0.0474717	0.0325207	0.04162	0.0275137	0.0150708	0.0176875	0.0168945	0.0139616	0.00890981	0.0111503	0.0128398	0.00950146	0.0135239	0.0113308
allés	0.0172063	0.0343808	0.0349988	0.0404514	0.0364595	0.0358698	0.0490217	0.0402036	0.0363658	0.0680398	0.0827061	0.0828941	0.0697831	0.0659396	0.0328723	0.0228428	0.0186428	0.0308168	0.0240271	0.0355851	0.0358824	0.0134012	0.0110795	0.013227	0.0123912	0.00316373	0.0036672	0.00608261	0.00626639	0.0154226	0.0203088
à	0.042052	0.0459584	0.0429308	0.0385338	0.0405762	0.0434105	0.0477668	0.0407702	0.0355503	0.0389512	0.0412068	0.0360138	0.0227203	0.0174772	0.0129713	0.0129148	0.0122868	0.0179462	0.0150767	0.018368	0.0249826	0.0189899	0.0241153	0.031349	0.0292032	0.0315706	0.0283054	0.0304535	0.0336724	0.0364448	0.0874311
la	0.0353029	0.0289123	0.0274017	0.0234522	0.0251703	0.0285323	0.0308718	0.0270972	0.0234178	0.0273574	0.0256671	0.0209916	0.0250738	0.0228611	0.0190061	0.014738	0.01561	0.0285453	0.0219291	0.0317059	0.0388072	0.0173251	0.0306863	0.0429603	0.038912	0.0352801	0.0372156	0.0477478	0.0552639	0.063685	0.088473
pêche	0.0194094	0.0137386	0.0148286	0.0138779	0.013618	0.0158614	0.0137369	0.0175631	0.021231	0.017073	0.014868	0.0171179	0.0157923	0.0234509	0.0250758	0.0165595	0.0370196	0.0403891	0.0507799	0.0684016	0.0544738	0.0333446	0.0378447	0.0376392	0.0432413	0.0233996	0.0427617	0.064603	0.0506443	0.0569867	0.0846687
et	0.0303217	0.0245657	0.0258152	0.0260581	0.0191232	0.0296862	0.0288546	0.0327926	0.0380046	0.0184098	0.0223784	0.0228839	0.0213508	0.0272223	0.0236705	0.018	0.0200506	0.0212743	0.0241795	0.0284456	0.0319053	0.022216	0.0153474	0.0245846	0.0308583	0.0332546	0.032355	0.0397911	0.0474918	0.0695746	0.149534
les	0.0440207	0.0327369	0.020724	0.0191501	0.0171984	0.0169872	0.0170643	0.0134641	0.0141432	0.015907	0.0091034	0.00936497	0.0109693	0.0133833	0.010035	0.0103188	0.0139729	0.0243331	0.0207523	0.0292343	0.024954	0.046565	0.0393699	0.0636026	0.0660016	0.0984612	0.0540258	0.0517079	0.0666758	0.0643276	0.0614454
autres	0.077299	0.0491612	0.034073	0.023436	0.0243255	0.0167449	0.0168305	0.00786749	0.00897811	0.00890171	0.00731148	0.0113553	0.0110837	0.0148418	0.0147337	0.0163317	0.0197634	0.0354779	0.0291053	0.0322418	0.0335797	0.0237405	0.0173859	0.0341933	0.037747	0.0470213	0.0385307	0.0436602	0.0575987	0.0781678	0.128511
au	0.0423817	0.0324939	0.0234702	0.0201514	0.0192777	0.0172371	0.0178762	0.0107284	0.0123024	0.0125369	0.01371	0.0165268	0.0141915	0.0177083	0.0152165	0.0152847	0.0131448	0.0341318	0.0244098	0.0361304	0.04239	0.0199382	0.0260662	0.0431417	0.0322368	0.0693221	0.0553529	0.0671435	0.069488	0.0735338	0.0924762
village	0.0189257	0.0137505	0.0143774	0.0153101	0.0149963	0.0149143	0.0138763	0.00704211	0.0108102	0.00802087	0.00450817	0.0063922	0.0065961	0.0085412	0.0110694	0.0169315	0.0248392	0.0315819	0.0258845	0.0279956	0.0202505	0.0382897	0.024917	0.0454501	0.0453132	0.082107	0.0749551	0.0827339	0.0911474	0.0906664	0.107806
</S>	0.0710531	0.0514323	0.0350773	0.0294054	0.0232444	0.0215256	0.0222396	0.0126875	0.0144463	0.0113931	0.0112425	0.0164277	0.0141261	0.020159	0.0183871	0.0176481	0.0188786	0.0390382	0.0269073	0.0388318	0.043067	0.0259527	0.0250552	0.0401258	0.0274774	0.055037	0.0318882	0.0399026	0.0447461	0.0525489	0.100048
