 	a	n	d	z	é	s	i	á	t	s	ω	á	p	f	ú	b	h	u	s	á	ε	b	a	a	</S>
tous	0.182806	0.145669	0.0330726	0.00686253	0.00656682	0.0089515	0.020526	0.0308292	0.030647	0.0334097	0.0287262	0.0279359	0.0228834	0.028667	0.024152	0.0175136	0.02114	0.0310875	0.0478609	0.0480623	0.0601123	0.0491196	0.0385945	0.0307806	0.0240234
les	0.0703206	0.104001	0.0795447	0.141383	0.0864948	0.0591168	0.0365169	0.0245875	0.0280367	0.024959	0.0306637	0.0322319	0.0262775	0.0364493	0.0418202	0.0235982	0.0177701	0.0159905	0.0167801	0.0160477	0.0255445	0.0197375	0.0133872	0.0107433	0.0179976
jeunes	0.0396046	0.0284351	0.050212	0.0931541	0.0490874	0.067696	0.0662118	0.051232	0.0360824	0.0182627	0.0205851	0.0289923	0.0409687	0.0502795	0.0379804	0.0516447	0.0443367	0.046961	0.0441143	0.0348113	0.0346468	0.0219429	0.0168576	0.013499	0.0124019
se	0.0187417	0.0258468	0.0482264	0.111994	0.0416059	0.0521324	0.0386211	0.0420614	0.0336034	0.0461045	0.0380282	0.0269022	0.0302526	0.0696258	0.0780847	0.0772273	0.044072	0.0328724	0.0271305	0.0278088	0.0188386	0.0116229	0.0102194	0.0176994	0.0306776
sont	0.02757	0.0273126	0.0627466	0.0751447	0.0698466	0.0874527	0.0720619	0.0881042	0.0839317	0.0767843	0.0376346	0.0486535	0.0415403	0.026935	0.0244551	0.021253	0.0156994	0.0124383	0.010815	0.0105642	0.0105954	0.00968674	0.00935018	0.0106138	0.0388101
baignés	0.0638198	0.0627663	0.0744131	0.0838461	0.086084	0.0686051	0.0673372	0.0834283	0.0554105	0.0296906	0.0150169	0.0249626	0.0347417	0.0282524	0.0191658	0.0173094	0.0172844	0.0176362	0.0146456	0.0194496	0.0207639	0.016307	0.020266	0.0213082	0.0374893
dans	0.0391055	0.0339796	0.0199759	0.0347238	0.0522363	0.067073	0.0872875	0.0888588	0.08462	0.0499907	0.0360004	0.0406536	0.0371408	0.0250159	0.0151307	0.0134121	0.0133987	0.0159255	0.0135925	0.0142475	0.0155398	0.0190208	0.0330952	0.0511912	0.0987842
le	0.0346934	0.0237427	0.0259443	0.04744	0.0514623	0.0557435	0.0468439	0.043582	0.0335601	0.0211913	0.0217981	0.0207008	0.022475	0.0262895	0.0234975	0.030089	0.0352241	0.0366889	0.0338424	0.0233198	0.0356428	0.0487383	0.0669551	0.0838803	0.106655
fleuve	0.063159	0.0579501	0.0540601	0.0640688	0.0516306	0.025204	0.0158513	0.0163589	0.0165698	0.0129665	0.0153034	0.0178123	0.0224819	0.0425298	0.0441695	0.0332733	0.018085	0.0219847	0.0196977	0.0165852	0.0410916	0.0430626	0.050073	0.0923655	0.143666
</S>	0.114021	0.0639272	0.0576555	0.0560195	0.0355784	0.0301985	0.0147403	0.0106295	0.00936909	0.00650265	0.00998024	0.00688189	0.0084262	0.0116294	0.00975809	0.0140079	0.0166362	0.0226798	0.0182018	0.0280471	0.018161	0.0232869	0.0361687	0.094491	0.283002
