 	n	g	ó	o	á	s	i	m	b	i	b	í	s	í	o	d	z	á	a	m	b	á	n	g	é	b	í	b	i	s	i	</S>
la	0.0738047	0.0839667	0.0269343	0.0203127	0.013322	0.00987762	0.00788367	0.0116533	0.0117213	0.0200033	0.0197753	0.0209589	0.0246917	0.015208	0.0118878	0.0217345	0.010851	0.0112692	0.0265193	0.0494084	0.0463983	0.0578163	0.050928	0.0350584	0.044953	0.0515972	0.0309694	0.0317912	0.0539957	0.0306844	0.0452278	0.0287965
maman	0.247612	0.100672	0.310597	0.14846	0.091959	0.0391216	0.0150458	0.0140387	0.00752228	0.00484046	0.00450778	0.00147515	0.000951842	0.000649618	0.0015403	0.00046605	0.000788931	0.00071504	0.000658432	0.000715246	0.000373277	0.000267597	0.000673725	0.000724805	0.000707936	0.000833489	0.000655281	0.000472752	0.00148112	0.000529251	0.00060751	0.000336835
nous	0.0226437	0.0203967	0.0342075	0.0256349	0.0228498	0.0271077	0.0235056	0.0333323	0.0261926	0.0259644	0.0256031	0.0166958	0.0125766	0.00889712	0.00901152	0.0130848	0.0178184	0.0495806	0.0758453	0.0685463	0.0521359	0.0796203	0.0783511	0.0530059	0.0567759	0.047078	0.0150589	0.016873	0.0159887	0.010053	0.0115025	0.00406238
a	0.0226526	0.0123433	0.0194221	0.0318331	0.01521	0.02371	0.0221007	0.0361226	0.0234463	0.0208023	0.0244944	0.015956	0.0172327	0.019611	0.0164173	0.0215835	0.0293063	0.0419742	0.0390416	0.031266	0.0351805	0.0405732	0.0467543	0.0403481	0.0490546	0.0433451	0.0290294	0.0321975	0.0319657	0.0581526	0.0399518	0.0689213
défendu	0.0569637	0.0197694	0.028393	0.0455103	0.0359638	0.0485107	0.0437595	0.0583664	0.0451122	0.0368993	0.0377409	0.021647	0.0200955	0.0141549	0.021351	0.0237109	0.0270422	0.0278463	0.0214372	0.0253557	0.0146592	0.0146136	0.0248444	0.0223326	0.00799116	0.0289474	0.0208812	0.0107404	0.0434449	0.0400893	0.0321233	0.0797029
de	0.0190243	0.00595592	0.00972813	0.0194539	0.0158572	0.0179359	0.0187932	0.017993	0.0197305	0.0194698	0.0229696	0.0207993	0.0276975	0.0371673	0.0347749	0.0420149	0.0395065	0.0274984	0.0228226	0.0293775	0.0209297	0.0220532	0.0228292	0.0328578	0.019251	0.0255763	0.0497979	0.0480029	0.0605992	0.082435	0.0619627	0.0851348
manger	0.0258932	0.0111649	0.0130905	0.0189051	0.015104	0.0187768	0.0244207	0.0247753	0.0305234	0.0339449	0.0311912	0.0343802	0.0346918	0.0289643	0.0338439	0.0383527	0.0361781	0.0423496	0.0422466	0.0407829	0.0300208	0.0278938	0.0363165	0.0243179	0.021805	0.0347995	0.0403881	0.0271252	0.043291	0.0354135	0.0305131	0.0685354
des	0.0183059	0.0111893	0.0115444	0.0144221	0.0154058	0.0178903	0.0170312	0.0183518	0.0182875	0.0202784	0.0189874	0.0227712	0.0257382	0.0246128	0.0261998	0.0213494	0.0226022	0.0260874	0.0421619	0.0357839	0.0468558	0.0312072	0.0336833	0.0229867	0.0266391	0.0344515	0.0449049	0.0486134	0.0479715	0.0605228	0.0554036	0.11776
mangues	0.0220855	0.0116147	0.0152401	0.0182376	0.0106095	0.0103548	0.011274	0.00919623	0.00970436	0.0116216	0.0144576	0.0161821	0.0228234	0.0212673	0.0304223	0.0271074	0.0359109	0.0360171	0.0450821	0.0217694	0.0225283	0.0126664	0.0107441	0.00821588	0.0144723	0.0251932	0.101664	0.0765359	0.0642099	0.04249	0.0743346	0.145968
vertes	0.0326571	0.0166915	0.0208946	0.0226357	0.0175062	0.0177386	0.0114068	0.0139041	0.00907527	0.00842471	0.0091609	0.00735593	0.0106673	0.0108891	0.0174744	0.0123004	0.024411	0.0215445	0.0270065	0.0214471	0.0280125	0.0317694	0.0425961	0.0409385	0.0233575	0.0473011	0.0482466	0.0534283	0.0708342	0.081977	0.0838277	0.114519
</S>	0.0661099	0.0302009	0.0394997	0.0385021	0.0207252	0.0167243	0.00906767	0.0095243	0.00704437	0.0061741	0.00911454	0.00877043	0.0155471	0.0149471	0.0344091	0.0189748	0.0271552	0.0229154	0.0206771	0.0123116	0.0143372	0.0223034	0.0298977	0.0370034	0.0345995	0.0316748	0.0789583	0.0631876	0.0417828	0.0471516	0.0465931	0.124116
