 	m	b	á	é	á	d	z	a	l	á	a	t	έ	w	a	e	b	é	l	á	i	n	d	i	e	í	t	s	ω	w	á	r	e	e	n	g	o	m	b	a	</S>
sa	0.021678	0.0301945	0.0302769	0.0280621	0.0202028	0.018636	0.0214023	0.02759	0.0366168	0.0384774	0.0400869	0.0397427	0.0451095	0.041065	0.0468309	0.0306051	0.0272373	0.0184588	0.0177616	0.0170297	0.0164328	0.0155178	0.00933633	0.00829078	0.0113432	0.00766349	0.00755166	0.0142547	0.0178941	0.0233029	0.0234433	0.0268886	0.0243859	0.0240368	0.0280643	0.0305578	0.02018	0.0250961	0.0293275	0.0227565	0.0166114
co-épouse	0.0169182	0.051034	0.0504992	0.0537714	0.0314727	0.0202813	0.0332907	0.0185324	0.025177	0.0364023	0.0206595	0.0365166	0.0308466	0.0305789	0.0320108	0.0565743	0.062348	0.0570697	0.0515739	0.0813453	0.0459414	0.0379766	0.0283446	0.0155562	0.0115496	0.00318299	0.00231963	0.00287409	0.00384538	0.00598073	0.0046544	0.00465224	0.0109911	0.00499294	0.00472331	0.00626385	0.00465692	0.00263581	0.00075862	0.000719252	0.000477575
la	0.0552423	0.0253559	0.00985475	0.00778847	0.0122436	0.0172636	0.0282032	0.0265003	0.0258523	0.0165036	0.00861639	0.0140141	0.00900319	0.0116987	0.0188184	0.0193351	0.0184892	0.0372427	0.0343952	0.0422028	0.0345434	0.0278859	0.0294976	0.0307797	0.0130826	0.0149382	0.00847039	0.00840618	0.00868247	0.0308769	0.033313	0.0218753	0.0481048	0.0394982	0.0426361	0.0367977	0.0506038	0.0343547	0.024445	0.0168596	0.00572406
traitait	0.0340149	0.0591873	0.0468164	0.0555545	0.0898674	0.109637	0.106472	0.0587742	0.0480128	0.0457343	0.0101214	0.0126051	0.0104108	0.0040693	0.00589951	0.00722547	0.00701261	0.00800151	0.0062006	0.00695184	0.0114488	0.0119852	0.0150392	0.0169055	0.00967378	0.00611197	0.00708692	0.00523262	0.0102119	0.00891956	0.0114349	0.0115774	0.0117332	0.00833677	0.0121825	0.0157426	0.0160507	0.0128662	0.0104832	0.0155806	0.0388285
tout	0.061711	0.0590401	0.0411008	0.0369122	0.0341146	0.0367721	0.027924	0.0433992	0.0213018	0.0203264	0.0180219	0.0175531	0.0116274	0.0128481	0.0188536	0.0183835	0.0196331	0.0225093	0.017356	0.0244349	0.0253058	0.0361782	0.030813	0.0330048	0.0357455	0.0329232	0.0299806	0.0355669	0.0178133	0.0159486	0.0139869	0.0136794	0.0106907	0.00874432	0.00897168	0.00951391	0.00961439	0.00735872	0.0106309	0.0108667	0.0388394
le	0.0145715	0.0125518	0.010589	0.0112321	0.0123293	0.0132484	0.015993	0.0200963	0.01926	0.0181088	0.0135654	0.0094377	0.0127844	0.0122003	0.0136264	0.0182272	0.0212169	0.0145863	0.0217232	0.0195215	0.0433667	0.0416719	0.0404764	0.0565882	0.0350555	0.0365241	0.0301832	0.0318185	0.0312365	0.0323189	0.0318029	0.0327337	0.034255	0.0303389	0.0290473	0.028375	0.0310295	0.0246235	0.0236501	0.0265225	0.0235123
temps	0.0112412	0.00916432	0.0167002	0.0183945	0.0288786	0.0271687	0.0324789	0.0303405	0.0227686	0.0148346	0.0141517	0.0125575	0.0138391	0.0260462	0.0256683	0.0216773	0.0257744	0.0153881	0.0415295	0.019521	0.0501316	0.0176679	0.0211865	0.0346034	0.0322866	0.0263471	0.0264838	0.0365727	0.0264748	0.0252397	0.0286978	0.030378	0.0284392	0.0291834	0.0208824	0.0241859	0.0131242	0.0176463	0.0120661	0.0270787	0.0432008
de	0.0250274	0.0232166	0.0250265	0.020645	0.0245568	0.0287017	0.0275332	0.052921	0.0315767	0.0336311	0.0167241	0.0202615	0.0106916	0.00996282	0.0147009	0.0100714	0.0131056	0.0236382	0.0324883	0.0424794	0.0613377	0.060872	0.0534855	0.0343192	0.0268201	0.0255081	0.0143701	0.0165839	0.0112182	0.0087283	0.00695492	0.00746068	0.00512398	0.00739391	0.00875694	0.0121081	0.00741268	0.0110403	0.0134481	0.0214242	0.0986732
stérile	0.0340419	0.0288795	0.0181161	0.0148297	0.012774	0.0148467	0.0180513	0.0207722	0.0137864	0.00841541	0.0060144	0.0056113	0.00390313	0.00683803	0.00986622	0.0144249	0.0106843	0.00993829	0.00687082	0.012108	0.0133648	0.0175089	0.0246905	0.0439817	0.0480416	0.0530885	0.0414751	0.0565006	0.0499869	0.0415129	0.0370272	0.0419932	0.0446811	0.0332237	0.0320039	0.0337902	0.0199563	0.0228854	0.0100961	0.024505	0.038914
</S>	0.0284605	0.035186	0.0394906	0.0377647	0.0307762	0.0291219	0.0184098	0.0197714	0.015914	0.0148276	0.0101065	0.00956553	0.00591303	0.00718586	0.00701906	0.00684342	0.0044688	0.00546079	0.00560922	0.00542117	0.0124769	0.014893	0.0187316	0.0221833	0.0438706	0.0473061	0.0356896	0.0378286	0.0561645	0.0218276	0.0167885	0.0182149	0.0168161	0.0200425	0.0239399	0.0262073	0.0167682	0.020636	0.0214049	0.0371397	0.133754
