 	w	a	á	y	ε	ε	ω	y	a	m	b	á	n	g	á	m	ó	o	k	ó	ó	l	i	m	á	p	o	o	</S>
il	0.281032	0.293049	0.151469	0.0908296	0.0343348	0.0174983	0.0105641	0.0036498	0.00538976	0.00688391	0.00588091	0.0046173	0.00586392	0.00624117	0.0067824	0.00663834	0.00704035	0.00701954	0.00719493	0.00716828	0.00726225	0.00697029	0.00648754	0.00324314	0.00425802	0.00266814	0.00343095	0.00281327	0.00371859
est	0.020306	0.0112821	0.0156691	0.0567776	0.0983292	0.107565	0.0539754	0.0646066	0.0817295	0.0794056	0.0615606	0.0513137	0.0359682	0.0310828	0.027158	0.0203752	0.0196221	0.0162571	0.0187131	0.0174278	0.0310673	0.0183085	0.026519	0.0105974	0.00686597	0.00358192	0.00333873	0.00251469	0.00808193
venu	0.0143216	0.0148129	0.0153252	0.0167946	0.0278497	0.0387534	0.0477583	0.0500705	0.0368579	0.0288305	0.0397879	0.0279549	0.0369451	0.0459662	0.0199163	0.0229354	0.0352641	0.0421819	0.0470517	0.0616153	0.0471826	0.0465938	0.0489284	0.0314341	0.0457331	0.0450337	0.0243595	0.0242652	0.0154761
m'	0.0117212	0.0158563	0.0102642	0.00823347	0.0108767	0.0129751	0.010084	0.0110736	0.0155877	0.0149469	0.0262271	0.0502884	0.0551352	0.0401145	0.0447309	0.0480857	0.0387169	0.0510752	0.0437268	0.0800659	0.0500181	0.0720544	0.0450123	0.0401867	0.037437	0.0329388	0.0399253	0.0432343	0.0394075
accueillir	0.00689216	0.00557438	0.00545533	0.0090921	0.0112938	0.0203195	0.0212333	0.020044	0.0385565	0.0434635	0.0429104	0.0505182	0.0377921	0.0359038	0.0273546	0.0427545	0.0714022	0.0701139	0.0504065	0.0358558	0.0331751	0.0519129	0.040608	0.0390162	0.0292432	0.0291051	0.0357014	0.0305096	0.0637917
à	0.0144838	0.0151747	0.0131758	0.00654074	0.00658179	0.00887745	0.0135001	0.017605	0.020353	0.0186422	0.0159079	0.0167462	0.015083	0.0148587	0.0151564	0.0155041	0.0159174	0.0184082	0.0190533	0.025597	0.0594711	0.0652095	0.0975672	0.0840784	0.0705186	0.0875304	0.0678161	0.0730679	0.0875741
l'	0.0172189	0.0155011	0.0172941	0.0133253	0.0185268	0.0247521	0.0261173	0.0280362	0.0307607	0.0316016	0.0271234	0.0312441	0.0308774	0.0325609	0.0293058	0.0345999	0.0352988	0.0276486	0.024322	0.0353705	0.0457782	0.0453058	0.0435705	0.0459183	0.0394071	0.0443148	0.0513661	0.0595693	0.0932843
entrée	0.0113797	0.0092398	0.0116679	0.0107834	0.0124099	0.0127694	0.0143124	0.0225336	0.0321152	0.0300151	0.0182881	0.0295244	0.0238747	0.0315749	0.0330455	0.0357974	0.0358686	0.0280962	0.0340609	0.0430073	0.0845742	0.0465057	0.0770112	0.063783	0.0373296	0.0429615	0.0492938	0.0543647	0.063812
du	0.0142608	0.0124351	0.0144269	0.0129467	0.0159877	0.0163463	0.0158855	0.0165541	0.0179237	0.0185238	0.0168183	0.0173576	0.0161703	0.0163576	0.0167969	0.0171213	0.0185634	0.0197361	0.0194927	0.0226736	0.0464571	0.0657129	0.088415	0.0928173	0.0646322	0.0699274	0.0685915	0.0765073	0.090561
village	0.0135044	0.0187792	0.0114535	0.010276	0.012607	0.0120287	0.0215066	0.030263	0.0312754	0.0350697	0.0176388	0.0363534	0.0337603	0.0344754	0.0358976	0.039618	0.0398371	0.0322001	0.0283918	0.0270671	0.0343819	0.0316089	0.0395248	0.0399127	0.0296717	0.0632378	0.0667671	0.0788259	0.0940657
</S>	0.0229707	0.020478	0.016384	0.0177113	0.0221231	0.0220823	0.0220788	0.0269287	0.0318952	0.0295874	0.0153698	0.029268	0.0240156	0.0279263	0.0342839	0.0301143	0.036244	0.0297328	0.0237047	0.0178976	0.0252563	0.0307212	0.0329529	0.0472696	0.0318927	0.0716869	0.0687979	0.0828471	0.107779
