 	o	t	ó	n	g	i	n	d	é	e	á	d	z	e	l	á	a	d	z	e	n	d	z	á	e	s	u	m	ú	s	á	t	s	ε	n	g	ε	</S>
le	0.00816594	0.0105999	0.0117153	0.0171551	0.019828	0.0149897	0.0216214	0.0111477	0.0151035	0.0202211	0.0277064	0.0478424	0.0750388	0.0786177	0.100161	0.0696704	0.0654825	0.0581708	0.0217135	0.028002	0.0146884	0.0223083	0.0173053	0.0165326	0.0155644	0.0145881	0.0183473	0.01228	0.00978647	0.0100378	0.00969252	0.00963778	0.0105725	0.013728	0.0143132	0.0234559	0.0203622	0.0238459
maçon	0.0150975	0.0465062	0.0665217	0.10009	0.146995	0.118566	0.0732656	0.0530374	0.0518901	0.0461419	0.0328794	0.0297298	0.0360705	0.0257299	0.0285701	0.0217417	0.0255718	0.00743368	0.0110304	0.00337921	0.00118348	0.00222386	0.00140799	0.00239478	0.00268713	0.0012725	0.00269194	0.00337764	0.00248343	0.00615885	0.00246606	0.0102725	0.00471247	0.00698802	0.00309763	0.00416283	0.00110224	0.00106943
a	0.0084779	0.0068185	0.00567779	0.00632405	0.00816636	0.0109553	0.0184728	0.0244672	0.0158121	0.0126589	0.0104406	0.00917528	0.00975778	0.0118093	0.013052	0.0156744	0.0137535	0.0279077	0.0388939	0.050995	0.0847022	0.0503045	0.0466599	0.0488572	0.0503913	0.0554274	0.0438112	0.0606365	0.0378988	0.0435095	0.0342083	0.0403494	0.0200315	0.0175924	0.0125595	0.014655	0.0137454	0.0053694
enfoncé	0.0432624	0.0445928	0.0589879	0.0605687	0.0572256	0.0426364	0.0310352	0.0326142	0.0373645	0.0416828	0.0331076	0.0158509	0.013525	0.0127555	0.0126015	0.0143209	0.0192041	0.0235435	0.0464589	0.0293431	0.0291638	0.0312934	0.0141632	0.014576	0.012162	0.0131547	0.00940443	0.00970151	0.00875022	0.0183382	0.0122878	0.0100495	0.0105636	0.0102472	0.0105264	0.0144909	0.0252793	0.0751665
le	0.0425181	0.0276803	0.0268596	0.0278533	0.0283969	0.0258114	0.0215339	0.0265949	0.0229025	0.0252728	0.0192974	0.0155502	0.0198846	0.0215381	0.0251459	0.0276143	0.0184613	0.028459	0.0227678	0.0219078	0.0371247	0.0378799	0.0280802	0.030926	0.0257763	0.0285435	0.0183455	0.016369	0.0211304	0.0258692	0.0221971	0.0153433	0.0225703	0.0187158	0.0240484	0.0350868	0.0339188	0.0620246
poteau	0.0104533	0.0131014	0.0169951	0.0196456	0.0183153	0.0202862	0.0238301	0.024942	0.0185595	0.0141512	0.0178082	0.0122626	0.0134895	0.014869	0.0120616	0.011923	0.0154018	0.0220586	0.0355286	0.0275066	0.0254612	0.0296781	0.0281827	0.0300296	0.0362902	0.018245	0.0289889	0.0292156	0.0324516	0.0366238	0.034328	0.0480392	0.0390424	0.0409978	0.046542	0.0425328	0.037983	0.052179
dans	0.0527522	0.0317845	0.0239436	0.0215221	0.0210338	0.023476	0.0280153	0.0408517	0.0366159	0.0319442	0.0349108	0.0339564	0.0267869	0.0220005	0.0165135	0.0135051	0.0134968	0.00978033	0.0170053	0.0241384	0.0276957	0.0248414	0.0198381	0.0306979	0.0269944	0.0259559	0.0234705	0.0166493	0.0182003	0.0246425	0.0281345	0.0223914	0.0260091	0.0227032	0.026721	0.0291792	0.0310113	0.0508308
le	0.0564589	0.0422447	0.0350401	0.0326469	0.0328226	0.0347062	0.0336346	0.0354284	0.0398785	0.0409282	0.0433351	0.0333971	0.0240707	0.026168	0.0163574	0.0219659	0.0198029	0.0124873	0.0134231	0.0132045	0.0146092	0.0184391	0.0120696	0.0117219	0.0120074	0.0121399	0.0087889	0.00836029	0.012255	0.0152834	0.0164376	0.0102415	0.0139688	0.00970527	0.019618	0.0267581	0.0503676	0.119227
sol	0.0330652	0.02757	0.024611	0.0213754	0.0173486	0.00985366	0.00637135	0.00720618	0.00786746	0.00883437	0.00764668	0.00828581	0.00936177	0.0059124	0.00458304	0.00480279	0.00260829	0.00597839	0.00553081	0.0178955	0.0162607	0.0236404	0.0213184	0.0206066	0.0280883	0.054679	0.0150169	0.0353106	0.0333631	0.0509668	0.0589397	0.0340758	0.0449683	0.0429335	0.057372	0.0594535	0.0830523	0.0832455
</S>	0.0618005	0.0359998	0.029223	0.024964	0.0240807	0.0194588	0.0162255	0.0166658	0.0144681	0.0148365	0.00867224	0.00509628	0.00472416	0.00434609	0.0040422	0.00407508	0.00569067	0.0104419	0.0158265	0.0377158	0.0628209	0.0438229	0.0267331	0.036777	0.0347121	0.0407051	0.0223549	0.0206664	0.0199433	0.0274777	0.0450238	0.0168917	0.0226597	0.0168906	0.0291899	0.0306438	0.0516671	0.0926662
