 	n	g	á	í	d	í	e	y	i	n	í	í	y	í	n	y	w	á	a	l	á	l	ω	i	k	a	á	</S>
je	0.0598218	0.174195	0.308892	0.161765	0.0883532	0.0671913	0.0294154	0.0225736	0.00888296	0.004957	0.002983	0.00206777	0.00332993	0.00383981	0.00832125	0.00382442	0.00700929	0.00653751	0.00450251	0.00426358	0.0047716	0.00378614	0.00417535	0.00339222	0.00408604	0.00266567	0.00236983	0.00202724
n'	0.0893511	0.0455507	0.109149	0.197663	0.109799	0.0157563	0.0144459	0.0165546	0.0382258	0.0326754	0.0210465	0.0461282	0.0336223	0.0129306	0.0284342	0.0429107	0.0286653	0.0183939	0.0225451	0.0124536	0.00769359	0.0071166	0.00676904	0.00723702	0.00812306	0.00844153	0.0063585	0.0119595
ai	0.128697	0.0784734	0.0482874	0.0443447	0.0405952	0.0495739	0.0408918	0.0354617	0.0381968	0.0314507	0.0334779	0.0295483	0.0332304	0.0357774	0.0241318	0.00984748	0.0198629	0.0165979	0.0147525	0.0193085	0.0357072	0.0259875	0.0253579	0.0347489	0.0432272	0.0219474	0.0226924	0.0178233
pas	0.0681612	0.0802732	0.10735	0.0236784	0.030792	0.0504445	0.0506836	0.0190917	0.00647304	0.00941577	0.00569022	0.00787359	0.00772221	0.00965679	0.0203863	0.0203741	0.0209272	0.0417981	0.0162458	0.0348051	0.024323	0.0269468	0.0285858	0.0202548	0.0699464	0.0658335	0.0739087	0.0583579
l'	0.041634	0.029422	0.0396273	0.015085	0.0178417	0.0285663	0.0427994	0.0186483	0.0204383	0.0328763	0.0206678	0.0307846	0.0389777	0.0354934	0.0369425	0.0294488	0.0225611	0.0256297	0.0190916	0.0379796	0.0498739	0.0218487	0.0242192	0.0362074	0.0403893	0.0478644	0.0879609	0.107121
habitude	0.037678	0.035038	0.0782451	0.0626693	0.0309392	0.0245203	0.0177311	0.0258788	0.0450377	0.0595303	0.0573807	0.0517002	0.0568582	0.033995	0.0188924	0.0265168	0.0139042	0.0144252	0.0151149	0.0129242	0.0163422	0.018883	0.0162976	0.0239858	0.0300843	0.0327961	0.0569852	0.0856462
de	0.090719	0.0393454	0.0499827	0.0349693	0.0224478	0.0308855	0.0524234	0.050207	0.106718	0.104505	0.0811681	0.0381112	0.0174124	0.0122505	0.012858	0.0120114	0.00822312	0.0170498	0.012764	0.0232301	0.0198501	0.0118002	0.0134835	0.0125814	0.0141232	0.0168339	0.0292526	0.0647931
prendre	0.121085	0.0843744	0.0692067	0.012649	0.0126884	0.019123	0.0182146	0.0189958	0.0336705	0.0345124	0.0260776	0.0282901	0.0150296	0.0184171	0.0135852	0.0157844	0.0111107	0.0177611	0.0169648	0.0319137	0.0484734	0.0347678	0.0354471	0.0390338	0.0303338	0.0269294	0.0519233	0.113637
du	0.195378	0.0873812	0.0559047	0.022884	0.0303315	0.0934958	0.0230789	0.0197283	0.0169508	0.0197053	0.013533	0.0113635	0.0166715	0.0132961	0.011395	0.00827698	0.00637227	0.00945095	0.00544807	0.0195255	0.0287346	0.0194218	0.0256022	0.0348196	0.0310125	0.0275648	0.0325098	0.120163
vin	0.034855	0.0218558	0.0199413	0.0212184	0.0171348	0.0392504	0.0171007	0.0141372	0.0154999	0.0158635	0.0183177	0.0168088	0.0233747	0.0283177	0.0266153	0.0241032	0.021914	0.0306364	0.0303462	0.0391112	0.0486818	0.0578938	0.0466184	0.0435919	0.062182	0.0620568	0.102761	0.0998123
</S>	0.0752466	0.0255712	0.0218904	0.0333596	0.0507254	0.0720594	0.0634414	0.0361676	0.0262004	0.0394486	0.0163034	0.0143863	0.0132486	0.011059	0.0195905	0.00843462	0.00602461	0.0118405	0.00995315	0.0286263	0.0550477	0.0309202	0.0346688	0.0375573	0.0436076	0.0447159	0.0648767	0.105028
