 	o	l	a	m	b	i	o	k	i	a	s	á	l	a	á	d	í	n	d	a	</S>
qui	0.00568972	0.00611137	0.00625029	0.004254	0.00761367	0.00843841	0.0093569	0.0135614	0.0113882	0.0169134	0.022366	0.0296381	0.0472301	0.0639459	0.0972605	0.105151	0.143037	0.0965675	0.159942	0.0992307	0.0460537
a	0.156723	0.124482	0.0842149	0.142903	0.0404797	0.0341427	0.0236769	0.0551963	0.0335938	0.0334944	0.0149498	0.0244663	0.0302238	0.0337555	0.0273445	0.0232294	0.0372946	0.0287119	0.0176195	0.0116314	0.0218659
étendu	0.040271	0.0389275	0.0264924	0.0333989	0.0196904	0.0280839	0.0270051	0.0635483	0.0501152	0.0584803	0.0624753	0.0680865	0.112843	0.0409743	0.0491282	0.0684285	0.0503162	0.0548413	0.0394856	0.0278144	0.0395933
son	0.0273476	0.0252198	0.0323376	0.0299939	0.0285263	0.0322332	0.0308927	0.0341662	0.0264888	0.0350124	0.0275965	0.0352042	0.0465148	0.021091	0.0186715	0.027171	0.0138632	0.0251948	0.0202523	0.0922188	0.370003
filet	0.0447504	0.0817465	0.0775582	0.0682501	0.0553108	0.0511523	0.0526695	0.0985276	0.0559891	0.0615599	0.0581566	0.059157	0.0426691	0.0142668	0.0163664	0.0116217	0.0191149	0.0122727	0.011256	0.0327948	0.0748095
dans	0.0590896	0.05092	0.039537	0.045813	0.0338785	0.0332635	0.042577	0.0351485	0.0221493	0.0222152	0.0257567	0.0331641	0.054318	0.0503771	0.0576368	0.0486153	0.0416124	0.0463406	0.0468865	0.0732596	0.137441
ce	0.0774914	0.0829405	0.0800926	0.0609112	0.0355374	0.0187608	0.0193487	0.0168148	0.0143351	0.0114605	0.0158875	0.013989	0.0294727	0.039079	0.0646683	0.0482303	0.0361023	0.0500869	0.0596324	0.0773317	0.147827
champ	0.0713244	0.0715808	0.0420074	0.0241541	0.0118379	0.00732203	0.00641929	0.00775413	0.00789551	0.00854551	0.0120221	0.0125433	0.0185669	0.0231464	0.0762309	0.0585381	0.0800539	0.0769206	0.0821645	0.133866	0.167107
de	0.0450921	0.055219	0.0554067	0.0297345	0.0236002	0.0107393	0.00879455	0.00741011	0.00656018	0.00665054	0.0102615	0.00783489	0.0213122	0.0238105	0.0629229	0.0553206	0.0720664	0.112555	0.0877136	0.0764144	0.220581
chasse	0.227704	0.0985848	0.0506004	0.0271349	0.0152	0.0126674	0.0101636	0.00863372	0.00748886	0.00765011	0.0124835	0.0115631	0.0180194	0.017193	0.0323995	0.0179477	0.0526574	0.0447933	0.0629208	0.0820257	0.182169
</S>	0.109234	0.0928424	0.100551	0.0523636	0.0290309	0.0140865	0.0115311	0.0108	0.00935203	0.00842354	0.00960404	0.0086559	0.0161991	0.0207703	0.0440088	0.0436954	0.0626013	0.0813825	0.0916394	0.0705134	0.112715
